"Cluster","Silo","ID","D0","D3","D5","D7","D9","D11","D13"
2,"3","CHOYP_ACT.23.27.m.58454",234.6437,134.8912,110.9911,196.87485,99.3946,249.49095,264.21735
14,"3","CHOYP_ACT.5.27.m.15585",0.1,563.3507,0.1,0.1,0.1,0.1,0.1
15,"3","CHOYP_ACT.6.27.m.15622",0.1,0.1,0.1,334.28085,0.1,0.1,425.9015
17,"3","CHOYP_ACT3.3.3.m.66907",325.8941,174.55785,303.09585,180.14175,225.2547,275.60495,375.32195
3,"3","CHOYP_BRAFLDRAFT_114866.4.5.m.35627",421.346,273.6752,321.98585,333.60405,341.1687,320.24755,446.31735
2,"3","CHOYP_CATB.1.2.m.5440",247.83465,255.9161,212.4263,148.92775,135.00225,204.8425,176.3398
23,"3","CHOYP_CDPK5.1.1.m.6214",116.35095,157.4112,338.81155,341.3615,204.79915,317.1796,253.7249
6,"3","CHOYP_EF1A.2.4.m.50858",559.1337,592.91925,671.2199,625.9092,638.5678,813.5562,814.2211
7,"3","CHOYP_EIF5A.1.3.m.22684",202.0064,352.3577,380.49725,273.24535,269.13555,363.8985,240.5233
1,"3","CHOYP_ENO.1.2.m.7681",154.4307,168.42915,156.00445,141.5826,161.44515,205.88405,186.4109
1,"3","CHOYP_HSP7D.2.3.m.34782",114.974,126.9403,171.74285,117.95255,168.5778,207.90135,160.4684
2,"3","CHOYP_LDLR.6.7.m.57984",75.22025,81.71735,156.55645,204.01965,345.0764,207.1013,136.1998
16,"3","CHOYP_LOC100890099.1.1.m.11505",328.4778,0.1,0.1,0.1,399.37935,0.1,0.1
2,"3","CHOYP_LOC101072646.1.1.m.8800",109.4635,133.43575,197.0244,180.9229,279.45035,273.36825,153.9401
10,"3","CHOYP_LOC101169658.2.3.m.20752",3.40875,8.2151,58.0008,188.02175,212.2051,371.88895,343.9124
1,"3","CHOYP_LOC101173335.4.4.m.49816",182.6314,74.04785,57.98815,58.2571,163.1489,183.0191,168.2268
7,"3","CHOYP_LOC587133.1.1.m.61281",298.17555,365.99355,410.38745,303.24275,334.5834,379.27185,287.51045
13,"3","CHOYP_LOC752782.1.1.m.53937",0.1,255.1912,439.6172,0.1,0.1,0.1,0.1
21,"3","CHOYP_LOC754102.1.1.m.57578",727.5924,194.2018,196.68555,413.94255,166.4163,215.3891,99.74995
1,"3","CHOYP_MYS.4.7.m.18188",141.88085,162.82165,168.01925,164.15425,158.0989,178.9106,180.6226
11,"3","CHOYP_MYSP.1.9.m.1097",364.6204,79.74485,47.1293,188.0331,99.6236,250.0452,132.43355
12,"3","CHOYP_MYSP.4.9.m.2302",259.19385,853.89705,992.7304,784.781,851.46595,477.3096,1014.5178
2,"3","CHOYP_MYSP.8.9.m.44813",161.40425,203.59025,192.5266,210.51245,207.6088,172.4519,239.55005
2,"3","CHOYP_NPC2.6.7.m.31030",87.8344,173.0241,252.0057,269.33205,363.95865,262.2899,273.89035
18,"3","CHOYP_PAN2.1.1.m.44691",373.3665,507.825,0.1,479.97415,0.1,300.49035,0.1
1,"3","CHOYP_RS3A.4.15.m.15367",136.9162,137.98365,88.8072,97.0305,87.3261,172.1084,25.15805
2,"3","CHOYP_RS5.1.2.m.146",97.63145,112.8553,208.83265,141.9722,120.99615,189.19215,294.8516
2,"3","CHOYP_TAGL3.1.1.m.31031",271.90145,284.47355,273.5725,236.9143,269.42295,339.82105,264.21265
20,"3","CHOYP_TBA.1.6.m.12217",441.20555,544.12625,198.43425,143.3838,112.79015,16.7105,280.26985
22,"3","CHOYP_TBB4B.1.7.m.12262",290.5583,333.21015,548.0101,588.66265,448.0418,315.0938,435.76855
4,"3","CHOYP_TBB4B.7.7.m.63980",549.2633,428.7215,242.1056,247.93235,220.68445,384.00315,308.5597
2,"3","CHOYP_TRIADDRAFT_57086.1.1.m.25271",283.9452,358.1622,350.48735,254.32635,353.78955,218.18475,321.19135
4,"3","CHOYP_VOLCADRAFT_93060.2.2.m.26741",572.0971,508.734,251.0703,211.39365,230.9109,251.0353,185.57225
11,"9","CHOYP_ACT.23.27.m.58454",234.6437,0.1,102.60505,250.12515,115.95735,261.9099,0.1
1,"9","CHOYP_ACT.5.27.m.15585",0.1,0.1,0.1,0.1,0.1,0.1,0.1
1,"9","CHOYP_ACT.6.27.m.15622",0.1,0.1,0.1,0.1,0.1,0.1,0.1
2,"9","CHOYP_ACT3.3.3.m.66907",325.8941,251.1409,238.72395,210.52075,334.80975,214.8842,327.81
7,"9","CHOYP_BRAFLDRAFT_114866.4.5.m.35627",421.346,370.8376,436.9669,332.88915,300.30495,281.96875,292.66465
1,"9","CHOYP_CATB.1.2.m.5440",247.83465,237.2437,156.656,161.0039,184.9553,192.8249,153.3784
2,"9","CHOYP_CDPK5.1.1.m.6214",116.35095,259.21375,240.36805,191.3649,342.59325,351.29995,298.463
