protein,TempPC2,TimePC12,TimexTempPC12
CHOYP_14332.1.2.m.5643,0.0717402625963702,0.0258116477316855,0.056490574301508
CHOYP_14332.2.2.m.61737,-0.0905343335476466,0.0327636206841196,0.0352229129248137
CHOYP_ABCF2.1.2.m.28362,NA,0.0997828972168708,0.0827210533869565
CHOYP_ACT.23.27.m.58454,-0.088254518602273,0.154785388507356,0.186574517338561
CHOYP_ACT.5.27.m.15585,-0.186137812781832,0.207675077239199,0.117206780150365
CHOYP_ACT.6.27.m.15622,-0.251151844785628,0.175737195084594,0.102052297732347
CHOYP_ACT3.3.3.m.66907,0.0251989018208031,NA,NA
CHOYP_ACT5.3.3.m.41147,NA,NA,0.0268595372144136
CHOYP_ADD.3.5.m.17639,0.0305946117043413,0.0255161385214915,NA
CHOYP_AGAP_AGAP005942.1.3.m.3157,NA,NA,0.0317396495586741
CHOYP_AGAP_AGAP007120.1.1.m.57542,0.0371270426739866,0.0794461907423706,NA
CHOYP_AGRIN.2.5.m.5339,0.0310537523285762,NA,NA
CHOYP_ALPHATUB84D.1.1.m.16562,NA,NA,0.027390762357767
CHOYP_ARALYDRAFT_472154.1.1.m.29819,NA,NA,0.056885805095084
CHOYP_ARF2.1.3.m.10738,NA,NA,0.0329075119768819
CHOYP_ARP3.1.1.m.6867,0.0292820002332495,NA,NA
CHOYP_ATPB.1.1.m.21960,-0.053630316769685,NA,0.0287591823498044
CHOYP_BRAFLDRAFT_100695.1.1.m.47761,NA,0.029038140692829,0.0296565341313861
CHOYP_BRAFLDRAFT_114866.4.5.m.35627,NA,0.0256766190356869,0.11387095426388
CHOYP_BRAFLDRAFT_115608.1.1.m.25984,NA,0.0404033693297565,0.0538204224430669
CHOYP_BRAFLDRAFT_119799.1.1.m.23765,0.040445458202097,0.0805277062088563,0.0495886100172516
CHOYP_BRAFLDRAFT_120058.1.1.m.9895,NA,0.0275521217942676,0.0317895564271406
CHOYP_BRAFLDRAFT_121507.1.2.m.30603,NA,0.0292533558264723,0.0540506102381573
CHOYP_BRAFLDRAFT_121562.1.1.m.37268,-0.0268918183139344,0.0363188271533775,0.0659686963817261
CHOYP_BRAFLDRAFT_123537.2.2.m.50531,NA,NA,0.0263873220769551
CHOYP_BRAFLDRAFT_123969.1.1.m.15145,NA,0.0360066491923143,NA
CHOYP_BRAFLDRAFT_125880.1.3.m.7081,-0.0436159588774048,NA,NA
CHOYP_BRAFLDRAFT_126943.1.3.m.6839,-0.0251230377117616,NA,0.0251039674669512
CHOYP_BRAFLDRAFT_127065.6.7.m.30727,-0.0918213045002408,0.40761542301555,0.0919381103561428
CHOYP_BRAFLDRAFT_130809.1.1.m.5127,NA,0.0641853425646713,NA
CHOYP_BRAFLDRAFT_151236.1.1.m.30653,NA,0.0355696351880743,0.0250417937833366
CHOYP_BRAFLDRAFT_201924.1.1.m.30855,NA,0.0418587142642298,0.0474619496483121
CHOYP_BRAFLDRAFT_208436.4.32.m.22689,NA,0.0309475072085632,NA
CHOYP_BRAFLDRAFT_246510.1.1.m.27433,NA,0.0254395659997635,0.0380882431987876
CHOYP_BRAFLDRAFT_246978.1.1.m.6916,NA,0.025498449005539,0.0276212848261007
CHOYP_BRAFLDRAFT_263599.1.1.m.59011,NA,0.0343027134421844,NA
CHOYP_BRAFLDRAFT_275083.2.2.m.66604,0.0285755132555231,0.0424849369079474,0.0463834561636379
CHOYP_BRAFLDRAFT_281651.5.8.m.25278,NA,0.0436431976236234,0.0356441591732006
CHOYP_BRAFLDRAFT_69134.2.13.m.10914,0.028543454535533,NA,NA
CHOYP_BRAFLDRAFT_74063.1.5.m.2740,NA,0.0278012718043007,NA
CHOYP_BRAFLDRAFT_89961.1.3.m.5717,NA,0.0333230594407775,0.0284060507819634
CHOYP_BRAFLDRAFT_91441.1.1.m.47971,NA,NA,0.026992007827641
CHOYP_BRAFLDRAFT_99083.1.1.m.11705,NA,NA,0.0324323203697256
CHOYP_C1QL4L.3.7.m.5968,0.0286142247775026,NA,0.0495321236285465
CHOYP_CAH2.1.1.m.42306,NA,0.0277170273720528,NA
CHOYP_CALM.22.50.m.31010,-0.0593150157334948,0.0785500644306845,0.0803757437728292
CHOYP_CALUB.2.2.m.58007,0.0316078812990622,NA,NA
CHOYP_CAOG_01521.1.1.m.28103,NA,0.0292022300094062,0.0311802683230605
CHOYP_CATA.1.3.m.11120,0.0254140198567043,NA,0.0312446456504702
CHOYP_CATA.3.3.m.21642,-0.0335221517396252,0.0253710612418019,NA
CHOYP_CATB.1.2.m.5440,NA,0.0905256612016697,0.0366485661113271
CHOYP_CDPK5.1.1.m.6214,NA,0.0991477419642564,0.27857255994514
CHOYP_CHER.1.1.m.63350,NA,NA,0.029622501372732
CHOYP_CNDP2.3.4.m.30467,0.0342337503020163,0.0274558618061511,NA
CHOYP_CNDP2.4.4.m.56870,NA,NA,0.0253724452282458
CHOYP_CNE_1C34780.3.3.m.30615,-0.0335637583404809,NA,NA
CHOYP_CNOT1.1.1.m.12106,NA,0.0284576748731458,NA
CHOYP_COCA1.3.6.m.49360,NA,0.0263410043918198,0.0286477240621181
CHOYP_contig_004993.m.5721,0.0582180336788196,0.036087147603684,NA
CHOYP_contig_005590.m.6345,NA,0.030013676954829,0.0332678222124347
CHOYP_contig_007998.m.9259,NA,0.0257848042645799,NA
CHOYP_contig_008002.m.9263,NA,0.0605093179689637,0.0539515053474679
CHOYP_contig_008261.m.9575,NA,0.0354819480884446,0.0439038823282674
CHOYP_contig_009176.m.10652,0.0285574519098202,0.0421556955663555,NA
CHOYP_contig_010181.m.11866,NA,0.028883673663379,0.0321993901167932
CHOYP_contig_015692.m.18358,NA,0.0428313318482691,0.0278328695092478
CHOYP_contig_016017.m.18760,0.0317589265993418,NA,0.0270115103792611
CHOYP_contig_016567.m.19514,NA,0.108754409881134,0.108054248767514
CHOYP_contig_020392.m.23606,-0.0422693680096506,NA,NA
CHOYP_contig_023538.m.26787,NA,0.0474863582637958,0.0457983139943233
CHOYP_contig_023655.m.26913,NA,0.0274331714999966,0.0354778768312566
