protein,PC1loadings
CHOYP_AMACR.1.1.m.21950,-0.0347824476034543
CHOYP_GSTO1.1.2.m.14745,-0.0415848172401346
CHOYP_AN13B.1.1.m.15287,-0.031375931513435
CHOYP_ISCW_ISCW008316.1.3.m.11997,0.0364347445620946
CHOYP_ISCW_ISCW013795.1.1.m.12153,-0.030179840647359
CHOYP_AOF.1.1.m.7109,-0.0299642021592523
CHOYP_LARP7.1.1.m.35019,-0.0261098359066056
CHOYP_ARB_02478.1.1.m.29725,-0.0374050101883907
CHOYP_LOC100119750.1.1.m.7019,-0.0273618409750623
CHOYP_LOC100123907.1.1.m.2987,-0.0576532875056584
CHOYP_LOC100205674.1.1.m.5810,0.0534299884311217
CHOYP_LOC100222774.1.1.m.56990,-0.0497239298409951
CHOYP_LOC100367581.3.3.m.56472,-0.0318799613737684
CHOYP_LOC100368360.1.1.m.9672,-0.0292062724749631
CHOYP_LOC100369194.1.1.m.42345,-0.0259839593495336
CHOYP_LOC100372473.1.5.m.7845,-0.0301345166787958
CHOYP_LOC100372473.3.5.m.39839,-0.0252899967427395
CHOYP_B3GT2.1.1.m.35771,-0.0258924909210199
CHOYP_LOC100376749.1.1.m.27252,-0.0299606676835911
CHOYP_LOC100378445.1.1.m.7111,-0.0260067213320818
CHOYP_LOC100378487.1.1.m.64108,-0.0259410671533368
CHOYP_LOC100561410.1.1.m.58687,-0.0275608315101422
CHOYP_LOC100565534.1.3.m.28075,-0.0273243746420002
CHOYP_LOC100635182.1.1.m.5368,0.0464996716166504
CHOYP_LOC100642891.1.1.m.25638,-0.0272236301858613
CHOYP_LOC100644613.1.1.m.55011,-0.0306212447804351
CHOYP_LOC100705966.1.1.m.45957,0.030588619364483
CHOYP_LOC100710578.1.1.m.62426,0.0425144191707291
CHOYP_LOC100869188.1.1.m.18952,-0.0312873572133181
CHOYP_BRAFLDRAFT_113696.1.1.m.54166,-0.0261161479160932
CHOYP_LOC100892181.1.1.m.49777,0.0384745869101556
CHOYP_LOC101063838.1.1.m.50540,0.0305057914800787
CHOYP_LOC101072591.1.1.m.1861,-0.0267393647759156
CHOYP_BRAFLDRAFT_114350.1.1.m.14176,-0.034645955222402
CHOYP_LOC101162206.1.1.m.53261,-0.0330132930579121
CHOYP_LOC576498.1.1.m.10455,-0.0284137235677678
CHOYP_LOC576797.1.1.m.8986,0.0369697790528176
CHOYP_LOC584270.1.1.m.49225,0.0342410727824284
CHOYP_LOC586122.3.4.m.63155,0.0344320729127407
CHOYP_LOC590756.3.6.m.40372,-0.0276672406888761
CHOYP_LOC592411.1.1.m.19664,-0.028641748223045
CHOYP_LOC592857.1.1.m.62834,-0.0309498684625134
CHOYP_LOC764898.1.1.m.28118,-0.0471504658697016
CHOYP_MICPUN_58704.1.1.m.54967,-0.0337416857315374
CHOYP_MSMB.4.5.m.40217,-0.0267479538600054
CHOYP_NAEGRDRAFT_47557.1.1.m.11283,-0.0364507097908002
CHOYP_NEMVEDRAFT_V1G202687.1.1.m.8886,-0.0352609907073428
CHOYP_NEMVEDRAFT_V1G224038.3.5.m.31061,-0.0276483209405874
CHOYP_NEMVEDRAFT_V1G235461.1.1.m.28341,-0.0294276093394909
CHOYP_NEMVEDRAFT_V1G236573.1.2.m.46431,0.0397212046729513
CHOYP_NEMVEDRAFT_V1G236658.5.6.m.34525,0.046574543792385
CHOYP_NOL10.1.1.m.1606,-0.0263491184862423
CHOYP_NRDC.1.1.m.28526,-0.0337606559708029
CHOYP_BRAFLDRAFT_121667.1.2.m.12193,-0.059155611714379
CHOYP_PYRD2.1.1.m.26691,-0.0284258595399147
CHOYP_QPCT.1.1.m.38977,0.0335783781504979
CHOYP_BRAFLDRAFT_122339.1.1.m.58748,-0.0347655443531803
CHOYP_RNOY.3.3.m.58342,-0.0286762311362764
CHOYP_RSSA.3.10.m.22114,0.0325632805350421
CHOYP_SMP_001000.1.1.m.39561,-0.0251271882154304
CHOYP_SMP_012720.1.2.m.31152,0.0467349861475229
CHOYP_SMP_148160.1.1.m.11635,-0.0302636986057152
CHOYP_SMP_168770.1.1.m.18618,-0.0369604217609693
CHOYP_SPR.1.3.m.17978,-0.0266340752452824
