sample,silo,Time,ALBU_BOVIN,CAS1_BOVIN,K1C10_HUMAN,K1C15_SHEEP,K1C9_HUMAN,K1M1_SHEEP,K22E_HUMAN,K2C1_HUMAN,KRUC_SHEEP,LYSC_CHICK,LYSC_HUMAN,NEDD8_HUMAN,TRFL_HUMAN,TRYP_PIG
S3T0,3,0,0,NA,22,1.5,44,0,19,40,NA,0,NA,1,NA,4.5
S3T11,3,11,0,NA,7.5,0,23.5,0,6,21.5,NA,0,NA,2,NA,6
S3T13,3,13,0,NA,12,0,26.5,0,10,22,NA,0,NA,1.5,NA,4
S3T15,3,15,0,NA,10,0,26.5,0,10,22,NA,0,NA,1.5,NA,4.5
S3T3,3,3,0,NA,18.5,1,43.5,0,15,38,NA,0.5,NA,1.5,NA,4.5
S3T5,3,5,0,NA,18.5,1,34.5,1.5,17.5,28,NA,0,NA,1.5,NA,5
S3T7,3,7,0,NA,11.5,0.5,36,0,12,21,NA,0,NA,1,NA,4.5
S3T9,3,9,1.5,NA,14,0,29,0,10.5,27,NA,0,NA,1,NA,4.5
S9T0,9,0,NA,0,22,1.5,44,NA,19,40,0,0,0,1,0,4.5
S9T11,9,11,NA,0,7,0,17.5,NA,5,14.5,0,0,0,1,0,4
S9T13,9,13,NA,0,13,0,23,NA,9,21,0,0,0,1,0,5
S9T15,9,15,NA,0,13.5,0,30,NA,13,26,0,0,0,2,0,5.5
S9T3,9,3,NA,0,15.5,0,30.5,NA,12.5,26.5,0.5,0.5,0,0,0,5
S9T5,9,5,NA,0,21.5,1.5,36.5,NA,13.5,27,0,0,0,1.5,0,5
S9T7,9,7,NA,1.5,22,0.5,34.5,NA,25.5,26,0.5,0,0,2,0,5
S9T9,9,9,NA,0,9,0.5,21,NA,6.5,18.5,0,0,4,2,0.5,5
