"","f.value","p.value","-log10(p)","FDR","Fisher's LSD"
"CHOYP_OGFD1.1.1m.10563",1.0469e+30,9.8354e-207,206.01,4.1023e-203,"3 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_MYS3.1.2m.31829",1.0469e+30,9.8354e-207,206.01,4.1023e-203,"3 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_NEUL4.2.2m.54340",79,5.4725e-10,9.2618,1.5217e-06,"3 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_CBG11254.1.1m.9107",60.063,3.4448e-09,8.4628,7.1841e-06,"3 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_contig_045550m.53021",34.436,1.3308e-07,6.8759,0.00022203,"11 - 3; 7 - 11; 9 - 11; 13 - 3; 7 - 13; 9 - 13; 15 - 3; 5 - 15; 7 - 15; 9 - 15; 5 - 3; 7 - 3; 9 - 3; 7 - 5; 9 - 5; 7 - 9"
"CHOYP_CRYAB.1.5m.2659",29.748,3.3985e-07,6.4687,0.00040804,"3 - 11; 5 - 11; 7 - 11; 3 - 13; 5 - 13; 3 - 15; 5 - 15; 3 - 7; 3 - 9; 5 - 7; 5 - 9"
"CHOYP_ATS6.3.3m.56109",29.713,3.424e-07,6.4655,0.00040804,"3 - 11; 5 - 11; 7 - 11; 3 - 13; 5 - 13; 7 - 13; 3 - 15; 5 - 15; 7 - 15; 3 - 7; 3 - 9; 5 - 7; 5 - 9; 7 - 9"
"CHOYP_LOC664138.1.1m.26660",28.769,4.204e-07,6.3763,0.00043838,"3 - 11; 3 - 13; 3 - 15; 3 - 5; 3 - 7; 3 - 9"
"CHOYP_LOC100370738.1.1m.30463",27.615,5.4475e-07,6.2638,0.00048858,"3 - 11; 5 - 11; 3 - 13; 5 - 13; 3 - 15; 5 - 15; 3 - 5; 3 - 7; 3 - 9; 5 - 7; 5 - 9"
"CHOYP_contig_024012m.27306",27.3,5.8569e-07,6.2323,0.00048858,"3 - 11; 5 - 11; 3 - 13; 5 - 13; 3 - 15; 5 - 15; 3 - 5; 3 - 7; 3 - 9; 5 - 7; 5 - 9"
"CHOYP_contig_023724m.26984",25.937,8.0872e-07,6.0922,0.00057241,"3 - 11; 5 - 11; 7 - 11; 9 - 11; 3 - 13; 5 - 13; 7 - 13; 9 - 13; 3 - 15; 5 - 15; 7 - 15; 3 - 9; 5 - 9; 7 - 9"
"CHOYP_LOC100378410.1.1m.18106",25.862,8.2341e-07,6.0844,0.00057241,"3 - 11; 5 - 11; 7 - 11; 3 - 13; 5 - 13; 7 - 13; 3 - 15; 5 - 15; 7 - 15; 5 - 3; 7 - 3; 3 - 9; 5 - 9; 7 - 9"
