"","correlation","t-stat","p-value","FDR"
"Temperature",1,Inf,0,0
"CHOYP_contig_010154m.11827",0.80807,5.9794,9.3817e-06,0.039131
"CHOYP_LOC101065149.1.1m.49591",0.7934,5.6816,1.7761e-05,0.049387
"CHOYP_LOC100730443.1.1m.57698",0.78571,5.5365,2.4332e-05,0.050744
"CHOYP_XRN2.1.1m.13943",-0.77297,-5.3106,3.9916e-05,0.066596
"CHOYP_LOC100205674.1.1m.5810",0.76137,5.119,6.0985e-05,0.08479
"CHOYP_LOC100888608.1.3m.5445",0.73897,4.7809,0.00012994,0.14054
"CHOYP_GPX1.1.4m.11300",0.73413,4.7128,0.0001515,0.14054
"CHOYP_LOC752244.2.2m.45622",0.73385,4.7089,0.00015283,0.14054
"CHOYP_LOC100368486.1.1m.18263",0.73072,4.6657,0.00016847,0.14054
"CHOYP_KINH.6.9m.42394",0.72097,4.5351,0.00022644,0.17172
"CHOYP_BRAFLDRAFT_115951.1.1m.22622",0.70894,4.3817,0.00032083,0.21507
"CHOYP_EGFR.1.3m.30285",0.70641,4.3503,0.00034454,0.21507
"CHOYP_BRAFLDRAFT_208436.28.32m.61328",0.70361,4.3161,0.00037249,0.21507
"CHOYP_BRAFLDRAFT_284774.2.3m.15260",0.70225,4.2996,0.00038673,0.21507
"CHOYP_LOC100705966.1.1m.45957",0.69316,4.1918,0.00049443,0.22215
"CHOYP_ISCW_ISCW023591.1.1m.9921",0.69045,4.1605,0.00053115,0.22215
"CHOYP_BRAFLDRAFT_284587.3.3m.26954",0.69014,4.1569,0.00053546,0.22215
"CHOYP_LOC100897892.1.1m.1462",0.68921,4.1463,0.00054864,0.22215
"CHOYP_LOC591426.1.1m.19353",0.68599,4.1096,0.00059651,0.22215
"CHOYP_NEK9.1.1m.19497",0.68599,4.1096,0.00059651,0.22215
"CHOYP_DPER_GL24378.1.1m.64285",0.68599,4.1096,0.00059651,0.22215
"CHOYP_ISCW_ISCW018425.1.1m.35608",0.68497,4.098,0.00061249,0.22215
"CHOYP_NEMVEDRAFT_V1G236573.1.2m.46431",0.67358,3.9724,0.00081612,0.28367
"CHOYP_BRAFLDRAFT_140951.1.1m.40225",0.67082,3.9428,0.00087319,0.29137
"CHOYP_contig_004993m.5721",0.66705,3.9027,0.00095678,0.2964
"CHOYP_BRAFLDRAFT_69134.2.13m.10914",0.66541,3.8855,0.00099521,0.2964
"CHOYP_PHUM_PHUM128460.4.7m.38295",0.66432,3.8742,0.0010213,0.2964
"CHOYP_BRAFLDRAFT_81609.1.1m.94",0.66395,3.8703,0.0010304,0.2964
"CHOYP_ALS2.2.3m.37861",0.66245,3.8546,0.0010679,0.29695
"CHOYP_BRAFLDRAFT_73486.1.1m.16417",0.66016,3.831,0.0011272,0.30332
"CHOYP_LRP5.1.3m.18025",0.65838,3.8128,0.0011751,0.30632
"CHOYP_LOC100177679.1.1m.54177",0.65541,3.7826,0.0012588,0.30855
"CHOYP_MYO16.4.4m.65831",0.65511,3.7795,0.0012676,0.30855
"CHOYP_BRAFLDRAFT_124972.1.5m.3843",0.65328,3.761,0.0013222,0.30855
"CHOYP_EPN4.2.3m.66030",0.65297,3.758,0.0013315,0.30855
"CHOYP_LOC101158638.2.2m.27400",0.65157,3.7439,0.0013749,0.30999
"CHOYP_contig_026627m.30320",0.64807,3.7093,0.001488,0.32665
"CHOYP_NEMVEDRAFT_V1G97278.1.2m.34546",0.6463,3.6919,0.0015482,0.32865
"CHOYP_contig_049548m.58834",0.6444,3.6732,0.0016153,0.32865
"CHOYP_NEMVEDRAFT_V1G243463.1.1m.49871",0.6444,3.6732,0.0016153,0.32865
"CHOYP_NEMVEDRAFT_V1G236658.5.6m.34525",0.639,3.621,0.0018193,0.3457
"CHOYP_contig_051311m.61287",0.6371,3.6029,0.0018958,0.3457
"CHOYP_BRAFLDRAFT_132336.1.1m.26677",-0.63699,-3.6019,0.0019002,0.3457
"CHOYP_CHRD1.1.1m.42143",0.63661,3.5983,0.001916,0.3457
"CHOYP_HIP1.1.1m.31791",0.63651,3.5973,0.0019202,0.3457
"CHOYP_TRIADDRAFT_26633.4.6m.50465",0.63585,3.591,0.0019477,0.3457
"CHOYP_BRAFLDRAFT_115687.1.1m.4876",0.63459,3.5791,0.0020012,0.3478
"CHOYP_LOC100524481.1.1m.14740",0.6318,3.5529,0.0021243,0.36165
"CHOYP_BRAFLDRAFT_200527.1.1m.601",0.62946,3.531,0.0022324,0.37245
"CHOYP_BRAFLDRAFT_118602.2.5m.17419",0.62645,3.5032,0.0023779,0.38151
"CHOYP_LOC100485536.1.1m.48204",0.62644,3.5032,0.0023781,0.38151
"CHOYP_CLK2.1.1m.3081",0.6247,3.4871,0.0024664,0.3882
"CHOYP_LOC100640618.1.1m.4378",0.62237,3.4659,0.0025881,0.39819
"CHOYP_LMO7.1.1m.27803",0.62167,3.4596,0.0026253,0.39819
"CHOYP_KCY.1.1m.29973",0.61958,3.4406,0.0027404,0.40822
"CHOYP_KPC1.1.2m.30648",0.61377,3.3888,0.0030819,0.43818
"CHOYP_contig_034847m.39553",0.61072,3.3618,0.0032752,0.43818
"CHOYP_LOC100710578.1.1m.62426",0.61049,3.3598,0.00329,0.43818
"CHOYP_LOC756222.1.2m.62",0.6087,3.3441,0.0034086,0.43818
"CHOYP_LOC100215454.1.1m.40627",0.60856,3.3429,0.003418,0.43818
"CHOYP_LOC100211409.1.1m.4743",0.60833,3.3409,0.0034333,0.43818
"CHOYP_ISCW_ISCW000210.4.4m.38490",0.6072,3.3311,0.0035107,0.43818
"CHOYP_contig_043576m.50359",0.60698,3.3292,0.0035258,0.43818
"CHOYP_LOC754102.1.1m.57578",0.60613,3.3218,0.0035848,0.43818
"CHOYP_DSRAD.3.4m.24850",0.60474,3.3098,0.0036829,0.43818
"CHOYP_LOC100164363.1.1m.61731",0.60437,3.3066,0.0037098,0.43818
"CHOYP_LOC100878123.1.1m.55730",0.60402,3.3036,0.0037351,0.43818
"CHOYP_ISCW_ISCW009328.2.2m.65633",0.60295,3.2944,0.003813,0.43818
"CHOYP_LOC100122293.2.2m.61265",0.60233,3.2891,0.0038588,0.43818
"CHOYP_contig_004853m.5555",0.60217,3.2877,0.0038712,0.43818
"CHOYP_PHUM_PHUM289860.1.1m.44779",0.60101,3.2778,0.0039588,0.43818
"CHOYP_contig_002279m.2484",0.60064,3.2746,0.0039869,0.43818
"CHOYP_ASPM.1.4m.6650",0.59963,3.266,0.004065,0.43818
"CHOYP_LOC101063699.1.1m.18944",-0.5996,-3.2658,0.0040671,0.43818
"CHOYP_LOC100656236.1.1m.27240",0.59778,3.2503,0.0042108,0.43818
"CHOYP_FLNA.2.6m.11845",0.59618,3.2368,0.0043406,0.43818
"CHOYP_HSP7D.2.3m.34782",0.59599,3.2352,0.0043559,0.43818
"CHOYP_VPS4B.2.2m.30053",0.59407,3.2191,0.0045161,0.43818
"CHOYP_VPS53.1.1m.51625",0.59407,3.2191,0.0045166,0.43818
"CHOYP_BRAFLDRAFT_219059.1.1m.40578",0.59316,3.2115,0.0045946,0.43818
"CHOYP_BRAFLDRAFT_120093.2.2m.51468",0.59244,3.2054,0.004657,0.43818
"CHOYP_contig_044503m.51534",0.59214,3.2029,0.0046831,0.43818
"CHOYP_EVL.1.1m.57134",0.59174,3.1997,0.0047178,0.43818
"CHOYP_ARC1A.1.1m.56263",0.59095,3.1931,0.0047879,0.43818
"CHOYP_TEMPT.1.3m.4934",0.5903,3.1877,0.0048457,0.43818
"CHOYP_EPDR2.1.1m.33988",0.5901,3.186,0.0048643,0.43818
"CHOYP_contig_035545m.40311",0.58943,3.1805,0.0049249,0.43818
"CHOYP_LOC100377173.1.2m.37699",0.5893,3.1794,0.0049366,0.43818
"CHOYP_LOC100931580.2.2m.44310",0.58916,3.1783,0.0049495,0.43818
"CHOYP_contig_005134m.5869",0.58908,3.1776,0.0049565,0.43818
"CHOYP_ANKMY2.1.1m.18238",0.58898,3.1768,0.0049655,0.43818
"CHOYP_contig_033356m.38032",0.58756,3.1651,0.005098,0.43818
"CHOYP_RBSK.1.1m.17187",0.5859,3.1515,0.0052554,0.43818
"CHOYP_LOC100119086.1.1m.55425",0.58554,3.1485,0.0052903,0.43818
"CHOYP_EST1A.1.1m.59161",0.58259,3.1245,0.0055822,0.43818
"CHOYP_HSP7D.3.3m.41778",0.58217,3.121,0.0056248,0.43818
"CHOYP_contig_041958m.48141",0.58173,3.1175,0.0056698,0.43818
"CHOYP_LOC100402577.1.1m.44548",0.58008,3.1041,0.0058411,0.43818
"CHOYP_LOC100204502.1.2m.26864",0.57836,3.0903,0.0060244,0.43818
"CHOYP_LOC100893889.2.2m.64935",0.57802,3.0876,0.0060605,0.43818
"CHOYP_LOC100533388.4.6m.45039",0.57735,3.0822,0.0061335,0.43818
"CHOYP_contig_013437m.15402",0.57735,3.0822,0.0061335,0.43818
"CHOYP_BRAFLDRAFT_98740.5.7m.58200",0.57735,3.0822,0.0061335,0.43818
"CHOYP_BUCC.1.2m.10972",0.57735,3.0822,0.0061335,0.43818
"CHOYP_LOC100367291.1.1m.51818",0.57735,3.0822,0.0061335,0.43818
"CHOYP_LOC100371597.1.1m.3330",0.57735,3.0822,0.0061335,0.43818
"CHOYP_LOC574855.4.9m.22339",0.57735,3.0822,0.0061335,0.43818
"CHOYP_LOC583843.1.1m.11191",0.57735,3.0822,0.0061335,0.43818
"CHOYP_BRAFLDRAFT_65518.1.1m.29803",0.57735,3.0822,0.0061335,0.43818
"CHOYP_LOC584270.1.1m.49225",0.57735,3.0822,0.0061335,0.43818
"CHOYP_PTPRK.6.20m.6291",0.57735,3.0822,0.0061335,0.43818
"CHOYP_contig_000189m.198",0.57735,3.0822,0.0061335,0.43818
"CHOYP_RSSA.3.10m.22114",0.57735,3.0822,0.0061335,0.43818
"CHOYP_FMRF.2.4m.37051",0.57735,3.0822,0.0061335,0.43818
"CHOYP_contig_030744m.35041",0.57735,3.0822,0.0061335,0.43818
"CHOYP_TAGL3.1.1m.31031",0.57642,3.0747,0.0062364,0.43818
"CHOYP_DPSE_GA17283.3.3m.59446",0.57631,3.0738,0.0062487,0.43818
"CHOYP_LOC100118048.1.1m.62637",0.57629,3.0737,0.0062507,0.43818
"CHOYP_ACTZ.1.1m.12877",0.5755,3.0675,0.0063382,0.44061
"CHOYP_POGLUT1.1.1m.45796",0.57421,3.0571,0.0064851,0.44374
"CHOYP_ISCW_ISCW012232.1.1m.38746",-0.57417,-3.0568,0.0064896,0.44374
"CHOYP_contig_039058m.44237",0.57354,3.0518,0.0065621,0.44392
"CHOYP_HMCN1.28.44m.47379",0.57288,3.0466,0.0066387,0.44392
"CHOYP_LOC100704819.1.2m.14210",0.57227,3.0418,0.0067103,0.44392
"CHOYP_LOC100372150.1.1m.7059",0.57221,3.0413,0.0067175,0.44392
"CHOYP_MET14.1.1m.5074",0.57186,3.0386,0.0067583,0.44392
"CHOYP_BRAFLDRAFT_92367.1.4m.29492",0.57024,3.0258,0.0069526,0.44451
"CHOYP_CRYM.1.1m.8544",0.57005,3.0243,0.0069753,0.44451
"CHOYP_LOC100905729.1.3m.13789",0.56988,3.0229,0.0069968,0.44451
"CHOYP_LOC100635182.1.1m.5368",0.5692,3.0176,0.0070796,0.44451
"CHOYP_LOC100876515.1.2m.37063",0.56863,3.0132,0.00715,0.44451
"CHOYP_TBCE.1.1m.14005",0.56857,3.0127,0.0071573,0.44451
"CHOYP_contig_007082m.8119",0.56777,3.0065,0.0072571,0.44451
"CHOYP_contig_023763m.27021",0.56755,3.0047,0.0072851,0.44451
"CHOYP_LOC101061332.1.1m.25069",0.5675,3.0043,0.0072914,0.44451
"CHOYP_ZC3HDC1L.1.1m.44413",-0.56715,-3.0016,0.0073355,0.44451
"CHOYP_PHUM_PHUM574190.1.1m.24768",0.56701,3.0005,0.0073535,0.44451
"CHOYP_PHUM_PHUM445570.1.1m.18708",0.56578,2.9909,0.0075117,0.44784
"CHOYP_LOC583890.1.1m.14405",0.56474,2.9828,0.0076471,0.44784
"CHOYP_BRAFLDRAFT_117275.1.1m.9900",0.56467,2.9823,0.007656,0.44784
"CHOYP_AP2M1.1.1m.25996",0.56463,2.982,0.0076616,0.44784
"CHOYP_NCAH.3.5m.51972",-0.56381,-2.9756,0.0077695,0.44784
"CHOYP_BRAFLDRAFT_108792.3.5m.34514",0.56364,2.9743,0.0077924,0.44784
"CHOYP_MLE.4.9m.38686",0.56299,2.9693,0.0078792,0.44784
"CHOYP_PDIA6.1.2m.9012",0.56295,2.969,0.0078845,0.44784
"CHOYP_LRRX1.6.11m.41895",0.56208,2.9623,0.0080021,0.44784
"CHOYP_LYS3.1.1m.31221",0.56201,2.9618,0.0080111,0.44784
"CHOYP_14332.1.2m.5643",0.56189,2.9608,0.0080284,0.44784
"CHOYP_LOC100890433.1.1m.30609",0.56164,2.9589,0.0080616,0.44784
"CHOYP_LOC590298.2.3m.4191",0.56061,2.951,0.008204,0.44784
"CHOYP_LOC100533388.1.6m.3716",0.56061,2.951,0.008204,0.44784
"CHOYP_EEF1A.3.3m.37430",0.56054,2.9504,0.0082137,0.44784
"CHOYP_DOCK1.2.2m.61345",0.55942,2.9419,0.0083707,0.44805
"CHOYP_PAPOG.1.2m.33182",0.55941,2.9418,0.0083723,0.44805
"CHOYP_SMP_051990.7.7m.57569",0.55936,2.9414,0.0083788,0.44805
"CHOYP_PK3CD.1.1m.53039",0.55527,2.9103,0.0089739,0.45969
"CHOYP_contig_033090m.37804",0.55523,2.91,0.0089797,0.45969
"CHOYP_KI21A.1.2m.43900",0.5547,2.9059,0.0090598,0.45969
"CHOYP_RELN.3.4m.48195",0.5547,2.9059,0.0090598,0.45969
"CHOYP_TMEL_0889.1.2m.168",0.5547,2.9059,0.0090598,0.45969
"CHOYP_contig_002417m.2661",0.5547,2.9059,0.0090598,0.45969
"CHOYP_DWIL_GK25045.1.2m.9225",0.5546,2.9052,0.0090752,0.45969
"CHOYP_LOC100369194.1.1m.42345",-0.55403,-2.9009,0.0091605,0.45969
"CHOYP_LOC100892181.1.1m.49777",0.55391,2.9,0.0091793,0.45969
"CHOYP_ISCW_ISCW008316.1.3m.11997",0.5534,2.8961,0.0092577,0.45969
"CHOYP_BRAFLDRAFT_131608.1.1m.44249",0.5534,2.8961,0.0092577,0.45969
"CHOYP_LOC100721584.1.1m.52602",0.5534,2.8961,0.0092577,0.45969
"CHOYP_LOC100867381.8.8m.53059",0.55237,2.8883,0.009417,0.46178
"CHOYP_CENTRIN.1.1m.59526",0.55216,2.8868,0.0094497,0.46178
"CHOYP_PHUM_PHUM454570.1.1m.28665",0.55205,2.886,0.0094658,0.46178
"CHOYP_IMSP5.1.2m.5157",-0.55132,-2.8804,0.0095813,0.46378
"CHOYP_2AAA.1.1m.13306",0.55091,2.8774,0.0096452,0.46378
"CHOYP_BRAFLDRAFT_85506.1.1m.54726",0.55054,2.8746,0.009705,0.46378
"CHOYP_NEMVEDRAFT_V1G79897.1.1m.52661",0.55018,2.8719,0.0097627,0.46378
"CHOYP_BRAFLDRAFT_86827.4.4m.61859",-0.54981,-2.8691,0.0098225,0.46378
"CHOYP_LOC100368416.1.1m.58347",0.54938,2.866,0.0098907,0.46378
"CHOYP_ACA1_394750.1.2m.54181",0.54935,2.8657,0.009896,0.46378
"CHOYP_LOC100377677.2.2m.27049",0.54845,2.859,0.010042,0.46799
"CHOYP_HSPA12A.15.27m.45635",0.54805,2.856,0.010109,0.46848
"CHOYP_LOC100366470.2.2m.64705",0.5477,2.8534,0.010166,0.46853
"CHOYP_contig_040623m.46145",0.54696,2.8479,0.010289,0.46857
"CHOYP_PDIA4.1.1m.54958",0.54622,2.8424,0.010414,0.46857
"CHOYP_PCKG.1.2m.43785",0.54582,2.8394,0.010482,0.46857
"CHOYP_SEM2A.1.1m.43497",0.54563,2.838,0.010515,0.46857
