D_11_T_23_adj.ChiSq.pval,D_11_T_23_ChiSq.pval,D_11_T_23_FC,D_11_T_23_logFC,D_11_T_29_adj.ChiSq.pval,D_11_T_29_ChiSq.pval,D_11_T_29_FC,D_11_T_29_logFC,D_13_T_23_adj.ChiSq.pval,D_13_T_23_ChiSq.pval,D_13_T_23_FC,D_13_T_23_logFC,D_13_T_29_adj.ChiSq.pval,D_13_T_29_ChiSq.pval,D_13_T_29_FC,D_13_T_29_logFC,D_3_T_23_adj.ChiSq.pval,D_3_T_23_ChiSq.pval,D_3_T_23_FC,D_3_T_23_logFC,D_3_T_29_adj.ChiSq.pval,D_3_T_29_ChiSq.pval,D_3_T_29_FC,D_3_T_29_logFC,D_5_T_23_adj.ChiSq.pval,D_5_T_23_ChiSq.pval,D_5_T_23_FC,D_5_T_23_logFC,D_5_T_29_adj.ChiSq.pval,D_5_T_29_ChiSq.pval,D_5_T_29_FC,D_5_T_29_logFC,D_7_T_23_adj.ChiSq.pval,D_7_T_23_ChiSq.pval,D_7_T_23_FC,D_7_T_23_logFC,D_7_T_29_adj.ChiSq.pval,D_7_T_29_ChiSq.pval,D_7_T_29_FC,D_7_T_29_logFC,D_9_T_23_adj.ChiSq.pval,D_9_T_23_ChiSq.pval,D_9_T_23_FC,D_9_T_23_logFC,D_9_T_29_adj.ChiSq.pval,D_9_T_29_ChiSq.pval,D_9_T_29_FC,D_9_T_29_logFC,evalue,type,name,protein_ID,TempPC2,TimePC12,TimexTempPC12
0.776443008,0.156206314,-0.186833823,-0.298377886,0.414945464,0.055931289,-0.247671235,-0.410564842,0.924704431,0.382445865,0.128763686,0.17474348,0.869098059,0.209488367,0.175087978,0.232768775,0.986700297,0.09458294,-0.211924225,-0.343593741,0.999430996,0.834135473,0.028559745,0.040625596,0.982201279,0.629319762,0.06577138,0.091897997,0.560065527,0.069039968,0.265483507,0.339688705,0.996246022,0.878855963,0.020708764,0.029571285,0.802395694,0.157694514,0.208901445,0.273696634,0.429579911,0.048397284,0.286250167,0.363171265,0.956924303,0.341288601,-0.126253084,-0.194712637,4.90E-96,protein,RS27A_CHICK,CHOYP_ABCF2.1.2.m.28362,,0.099782897,0.082721053
0.376538064,0.040527673,0.40690656,0.492526515,0.074837625,0.005024933,0.575679377,0.655974002,0.462049995,0.050428693,0.400593581,0.486038381,0.398635192,0.053432053,0.370452399,0.454652219,0.986700297,0.257624244,0.210294363,0.275357977,0.851907075,0.096544511,0.318789684,0.399214507,0.982201279,0.388172496,0.158185769,0.211866675,0.718979962,0.106043442,0.313692403,0.393627513,0.996246022,0.252535983,0.214116873,0.279907305,0.256018526,0.020473756,0.475318926,0.561026862,0.640192195,0.103056437,0.312835902,0.392686598,0.162675447,0.013670266,0.495108538,0.580250221,1.27E-175,protein,HTS_DROME,CHOYP_ADD.3.5.m.17639,0.030594612,0.025516139,
0.382276679,0.042950165,0.428353307,0.514352878,0.501355478,0.078232384,0.368015111,0.452084167,0.924704431,0.564692206,-0.112299843,-0.171855643,0.975610915,0.858698455,0.033486768,0.047519918,0.986700297,0.569149227,-0.103769364,-0.158058051,0.999430996,0.920775142,0.018884198,0.026990091,0.982201279,0.951084266,0.011507637,0.016507212,0.973152019,0.781050226,-0.052625671,-0.077993515,0.996246022,0.747331153,-0.059847811,-0.08903378,0.938232479,0.645825783,0.092483002,0.127610833,0.995145093,0.590158649,-0.099426591,-0.151084215,0.940726046,0.24713073,0.233464544,0.302716245,2.05E-78,protein,NDKB_MOUSE,CHOYP_AGAP_AGAP007120.1.1.m.57542,0.037127043,0.079446191,
0.10375232,0.007135989,-0.481160312,-0.946639255,0.352416203,0.042684759,-0.374181256,-0.676183226,0.457365042,0.049859863,-0.37860989,-0.686428815,0.975610915,0.327139067,-0.184053725,-0.293453933,0.986700297,0.148187505,-0.266469695,-0.447071524,0.999430996,0.470816199,-0.139132228,-0.216136436,0.982201279,0.255026306,-0.212738463,-0.3450851,0.973152019,0.439202062,-0.151152601,-0.236422878,0.869960397,0.154140376,-0.26490742,-0.444002137,0.938232479,0.522487078,-0.129375085,-0.199876787,0.138528468,0.009771718,-0.455333203,-0.876554171,0.912654964,0.237200781,-0.225533778,-0.368725776,7.82E-13,protein,AGRIN_RAT,CHOYP_AGRIN.2.5.m.5339,0.031053752,,
0.649159644,0.104724233,-0.292491335,-0.499180278,0.961363912,0.290254995,-0.19565616,-0.31411574,0.924704431,0.798433175,-0.050967832,-0.075471106,0.945856378,0.289968676,-0.18922886,-0.302633359,0.986700297,0.384338924,-0.157668549,-0.24754006,0.977017671,0.124937379,-0.271993428,-0.45797662,0.865980769,0.128210296,-0.266851784,-0.447823206,0.973152019,0.35782502,-0.170444588,-0.269589742,0.996246022,0.301369033,-0.187244077,-0.29910593,0.938232479,0.84958353,-0.0373926,-0.05498058,0.995145093,0.393940649,-0.156408327,-0.245383241,0.776628734,0.152630543,-0.25788249,-0.430280447,1.69E-124,protein,ARF2_RAT,CHOYP_ARF2.1.3.m.10738,,,0.032907512
0.963868456,0.54069986,-0.115614169,-0.177252183,0.841939702,0.214689637,0.255561116,0.328332256,0.924704431,0.403804587,0.174992208,0.232651189,0.912832326,0.225118391,0.242032384,0.31270279,0.986700297,0.567861371,-0.105022833,-0.160077219,0.999430996,0.15230049,0.292211666,0.369842405,0.982201279,0.388769277,0.169545964,0.225948562,0.973152019,0.289590364,0.215395139,0.281425427,0.996246022,0.972158674,-0.006631649,-0.009599312,0.725023376,0.126049236,0.326259085,0.407362634,0.995145093,0.806010486,-0.046374631,-0.068505479,0.977637038,0.811253573,0.046575976,0.065677048,0,protein,ARP3_PONAB,CHOYP_ARP3.1.1.m.6867,0.029282,,
0.963868456,0.498344437,0.066374545,0.092714248,0.2427881,0.024117012,-0.206476929,-0.333655926,0.896781668,0.179175917,-0.130611147,-0.201926496,0.651007308,0.118166385,-0.140571762,-0.218550915,0.986700297,0.52589175,0.060390163,0.084595192,0.999430996,0.449649745,0.072830313,0.101421907,0.982201279,0.807370072,-0.022703878,-0.033132328,0.971512014,0.217916261,-0.114990941,-0.176235872,0.996246022,0.530114986,0.06018685,0.084318551,0.137158017,0.008263781,-0.245549855,-0.406502526,0.91971255,0.212533021,0.121718699,0.165710927,0.977637038,0.772916484,0.027803313,0.039564208,0,protein,ATPB_HEMPU,CHOYP_ATPB.1.1.m.21960,-0.053630317,,0.028759182
0.425571629,0.052654657,0.176290959,0.234244959,0.966102556,0.504056944,0.059163315,0.082925059,0.763249609,0.128215953,0.142261231,0.191892628,0.975610915,0.533023881,0.053419011,0.075079401,0.986700297,0.678932864,-0.034828546,-0.051142847,0.999430996,0.990604698,0.001009037,0.001454999,0.982201279,0.750562271,0.027139111,0.038631586,0.973152019,0.340983857,0.084464967,0.116983449,0.996246022,0.397194875,0.07371432,0.102610191,0.48738372,0.057389598,0.176520156,0.234526037,0.995145093,0.541116378,0.053141139,0.074698795,0.523394633,0.078578296,0.158159444,0.211833884,0,protein,IDHP_MACFA,CHOYP_BRAFLDRAFT_115608.1.1.m.25984,,0.040403369,0.053820422
0.866796155,0.185444742,-0.202824438,-0.327030611,0.41934545,0.056788011,-0.285163935,-0.484315671,0.007794229,2.58E-04,-0.533957418,-1.101466315,0.160749839,0.01394661,-0.347717368,-0.616430879,0.986700297,0.301109911,-0.155474977,-0.243787925,0.767603811,0.075766251,-0.261755835,-0.437830047,0.259016652,0.016870442,-0.339948407,-0.599349297,0.560256181,0.070483092,-0.270521767,-0.455063164,0.046074871,0.002160936,-0.428813198,-0.807965451,0.245796935,0.019378182,-0.352913914,-0.627970439,0.088982229,0.005426428,-0.394814669,-0.724551077,0.820621675,0.183313704,-0.201985818,-0.325513709,7.30E-69,protein,PRDX5_HUMAN,CHOYP_BRAFLDRAFT_119799.1.1.m.23765,0.040445458,0.080527706,0.04958861
0.099699567,0.006719347,-0.67102556,-1.6039526,0.153315057,0.012973851,-0.624696405,-1.413869987,0.041046129,0.001854693,-0.78386431,-2.209990771,0.008196554,3.97E-04,-0.793744622,-2.277496359,0.986700297,0.371016512,-0.244648427,-0.404779802,0.174624104,0.007114071,-0.651822944,-1.522106957,0.173159177,0.009574874,-0.624318461,-1.41241787,0.057791788,0.002710466,-0.723201935,-1.853094238,0.172366228,0.012635422,-0.611290645,-1.363236267,0.291879033,0.024442529,-0.590775598,-1.289035919,0.180545927,0.014256613,-0.605313915,-1.341222438,0.303429059,0.032925849,-0.544966967,-1.135956813,8.57E-20,protein,DYDC1_HUMAN,CHOYP_BRAFLDRAFT_120058.1.1.m.9895,,0.027552122,0.031789556
0.003176768,1.07E-04,-0.722842047,-1.85121969,1.34E-04,3.04E-06,-0.834000333,-2.590747749,0.262003938,0.020754744,-0.490141448,-0.971831034,9.98E-04,3.36E-05,-0.732396869,-1.901833098,0.986700297,0.536809382,-0.13382049,-0.207262049,0.356927871,0.020330482,-0.460995134,-0.891629797,0.011676775,3.39E-04,-0.655357676,-1.536828212,0.111269343,0.006533734,-0.537486994,-1.11243416,0.170250283,0.012437497,-0.490580333,-0.973073436,0.6307988,0.088863293,-0.366489147,-0.658558759,0.184079729,0.014651385,-0.482747581,-0.951059607,0.001902886,6.75E-05,-0.731647186,-1.897797076,1.19E-113,protein,RSPH9_DANRE,CHOYP_BRAFLDRAFT_121507.1.2.m.30603,,0.029253356,0.05405061
0.126766509,0.009450095,0.748540614,0.806151306,0.181991895,0.016682018,0.681967212,0.750149582,0.924704431,0.201997771,0.352437298,0.435561709,0.975610915,0.645548702,-0.107035541,-0.163325339,0.986700297,0.789223912,-0.063215941,-0.094211569,0.999430996,0.900845282,0.030450479,0.043275175,0.914897768,0.143889663,0.383637565,0.468466088,0.31102474,0.026614243,0.622796498,0.698482094,0.996246022,0.832696099,0.051801783,0.072862848,0.907257191,0.244581845,0.314934292,0.394990709,2.10E-04,4.70E-06,1.462273649,1.299991107,0.528553882,0.079618704,0.477519025,0.563176707,3.75E-112,protein,RL7_PONAB,CHOYP_BRAFLDRAFT_121562.1.1.m.37268,-0.026891818,0.036318827,0.065968696
2.51E-06,3.35E-08,-0.969974555,-5.057670567,7.61E-06,1.25E-07,-0.940055676,-4.060233032,2.31E-05,2.96E-07,-0.965478327,-4.856353817,8.84E-06,1.71E-07,-0.894580585,-3.245787499,0.986700297,0.880424606,-0.034828546,-0.051142847,0.001506378,2.46E-05,-0.777553547,-2.168470003,0.001562392,3.14E-05,-0.759981239,-2.058780915,7.47E-05,1.09E-06,-0.882104528,-3.084419784,0.001922526,5.17E-05,-0.751657912,-2.009599312,0.00327304,9.47E-05,-0.771232192,-2.128044042,1.92E-04,4.19E-06,-0.831892964,-2.572547984,4.01E-05,8.77E-07,-0.88371378,-3.104247953,2.36E-167,protein,TEKT2_HUMAN,CHOYP_BRAFLDRAFT_123537.2.2.m.50531,,,0.026387322
0.963868456,0.57664903,0.170992351,0.227731652,0.966102556,0.792182645,0.078997834,0.109691969,0.972817519,0.957756528,-0.016132326,-0.023463803,0.975610915,0.349648857,-0.248886666,-0.412897485,0.986700297,0.157856313,0.447757182,0.533819653,0.999430996,0.283292846,0.334678716,0.416492498,0.593779359,0.066109106,0.600125075,0.678184679,0.973152019,0.442036526,0.237902457,0.307897638,0.671489032,0.101270507,0.531442874,0.614891553,0.938232479,0.475843779,0.225541829,0.293419726,0.938528178,0.220677442,0.386883049,0.471846135,0.977637038,0.560009906,0.177397973,0.235602049,2.43E-06,protein,CPG2_CAEEL,CHOYP_BRAFLDRAFT_125880.1.3.m.7081,-0.043615959,,
