"","x"
"1","GO:0002376"
"2","GO:0000003"
"3","GO:0040007"
"4","GO:0006950"
"5","GO:0048856"
"6","GO:0006457"
"7","GO:0007155"
"8","GO:0008283"
"9","GO:0043473"
"10","GO:0009058"
"11","GO:0048646"
"12","GO:0006810"
"13","GO:0044403"
"14","GO:0042592"
"15","GO:0050877"
"16","GO:0003013"
"17","GO:0005975"
"18","GO:0007049"
"19","GO:0022607"
"20","GO:0051186"
"21","GO:0016192"
"22","GO:0006091"
"23","GO:0042254"
"24","GO:0007165"
"25","GO:0044281"
"26","GO:0006790"
"27","GO:0009056"
"28","GO:0007059"
"29","GO:0051301"
"30","GO:0008219"
"31","GO:0007568"
"32","GO:0007010"
"33","GO:0000278"
"34","GO:0040011"
"35","GO:0007005"
"36","GO:0051276"
"37","GO:0034641"
"38","GO:0065003"
"39","GO:0006629"
"40","GO:0048870"
"41","GO:0061024"
"42","GO:0030154"
"43","GO:0030198"
"44","GO:0007267"
"45","GO:0051604"
"46","GO:0034330"
"47","GO:0055085"
"48","GO:0009790"
"49","GO:0006913"
"50","GO:0007009"
"51","GO:0022618"
"52","GO:0021700"
"53","GO:0030705"
"54","GO:0000902"
"55","GO:0006464"
"56","GO:0006605"
"57","GO:0006520"
"58","GO:0006259"
"59","GO:0006399"
"60","GO:0006397"
"61","GO:0034655"
"62","GO:0006412"
