source,target,type
negative regulation of cell division,regulation of Notch signaling pathway,term_term
negative regulation of cell division,negative regulation of cell-matrix adhesion,term_term
positive regulation of chemokine (C-C motif) ligand 2 secretion,adult locomotory behavior,term_term
positive regulation of chemokine (C-C motif) ligand 2 secretion,activation of protein kinase A activity,term_term
positive regulation of chemokine (C-C motif) ligand 2 secretion,regulation of systemic arterial blood pressure,term_term
positive regulation of chemokine (C-C motif) ligand 2 secretion,regulation of sprouting angiogenesis,term_term
positive regulation of chemokine (C-C motif) ligand 2 secretion,neuron projection extension,term_term
positive regulation of chemokine (C-C motif) ligand 2 secretion,positive regulation of smooth muscle cell migration,term_term
positive regulation of chemokine (C-C motif) ligand 2 secretion,post-embryonic eye morphogenesis,term_term
cellular protein metabolism,post-translational protein modification,term_term
cellular protein metabolism,activation of protein kinase A activity,term_term
cellular protein metabolism,peptidyl-threonine phosphorylation,term_term
cellular protein metabolism,tRNA modification,term_term
adult locomotory behavior,regulation of systemic arterial blood pressure,term_term
adult locomotory behavior,regulation of sprouting angiogenesis,term_term
adult locomotory behavior,neuron projection extension,term_term
adult locomotory behavior,post-embryonic eye morphogenesis,term_term
regulation of Notch signaling pathway,glucose homeostasis,term_term
regulation of Notch signaling pathway,cellular response to vitamin K,term_term
regulation of Notch signaling pathway,response to muscle activity,term_term
regulation of Notch signaling pathway,cellular response to transforming growth factor beta stimulus,term_term
regulation of Notch signaling pathway,response to mechanical stimulus,term_term
regulation of Notch signaling pathway,regulation of cellular defense response,term_term
regulation of Notch signaling pathway,protein kinase A signaling,term_term
fatty acid biosynthesis,glucose metabolism,term_term
fatty acid biosynthesis,microtubule-based process,term_term
fatty acid biosynthesis,mitotic cell cycle,term_term
glucose homeostasis,regulation of systemic arterial blood pressure,term_term
post-translational protein modification,activation of protein kinase A activity,term_term
post-translational protein modification,peptidyl-threonine phosphorylation,term_term
post-translational protein modification,tRNA modification,term_term
cellular response to vitamin K,response to muscle activity,term_term
cellular response to vitamin K,cellular response to transforming growth factor beta stimulus,term_term
cellular response to vitamin K,response to mechanical stimulus,term_term
cellular response to vitamin K,protein kinase A signaling,term_term
activation of protein kinase A activity,peptidyl-threonine phosphorylation,term_term
activation of protein kinase A activity,tRNA modification,term_term
activation of protein kinase A activity,positive regulation of smooth muscle cell migration,term_term
response to muscle activity,cellular response to transforming growth factor beta stimulus,term_term
response to muscle activity,response to mechanical stimulus,term_term
response to muscle activity,protein kinase A signaling,term_term
regulation of systemic arterial blood pressure,regulation of sprouting angiogenesis,term_term
regulation of systemic arterial blood pressure,neuron projection extension,term_term
regulation of systemic arterial blood pressure,post-embryonic eye morphogenesis,term_term
regulation of sprouting angiogenesis,neuron projection extension,term_term
regulation of sprouting angiogenesis,post-embryonic eye morphogenesis,term_term
cellular response to transforming growth factor beta stimulus,response to mechanical stimulus,term_term
cellular response to transforming growth factor beta stimulus,regulation of cellular defense response,term_term
cellular response to transforming growth factor beta stimulus,protein kinase A signaling,term_term
neuron projection extension,extracellular matrix organization,term_term
neuron projection extension,post-embryonic eye morphogenesis,term_term
peptidyl-threonine phosphorylation,tRNA modification,term_term
response to mechanical stimulus,regulation of cellular defense response,term_term
response to mechanical stimulus,protein kinase A signaling,term_term
microtubule-based process,mitotic cell cycle,term_term
hyaluronan catabolism,,term_term
collagen-containing extracellular matrix,CHOYP_BRAFLDRAFT_127065.6.7.m.30727,term_protein
cytoplasm,CHOYP_contig_023710.m.26965,term_protein
basement membrane,CHOYP_contig_026700.m.30399,term_protein
cell,CHOYP_FASN.3.4.m.60278,term_protein
extracellular space,CHOYP_FUCL1.1.1.m.28893,term_protein
cytoplasm,CHOYP_LOC584364.2.2.m.57790,term_protein
cytoplasm,CHOYP_LOC754102.1.1.m.57578,term_protein
myofibril,CHOYP_MYSP.4.9.m.2302,term_protein
A band,CHOYP_PHUM_PHUM226120.5.7.m.43551,term_protein
cytoplasm,CHOYP_TBA.1.6.m.12217,term_protein
cytoplasm,CHOYP_TBA1A.2.4.m.19573,term_protein
integral component of plasma membrane,CHOYP_TMEM2.3.4.m.10491,term_protein
cytoplasm,CHOYP_BRAFLDRAFT_127065.6.7.m.30727,term_protein
ATP binding,CHOYP_contig_023710.m.26965,term_protein
collagen-containing extracellular matrix,CHOYP_contig_026700.m.30399,term_protein
(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase activity,CHOYP_FASN.3.4.m.60278,term_protein
calcium ion binding,CHOYP_FUCL1.1.1.m.28893,term_protein
microtubule,CHOYP_LOC584364.2.2.m.57790,term_protein
microtubule,CHOYP_LOC754102.1.1.m.57578,term_protein
myosin filament,CHOYP_MYSP.4.9.m.2302,term_protein
M band,CHOYP_PHUM_PHUM226120.5.7.m.43551,term_protein
microtubule,CHOYP_TBA.1.6.m.12217,term_protein
microtubule,CHOYP_TBA1A.2.4.m.19573,term_protein
calcium ion binding,CHOYP_TMEM2.3.4.m.10491,term_protein
extracellular matrix,CHOYP_BRAFLDRAFT_127065.6.7.m.30727,term_protein
ligase activity,CHOYP_contig_023710.m.26965,term_protein
endoplasmic reticulum lumen,CHOYP_contig_026700.m.30399,term_protein
3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity,CHOYP_FASN.3.4.m.60278,term_protein
carbohydrate binding,CHOYP_FUCL1.1.1.m.28893,term_protein
GTP binding,CHOYP_LOC584364.2.2.m.57790,term_protein
GTP binding,CHOYP_LOC754102.1.1.m.57578,term_protein
motor activity,CHOYP_MYSP.4.9.m.2302,term_protein
sarcomere,CHOYP_PHUM_PHUM226120.5.7.m.43551,term_protein
GTP binding,CHOYP_TBA.1.6.m.12217,term_protein
GTP binding,CHOYP_TBA1A.2.4.m.19573,term_protein
hyalurononglucosaminidase activity,CHOYP_TMEM2.3.4.m.10491,term_protein
extracellular space,CHOYP_BRAFLDRAFT_127065.6.7.m.30727,term_protein
tRNA modification,CHOYP_contig_023710.m.26965,term_protein
extracellular matrix,CHOYP_contig_026700.m.30399,term_protein
3-oxo-glutaryl-[acp] methyl ester reductase activity,CHOYP_FASN.3.4.m.60278,term_protein
fucose binding,CHOYP_FUCL1.1.1.m.28893,term_protein
structural constituent of cytoskeleton,CHOYP_LOC584364.2.2.m.57790,term_protein
