protein_ID,Day_3_23_C,Day_5_23_C,Day_7_23_C,Day_9_23_C,Day_11_23_C,Day_13_23_C,Day_3_29_C,Day_5_29_C,Day_7_29_C,Day_9_29_C,Day_11_29_C,Day_13_29_C,clusterID,ClusterColor
CHOYP_LOC100929680.1.2.m.17333,0.3193,1.7252,0.45555,5.37905,3.37605,0.19695,5.27935,2.6493,0.45025,1.9865,3.99945,0.6617,8,darkmagenta
CHOYP_BRAFLDRAFT_266781.1.2.m.24880,55.7935,69.54965,59.1611,68.32775,66.64005,60.1236,66.42525,76.43185,62.55825,72.36805,66.23415,57.7344,8,darkmagenta
CHOYP_PABP4.4.6.m.38167,59.81335,61.7861,65.0106,71.2809,65.09145,59.9514,64.78695,69.1753,57.69475,67.34395,63.0693,54.6321,8,darkmagenta
CHOYP_LOC100371236.1.1.m.62865,51.819,68.83345,77.11845,75.4137,69.9267,59.273,59.3783,80.4113,63.82995,65.34575,64.36585,57.0243,8,darkmagenta
CHOYP_CNE_1C34780.3.3.m.30615,12.2537,52.56195,61.6566,62.12285,34.81115,38.03565,25.91005,52.5163,54.0485,20.1963,10.4928,6.33025,8,darkmagenta
CHOYP_BRAFLDRAFT_80496.6.10.m.29014,4.3214,10.9157,18.0837,12.44775,6.14505,4.0147,4.5618,9.04855,9.61265,7.2757,4.5959,3.0087,8,darkmagenta
CHOYP_LOC100369657.2.2.m.45309,1.0193,38.04445,67.57945,59.8649,37.23715,30.651,13.2806,31.9299,34.0621,24.4012,16.5794,8.0291,8,darkmagenta
CHOYP_contig_020392.m.23606,11.94025,23.78775,54.3481,67.06115,22.43385,0.1,16.72145,8.94305,0.1,13.0046,9.04455,4.18765,8,darkmagenta
CHOYP_NEMVEDRAFT_V1G235461.1.1.m.28341,0.1,20.86235,24.1501,35.30115,23.441,0.1,0.1,0.1,7.82855,6.84255,4.75615,0.1,8,darkmagenta
CHOYP_RL18A.1.8.m.12900,54.291,94.1909,99.41605,93.34865,92.10045,83.08285,66.85195,79.04065,64.46195,92.70115,55.75785,62.2896,8,darkmagenta
CHOYP_NEMVEDRAFT_V1G206950.1.1.m.37574,81.6265,101.27295,93.21965,140.11665,124.22335,112.47045,76.25355,78.86245,86.9318,93.0131,71.82415,55.2842,8,darkmagenta
CHOYP_ISCW_ISCW023973.1.2.m.6506,42.87335,66.70235,67.301,73.56045,68.9431,62.8813,54.0226,48.8149,55.75725,51.5819,50.55215,37.21395,8,darkmagenta
CHOYP_CUL3B.1.1.m.61644,19.04625,22.60815,25.60965,109.64515,58.01675,0.1,26.65045,25.60555,61.96275,0.1,51.9362,0.1,8,darkmagenta
CHOYP_LOC100890099.1.1.m.11505,0.1,0.1,0.1,399.37935,0.1,0.1,0.1,88.20305,219.74785,0.1,416.6036,0.1,8,darkmagenta
