GO,p.value,p.adj
GO:0001658,0.00359300708217652,0.477869941929477
GO:0005634,0.000376722101511986,0.0501040395010941
GO:0000082,0.0045695574967993,0.607751147074306
GO:0004180,0.00359300708217652,0.477869941929477
GO:0001932,0.00294117489773884,0.391176261399265
GO:0000175,0.00326717091706277,0.434533731969349
GO:0005201,0.000528318154330358,0.0702663145259376
GO:0005737,5.25817914460831e-05,0.00699337826232906
GO:0005730,0.000381553512884356,0.0507466172136193
GO:0000408,0.00163559018540937,0.217533494659446
GO:0005654,0.000559680905083202,0.0744375603760659
GO:0004222,0.000156241106067362,0.0207800671069591
GO:0003073,0.00326717091706277,0.434533731969349
GO:0002062,0.0026150189196223,0.347797516309766
GO:0000176,0.00326717091706277,0.434533731969349
GO:0005576,0.00106874920935802,0.142143644844616
GO:0003887,0.00391868349757702,0.521184905177743
GO:0000177,0.00359300708217652,0.477869941929477
GO:0005604,0.000305830434263023,0.040675447756982
GO:0005868,0.00489475528918845,0.651002453462064
GO:0046872,0.00473955176968413,0.63036038536799
GO:0000178,0.00359300708217652,0.477869941929477
GO:0005606,0.000981835980773718,0.130584185442905
GO:0005746,0.000981835980773718,0.130584185442905
GO:0102008,0.00130879332458626,0.174069512169973
GO:0000467,0.00228870287804521,0.304397482780013
GO:0008033,0.00196222666825399,0.260976146877781
GO:0048232,0.00163559018540937,0.217533494659446
GO:0072546,0.00163559018540937,0.217533494659446
GO:0005671,0.00130879332458626,0.174069512169973
GO:0103046,0.00130879332458626,0.174069512169973
GO:0008137,0.00424420026767584,0.564478635600887
GO:1902017,1.91783920262191e-05,0.00255072613948714
GO:0008622,0.000654718048874822,0.0870775005003514
GO:0044183,0.00294117489773884,0.391176261399265
GO:0007155,0.00172983339961305,0.230067842148536
GO:0043966,0.0026150189196223,0.347797516309766
GO:0030990,0.000654718048874822,0.0870775005003514
GO:0099641,0.000654718048874822,0.0870775005003514
GO:0022617,0.00163559018540937,0.217533494659446
GO:0035721,0.00294117489773884,0.391176261399265
GO:0035458,0.00163559018540937,0.217533494659446
GO:0030198,0.000216723022629572,0.0288241620097331
GO:0042246,0.00424420026767584,0.564478635600887
GO:0035735,0.00424420026767584,0.564478635600887
GO:0043280,0.00228870287804521,0.304397482780013
GO:0050793,0.00228870287804521,0.304397482780013
GO:0031581,0.00228870287804521,0.304397482780013
GO:0035869,0.00359300708217652,0.477869941929477
GO:0045039,0.000981835980773718,0.130584185442905
GO:0034427,0.00326717091706277,0.434533731969349
GO:0034446,0.00424420026767584,0.564478635600887
GO:0050840,0.00489475528918845,0.651002453462064
GO:0034475,0.0026150189196223,0.347797516309766
GO:0043259,0.000981835980773718,0.130584185442905
GO:0062023,0.000824054863393369,0.109599296831318
GO:0035327,0.00424420026767584,0.564478635600887
GO:0043260,0.000654718048874822,0.0870775005003514
GO:0045504,0.00391868349757702,0.521184905177743
GO:0071300,0.00489475528918845,0.651002453462064
GO:0072593,0.00391868349757702,0.521184905177743
GO:0043928,0.00424420026767584,0.564478635600887
GO:0097190,0.00326717091706277,0.434533731969349
GO:0045006,0.000981835980773718,0.130584185442905
GO:0050679,0.00391868349757702,0.521184905177743
GO:0097191,0.00359300708217652,0.477869941929477
GO:0045190,0.00130879332458626,0.174069512169973
GO:2001243,0.00294117489773884,0.391176261399265
GO:0045830,0.000981835980773718,0.130584185442905
GO:0071034,0.00163559018540937,0.217533494659446
GO:0071035,0.00228870287804521,0.304397482780013
GO:0071038,0.00196222666825399,0.260976146877781
GO:0071049,0.000981835980773718,0.130584185442905
GO:0071051,0.00196222666825399,0.260976146877781
