GO,p.value,p.adj
GO:0005524,0.00062437468338773,0.497626622660021
GO:0000212,0.00142234519318968,1
GO:0005576,0.00216112521768666,1
GO:0005634,0.000735757741497656,0.586398919973632
GO:0003943,0.00107208305129944,0.854450191885651
GO:0004499,0.00226328927614999,1
GO:0005737,1.02261751165769e-08,8.15026156791182e-06
GO:0005739,1.56204152785446e-08,1.24494709770001e-05
GO:0003723,0.00345438647173926,1
GO:0000175,0.00275253578353337,1
GO:0003676,0.00690413982355913,1
GO:0000290,0.00142234519318968,1
GO:0005829,0.00050381989204485,0.401544453959746
GO:0005525,0.00191476285448707,1
GO:0005200,1.11308279422627e-05,0.00887126986998339
GO:0000398,0.00719988560604743,1
GO:0016491,0.000209888921549926,0.167281470475291
GO:0004065,0.00107208305129944,0.854450191885651
GO:0007369,0.00181965456287987,1
GO:0005730,0.000148701141259869,0.118514809584116
GO:0005794,0.00405184225403441,1
GO:0005623,0.00136205486612822,1
GO:0005856,0.00041672947326417,0.332133390191543
GO:0009820,0.000515630189457933,0.410957260997973
GO:0003729,0.00486191632244949,1
GO:0005802,0.00172954239131328,1
GO:0006364,0.00109631176534904,0.873760476983188
GO:0006744,0.00226328927614999,1
GO:0033897,0.000310925706653847,0.247807788203116
GO:0007283,0.00174388860410426,1
GO:0033784,0.000515630189457933,0.410957260997973
GO:0005874,0.000430883119925181,0.343413846580369
GO:0010917,0.000515630189457933,0.410957260997973
GO:0005791,0.00822558888542083,1
GO:0019005,0.00660693218017269,1
GO:0010881,0.00142234519318968,1
GO:0007017,9.40685707460596e-06,0.00749726508846095
GO:0010940,1.33869258118442e-05,0.0106693798720398
GO:0080009,0.00226328927614999,1
GO:0020037,0.00555302457067064,1
GO:0006914,0.0031324281153714,1
GO:0045665,0.00660693218017269,1
GO:0044458,0.00660693218017269,1
GO:0051289,0.000479099750569112,0.381842501203582
GO:0035578,0.00822558888542083,1
GO:0055114,0.00410546222315758,1
GO:0043312,0.00146852367231122,1
GO:0033365,0.0044869337769039,1
GO:0019827,0.0058585435491389,1
GO:0035794,0.000515630189457933,0.410957260997973
GO:0008409,0.000769598444017266,0.613369959881761
GO:0008484,0.00142234519318968,1
GO:0009268,0.00328668878335715,1
GO:0006919,0.00660693218017269,1
GO:0043069,0.00226328927614999,1
GO:0010632,0.00107208305129944,0.854450191885651
GO:0043928,0.000166241694754439,0.132494630719288
GO:0030507,0.00822558888542083,1
GO:0043627,0.00660693218017269,1
GO:0051597,6.16799929247494e-05,0.0491589543610253
GO:0030695,0.00107208305129944,0.854450191885651
GO:0061580,0.00107208305129944,0.854450191885651
GO:0045211,0.00131053859244277,1
GO:0032757,0.0044869337769039,1
GO:1990124,0.000769598444017266,0.613369959881761
GO:0071051,0.00107208305129944,0.854450191885651
GO:0043124,0.0058585435491389,1
