"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
216 0.75587461096945 3 5 "GO:0000002" "mitochondrial genome maintenance" 0.972191552623681
15 0.978660315416643 1 8 "GO:0000003" "reproduction" 0.996485634016242
-42 0.909835596264649 2 18 "GO:0000018" "regulation of DNA recombination" 0.992683254807623
42 0.898367221867915 3 23 "GO:0000027" "ribosomal large subunit assembly" 0.988849814733615
-1116 0.0789091312607238 3 6 "GO:0000028" "ribosomal small subunit assembly" 0.688002317424581
-206 0.660611905678592 2 11 "GO:0000038" "very long-chain fatty acid metabolic process" 0.960716752709661
323 0.281150298989754 2 27 "GO:0000041" "transition metal ion transport" 0.850038298538844
169 0.61918083585254 5 21 "GO:0000045;GO:1905037" "autophagosome organization" 0.943113706176472
582 0.358955911520392 5 6 "GO:0000050;GO:0019627;GO:0071941" "nitrogen cycle metabolic process" 0.87237376016788
-564 0.229118717038995 4 11 "GO:0000054;GO:0033750;GO:0071428;GO:0071426" "ribonucleoprotein complex export from nucleus" 0.811934167082376
-488 0.374697132463565 8 8 "GO:0000055" "ribosomal large subunit export from nucleus" 0.87237376016788
259 0.659259275841872 2 7 "GO:0000070;GO:0000819" "sister chromatid segregation" 0.960716752709661
-80 0.758827752481844 2 36 "GO:0000075;GO:0007093" "cell cycle checkpoint" 0.972191552623681
57 0.886367838219133 4 15 "GO:0000077;GO:0031570" "DNA integrity checkpoint" 0.987914984373673
316 0.432037603979861 5 15 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.886542122211041
800 0.0545011871328672 2 14 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.626700781048411
303 0.286712125768955 5 30 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.853078093317382
-359 0.185573999673721 3 33 "GO:0000096" "sulfur amino acid metabolic process" 0.800815080667849
90 0.800951946557843 4 19 "GO:0000097" "sulfur amino acid biosynthetic process" 0.978368413326619
-897 0.0682745899971059 4 10 "GO:0000098" "sulfur amino acid catabolic process" 0.659442596798394
33 0.793777449345384 2 156 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.976544614662156
934 0.0304933795915097 3 13 "GO:0000154" "rRNA modification" 0.510872359714022
398 0.131271703885454 2 35 "GO:0000165" "MAPK cascade" 0.749224547190351
-764 0.00833078438267658 2 29 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.303926800844747
654 0.265792658540445 2 7 "GO:0000186" "activation of MAPKK activity" 0.84644335286424
-83 0.820877983212556 3 18 "GO:0000187" "activation of MAPK activity" 0.981650410985964
-1 0.996475809249525 3 97 "GO:0000209" "protein polyubiquitination" 0.998953064213476
440 0.423673000092176 2 8 "GO:0000212" "meiotic spindle organization" 0.886542122211041
89 0.470248910846702 2 164 "GO:0000226" "microtubule cytoskeleton organization" 0.89079447233791
601 0.246154331855052 4 9 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.83035476669948
256 0.584618552824057 3 11 "GO:0000245" "spliceosomal complex assembly" 0.934153937654182
-713 0.261601016676308 3 6 "GO:0000266" "mitochondrial fission" 0.838891530614085
-701 0.015379391850225 2 29 "GO:0000272" "polysaccharide catabolic process" 0.409345804028251
177 0.373574523084228 3 62 "GO:0000278" "mitotic cell cycle" 0.87237376016788
336 0.148745858793332 2 45 "GO:0000281;GO:0061640;GO:0000910" "cytoskeleton-dependent cytokinesis" 0.75769980543992
717 0.30287064464806 2 5 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.859963591898121
947 0.085186881246408 2 8 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.698688465605048
1360 0.0321874344662013 2 6 "GO:0000290" "deadenylation-dependent decapping of nuclear-transcribed mRNA" 0.530215680605798
741 0.0570137958318159 2 16 "GO:0000291;GO:0043928" "nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.634168008770755
-399 0.0735684936100374 3 49 "GO:0000302" "response to reactive oxygen species" 0.668880532079341
1616 0.0201719616504734 3 5 "GO:0000338" "protein deneddylation" 0.439694245165049
1255 0.0225269163020085 2 8 "GO:0000380" "alternative mRNA splicing, via spliceosome" 0.45137783844894
169 0.440601870175247 2 51 "GO:0000381;GO:0048024" "regulation of mRNA splicing, via spliceosome" 0.889991966314376
37 0.908463268918368 3 24 "GO:0000387" "spliceosomal snRNP assembly" 0.991970839752375
410 0.555483267434435 2 5 "GO:0000389" "mRNA 3'-splice site recognition" 0.924779974044779
288 0.579134536231024 3 9 "GO:0000394;GO:0006388" "RNA splicing, via endonucleolytic cleavage and ligation" 0.934144006940642
420 0.00307647919695657 5 123 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions" 0.234394006546722
-380 0.287837875780575 4 19 "GO:0000413" "protein peptidyl-prolyl isomerization" 0.853212464306711
-193 0.608415630635135 5 17 "GO:0000422;GO:0061726" "autophagy of mitochondrion" 0.940915064443406
-386 0.511948155854462 3 7 "GO:0000447;GO:0000479;GO:0000478" "endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.903809120253266
-428 0.466266838884077 4 7 "GO:0000460" "maturation of 5.8S rRNA" 0.889991966314376
130 0.746518084341659 2 15 "GO:0000462" "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.972191552623681
428 0.467011667137522 5 7 "GO:0000463" "maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.889991966314376
681 0.246936597178192 8 7 "GO:0000467;GO:0000459;GO:0031125" "rRNA 3'-end processing" 0.83035476669948
293 0.466012966682882 2 15 "GO:0000469" "cleavage involved in rRNA processing" 0.889991966314376
769 0.086713998016555 4 12 "GO:0000470" "maturation of LSU-rRNA" 0.698688465605048
-139 0.8007731296569 4 8 "GO:0000578" "embryonic axis specification" 0.978368413326619
