,GO:0000212,GO:0008810,GO:0004719,GO:0000400,GO:0001503,GO:0002027,GO:0003941,GO:0003785,GO:0005787,GO:0001725,GO:0030245,GO:0003283,GO:0004743,GO:0004794,GO:0004419,GO:0030414,GO:0006465,GO:0006629,GO:0005744,GO:0005856,GO:0030248,GO:0003417,GO:0061052,GO:0006565,GO:0005521,GO:0016810,GO:0007624,GO:0016603,GO:0018243,GO:0048096,GO:0006567,GO:0007015,GO:0017040,GO:0015450,GO:0017186,GO:0008420,GO:0005585,GO:0045047,GO:0070940,GO:0007282,GO:0005640,GO:0072321,GO:0099641,GO:0098794,GO:1904724,GO:0007527,GO:0008302,GO:0008301,GO:0030295,GO:0032392,GO:0034316,GO:0030903,GO:0046951,GO:0035329,GO:0035767,GO:0030507,GO:0045721,GO:0010881,GO:0030723,GO:0045578,GO:0010882,GO:0030724,GO:0035183,GO:0060351,GO:0051015,GO:0034993,GO:0051017,GO:0045172,GO:0071306,GO:0042692,GO:0070528,GO:0046965,GO:0071316,GO:0071672,GO:0045478,GO:0071933,GO:0048134,GO:0071374,GO:0048135,GO:0071375,GO:0090135,GO:0071774,GO:0090286,GO:1902463,GO:0090292,GO:2000393,GO:2000394,GO:2000325,GO:0061572,GO:0033292,GO:0036309,GO:0036371,GO:0043268,GO:0051279,GO:0051924,GO:0051928,GO:0055117,GO:0060307,GO:0070296,GO:0070972,GO:0086004,GO:0086005,GO:0086014,GO:0086015,GO:0086046,GO:0086066,GO:0086070,GO:0086091,GO:0098907,GO:0098910,GO:1901018,GO:1901019,GO:1901021,GO:2001259
GO:0000212,1,0,0,0,0.0755515351545981,0.0814930073933872,0,0,0,0,0.258169008507773,0.0755515351545981,0,0,0,0,0.258169008507773,0.0755515351545981,0,0,0,0.0755515351545981,0.0755515351545981,0.258169008507773,0,0,0.0755515351545981,0,0.258169008507773,0.258169008507773,0.258169008507773,0.310779864293195,0,0,0.258169008507773,0,0,0.0755515351545981,0.258169008507773,0.562553468414184,0,0.0755515351545981,0.258169008507773,0,0,0.0755515351545981,0.562553468414184,0,0,0.258169008507773,0.258169008507773,0.0755515351545981,0.258169008507773,0.0755515351545981,0.258169008507773,0,0.0755515351545981,0.0755515351545981,0.562553468414184,0.0755515351545981,0.0814930073933872,0.562553468414184,0,0.0814930073933872,0,0,0.258169008507773,0,0.258169008507773,0.258169008507773,0.0755515351545981,0,0.258169008507773,0.0755515351545981,0.636053277960492,0,0.606793414148946,0.258169008507773,0.562553468414184,0.258169008507773,0.258169008507773,0.0755515351545981,0.258169008507773,0.0755515351545981,0.258169008507773,0.0755515351545981,0.0755515351545981,0.0755515351545981,0.278471759389351,0.258169008507773,0.0755515351545981,0.258169008507773,0.0814930073933872,0.0814930073933872,0.0930969393593313,0.0814930073933872,0.0909477709125636,0.0755515351545981,0.0755515351545981,0.0814930073933872,0.0814930073933872,0.0755515351545981,0.0755515351545981,0.0755515351545981,0.0755515351545981,0.258169008507773,0.258169008507773,0.0755515351545981,0.0755515351545981,0.0755515351545981,0.0755515351545981,0.0814930073933872,0.0755515351545981,0.0755515351545981
GO:0008810,0,1,0.515611358904682,0.349745701860997,0,0,0.515611358904682,0.349745701860997,0,0,0,0,0.515611358904682,0.515611358904682,0.515611358904682,0.349745701860997,0,0,0,0,0.349745701860997,0,0,0,0.349745701860997,0.764076048489367,0,0.515611358904682,0,0,0,0,0.708368978942789,0.349745701860997,0,0.708368978942789,0,0,0,0,0,0,0,0,0,0,0,0.349745701860997,0.349745701860997,0,0,0,0,0,0,0.349745701860997,0,0,0,0,0,0,0,0,0.349745701860997,0,0,0,0,0,0,0.349745701860997,0,0,0,0.349745701860997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0004719,0,0.515611358904682,1,0.349745701860997,0,0,0.515611358904682,0.349745701860997,0,0,0,0,0.768887883788649,0.515611358904682,0.515611358904682,0.349745701860997,0,0,0,0,0.349745701860997,0,0,0,0.349745701860997,0.556159715316868,0,0.768887883788649,0,0,0,0,0.515611358904682,0.349745701860997,0,0.515611358904682,0,0,0,0,0,0,0,0,0,0,0,0.349745701860997,0.349745701860997,0,0,0,0,0,0,0.349745701860997,0,0,0,0,0,0,0,0,0.349745701860997,0,0,0,0,0,0,0.349745701860997,0,0,0,0.349745701860997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0000400,0,0.349745701860997,0.349745701860997,1,0,0,0.349745701860997,0.537775767577299,0,0,0,0,0.349745701860997,0.349745701860997,0.349745701860997,0.349745701860997,0,0,0,0,0.537775767577299,0,0,0,0.537775767577299,0.377250164529966,0,0.349745701860997,0,0,0,0,0.349745701860997,0.349745701860997,0,0.349745701860997,0,0,0,0,0,0,0,0,0,0,0,0.854184489471395,0.349745701860997,0,0,0,0,0,0,0.537775767577299,0,0,0,0,0,0,0,0,0.537775767577299,0,0,0,0,0,0,0.537775767577299,0,0,0,0.537775767577299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0001503,0.0755515351545981,0,0,0,1,0.0814930073933872,0,0,0,0,0.0755515351545981,0.299013087747967,0,0,0,0,0.0755515351545981,0.299013087747967,0,0,0,0.299013087747967,0.0755515351545981,0.299013087747967,0,0,0.299013087747967,0,0.299013087747967,0.0755515351545981,0.299013087747967,0.0909477709125636,0,0,0.0755515351545981,0,0,0.0755515351545981,0.0755515351545981,0.299013087747967,0,0.299013087747967,0.299013087747967,0,0,0.299013087747967,0.0755515351545981,0,0,0.0755515351545981,0.299013087747967,0.299013087747967,0.299013087747967,0.0755515351545981,0.299013087747967,0,0.0755515351545981,0.0755515351545981,0.0755515351545981,0.0755515351545981,0.0814930073933872,0.0755515351545981,0,0.322527870819599,0,0,0.0755515351545981,0,0.299013087747967,0.299013087747967,0.0755515351545981,0,0.0755515351545981,0.0755515351545981,0.0854226385369093,0,0.322527870819599,0.0755515351545981,0.299013087747967,0.0755515351545981,0.0755515351545981,0.0755515351545981,0.299013087747967,0.0755515351545981,0.299013087747967,0.0755515351545981,0.0755515351545981,0.0755515351545981,0.0814930073933872,0.299013087747967,0.0755515351545981,0.299013087747967,0.0814930073933872,0.0814930073933872,0.0930969393593313,0.0814930073933872,0.0909477709125636,0.0755515351545981,0.0755515351545981,0.0814930073933872,0.0814930073933872,0.0755515351545981,0.0755515351545981,0.0755515351545981,0.0755515351545981,0.299013087747967,0.299013087747967,0.854184489471395,0.0755515351545981,0.0755515351545981,0.0755515351545981,0.0814930073933872,0.0755515351545981,0.0755515351545981
GO:0002027,0.0814930073933872,0,0,0,0.0814930073933872,1,0,0,0,0,0.0814930073933872,0.0814930073933872,0,0,0,0,0.0814930073933872,0.0814930073933872,0,0,0,0.0814930073933872,0.580067162281799,0.0814930073933872,0,0,0.0814930073933872,0,0.0814930073933872,0.314565268680843,0.0814930073933872,0.0996977684426943,0,0,0.0814930073933872,0,0,0.0814930073933872,0.314565268680843,0.0814930073933872,0,0.0814930073933872,0.0814930073933872,0,0,0.0814930073933872,0.0814930073933872,0,0,0.0814930073933872,0.47981050516002,0.0814930073933872,0.0814930073933872,0.314565268680843,0.0814930073933872,0,0.314565268680843,0.606793414148946,0.0814930073933872,0.556159715316868,0.65858544067256,0.0814930073933872,0,0.0884487321952575,0,0,0.0814930073933872,0,0.0814930073933872,0.0814930073933872,0.314565268680843,0,0.0814930073933872,0.314565268680843,0.0930969393593313,0,0.0884487321952575,0.0814930073933872,0.0814930073933872,0.0814930073933872,0.0814930073933872,0.0814930073933872,0.47981050516002,0.0814930073933872,0.47981050516002,0.314565268680843,0.314565268680843,0.314565268680843,0.0884487321952575,0.0814930073933872,0.0814930073933872,0.0814930073933872,0.34141455932744,0.520764078204991,0.394827776285279,0.34141455932744,0.742345278832874,0.47981050516002,0.0814930073933872,0.0884487321952575,0.65858544067256,0.47981050516002,0.47981050516002,0.47981050516002,0.47981050516002,0.0814930073933872,0.0814930073933872,0.921358682829789,0.606793414148946,0.606793414148946,0.314565268680843,0.34141455932744,0.314565268680843,0.314565268680843
GO:0003941,0,0.515611358904682,0.515611358904682,0.349745701860997,0,0,1,0.349745701860997,0,0,0,0,0.515611358904682,0.854184489471395,0.768887883788649,0.349745701860997,0,0,0,0,0.349745701860997,0,0,0,0.349745701860997,0.556159715316868,0,0.515611358904682,0,0,0,0,0.515611358904682,0.349745701860997,0,0.515611358904682,0,0,0,0,0,0,0,0,0,0,0,0.349745701860997,0.349745701860997,0,0,0,0,0,0,0.349745701860997,0,0,0,0,0,0,0,0,0.349745701860997,0,0,0,0,0,0,0.349745701860997,0,0,0,0.349745701860997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0003785,0,0.349745701860997,0.349745701860997,0.537775767577299,0,0,0.349745701860997,1,0,0,0,0,0.349745701860997,0.349745701860997,0.349745701860997,0.349745701860997,0,0,0,0,0.537775767577299,0,0,0,0.623072373260044,0.377250164529966,0,0.349745701860997,0,0,0,0,0.349745701860997,0.349745701860997,0,0.349745701860997,0,0,0,0,0,0,0,0,0,0,0,0.537775767577299,0.349745701860997,0,0,0,0,0,0,0.768887883788649,0,0,0,0,0,0,0,0,0.854184489471395,0,0,0,0,0,0,0.623072373260044,0,0,0,0.623072373260044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0005787,0,0,0,0,0,0,0,0,1,0.623072373260044,0,0,0,0,0,0,0,0,0.854184489471395,0.590644108805177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.708368978942789,0,0,0,0.768887883788649,0,0,0.562553468414184,0.768887883788649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.495561212389603,0,0,0.708368978942789,0,0.495561212389603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0001725,0,0,0,0,0,0,0,0,0.623072373260044,1,0,0,0,0,0,0,0,0,0.623072373260044,0.590644108805177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.495561212389603,0,0,0,0.623072373260044,0,0,0.562553468414184,0.623072373260044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.495561212389603,0,0,0.623072373260044,0,0.495561212389603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0030245,0.258169008507773,0,0,0,0.0755515351545981,0.0814930073933872,0,0,0,0,1,0.0755515351545981,0,0,0,0,0.661426869433287,0.562553468414184,0,0,0,0.0755515351545981,0.0755515351545981,0.768887883788649,0,0,0.0755515351545981,0,0.661426869433287,0.258169008507773,0.768887883788649,0.310779864293195,0,0,0.661426869433287,0,0,0.0755515351545981,0.661426869433287,0.258169008507773,0,0.0755515351545981,0.258169008507773,0,0,0.0755515351545981,0.258169008507773,0,0,0.258169008507773,0.258169008507773,0.0755515351545981,0.562553468414184,0.0755515351545981,0.258169008507773,0,0.0755515351545981,0.0755515351545981,0.258169008507773,0.0755515351545981,0.0814930073933872,0.258169008507773,0,0.0814930073933872,0,0,0.258169008507773,0,0.258169008507773,0.258169008507773,0.0755515351545981,0,0.258169008507773,0.0755515351545981,0.291899798595284,0,0.0814930073933872,0.258169008507773,0.0755515351545981,0.258169008507773,0.258169008507773,0.0755515351545981,0.258169008507773,0.0755515351545981,0.258169008507773,0.0755515351545981,0.0755515351545981,0.0755515351545981,0.278471759389351,0.258169008507773,0.0755515351545981,0.258169008507773,0.0814930073933872,0.0814930073933872,0.0930969393593313,0.0814930073933872,0.0909477709125636,0.0755515351545981,0.0755515351545981,0.0814930073933872,0.0814930073933872,0.0755515351545981,0.0755515351545981,0.0755515351545981,0.0755515351545981,0.258169008507773,0.258169008507773,0.0755515351545981,0.0755515351545981,0.0755515351545981,0.0755515351545981,0.0814930073933872,0.0755515351545981,0.0755515351545981
GO:0003283,0.0755515351545981,0,0,0,0.299013087747967,0.0814930073933872,0,0,0,0,0.0755515351545981,1,0,0,0,0,0.0755515351545981,0.299013087747967,0,0,0,0.661426869433287,0.0755515351545981,0.299013087747967,0,0,0.299013087747967,0,0.299013087747967,0.0755515351545981,0.299013087747967,0.0909477709125636,0,0,0.0755515351545981,0,0,0.0755515351545981,0.0755515351545981,0.299013087747967,0,0.299013087747967,0.299013087747967,0,0,0.661426869433287,0.0755515351545981,0,0,0.0755515351545981,0.299013087747967,0.661426869433287,0.299013087747967,0.0755515351545981,0.299013087747967,0,0.0755515351545981,0.0755515351545981,0.0755515351545981,0.0755515351545981,0.0814930073933872,0.0755515351545981,0,0.71344234965729,0,0,0.0755515351545981,0,0.299013087747967,0.623072373260044,0.0755515351545981,0,0.0755515351545981,0.0755515351545981,0.0854226385369093,0,0.322527870819599,0.0755515351545981,0.299013087747967,0.0755515351545981,0.0755515351545981,0.0755515351545981,0.299013087747967,0.0755515351545981,0.299013087747967,0.0755515351545981,0.0755515351545981,0.0755515351545981,0.0814930073933872,0.299013087747967,0.0755515351545981,0.299013087747967,0.0814930073933872,0.0814930073933872,0.0930969393593313,0.0814930073933872,0.0909477709125636,0.0755515351545981,0.0755515351545981,0.0814930073933872,0.0814930073933872,0.0755515351545981,0.0755515351545981,0.0755515351545981,0.0755515351545981,0.299013087747967,0.299013087747967,0.299013087747967,0.0755515351545981,0.0755515351545981,0.0755515351545981,0.0814930073933872,0.0755515351545981,0.0755515351545981
GO:0004743,0,0.515611358904682,0.768887883788649,0.349745701860997,0,0,0.515611358904682,0.349745701860997,0,0,0,0,1,0.515611358904682,0.515611358904682,0.349745701860997,0,0,0,0,0.349745701860997,0,0,0,0.349745701860997,0.556159715316868,0,0.768887883788649,0,0,0,0,0.515611358904682,0.349745701860997,0,0.515611358904682,0,0,0,0,0,0,0,0,0,0,0,0.349745701860997,0.349745701860997,0,0,0,0,0,0,0.349745701860997,0,0,0,0,0,0,0,0,0.349745701860997,0,0,0,0,0,0,0.349745701860997,0,0,0,0.349745701860997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0004794,0,0.515611358904682,0.515611358904682,0.349745701860997,0,0,0.854184489471395,0.349745701860997,0,0,0,0,0.515611358904682,1,0.768887883788649,0.349745701860997,0,0,0,0,0.349745701860997,0,0,0,0.349745701860997,0.556159715316868,0,0.515611358904682,0,0,0,0,0.515611358904682,0.349745701860997,0,0.515611358904682,0,0,0,0,0,0,0,0,0,0,0,0.349745701860997,0.349745701860997,0,0,0,0,0,0,0.349745701860997,0,0,0,0,0,0,0,0,0.349745701860997,0,0,0,0,0,0,0.349745701860997,0,0,0,0.349745701860997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0004419,0,0.515611358904682,0.515611358904682,0.349745701860997,0,0,0.768887883788649,0.349745701860997,0,0,0,0,0.515611358904682,0.768887883788649,1,0.349745701860997,0,0,0,0,0.349745701860997,0,0,0,0.349745701860997,0.556159715316868,0,0.515611358904682,0,0,0,0,0.515611358904682,0.349745701860997,0,0.515611358904682,0,0,0,0,0,0,0,0,0,0,0,0.349745701860997,0.349745701860997,0,0,0,0,0,0,0.349745701860997,0,0,0,0,0,0,0,0,0.349745701860997,0,0,0,0,0,0,0.349745701860997,0,0,0,0.349745701860997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0030414,0,0.349745701860997,0.349745701860997,0.349745701860997,0,0,0.349745701860997,0.349745701860997,0,0,0,0,0.349745701860997,0.349745701860997,0.349745701860997,1,0,0,0,0,0.349745701860997,0,0,0,0.349745701860997,0.377250164529966,0,0.349745701860997,0,0,0,0,0.349745701860997,0.349745701860997,0,0.349745701860997,0,0,0,0,0,0,0,0,0,0,0,0.349745701860997,0.854184489471395,0,0,0,0,0,0,0.349745701860997,0,0,0,0,0,0,0,0,0.349745701860997,0,0,0,0,0,0,0.349745701860997,0,0,0,0.349745701860997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0006465,0.258169008507773,0,0,0,0.0755515351545981,0.0814930073933872,0,0,0,0,0.661426869433287,0.0755515351545981,0,0,0,0,1,0.562553468414184,0,0,0,0.0755515351545981,0.0755515351545981,0.768887883788649,0,0,0.0755515351545981,0,0.708368978942789,0.258169008507773,0.768887883788649,0.310779864293195,0,0,0.708368978942789,0,0,0.0755515351545981,0.708368978942789,0.258169008507773,0,0.0755515351545981,0.258169008507773,0,0,0.0755515351545981,0.258169008507773,0,0,0.258169008507773,0.258169008507773,0.0755515351545981,0.562553468414184,0.0755515351545981,0.258169008507773,0,0.0755515351545981,0.0755515351545981,0.258169008507773,0.0755515351545981,0.0814930073933872,0.258169008507773,0,0.0814930073933872,0,0,0.258169008507773,0,0.258169008507773,0.258169008507773,0.0755515351545981,0,0.258169008507773,0.0755515351545981,0.291899798595284,0,0.0814930073933872,0.258169008507773,0.0755515351545981,0.258169008507773,0.258169008507773,0.0755515351545981,0.258169008507773,0.0755515351545981,0.258169008507773,0.0755515351545981,0.0755515351545981,0.0755515351545981,0.278471759389351,0.258169008507773,0.0755515351545981,0.258169008507773,0.0814930073933872,0.0814930073933872,0.0930969393593313,0.0814930073933872,0.0909477709125636,0.0755515351545981,0.0755515351545981,0.0814930073933872,0.0814930073933872,0.0755515351545981,0.0755515351545981,0.0755515351545981,0.0755515351545981,0.258169008507773,0.258169008507773,0.0755515351545981,0.0755515351545981,0.0755515351545981,0.0755515351545981,0.0814930073933872,0.0755515351545981,0.0755515351545981
GO:0006629,0.0755515351545981,0,0,0,0.299013087747967,0.0814930073933872,0,0,0,0,0.562553468414184,0.299013087747967,0,0,0,0,0.562553468414184,1,0,0,0,0.299013087747967,0.0755515351545981,0.661426869433287,0,0,0.299013087747967,0,0.661426869433287,0.0755515351545981,0.661426869433287,0.0909477709125636,0,0,0.562553468414184,0,0,0.0755515351545981,0.562553468414184,0.299013087747967,0,0.299013087747967,0.299013087747967,0,0,0.299013087747967,0.0755515351545981,0,0,0.0755515351545981,0.299013087747967,0.299013087747967,0.661426869433287,0.0755515351545981,0.299013087747967,0,0.0755515351545981,0.0755515351545981,0.0755515351545981,0.0755515351545981,0.0814930073933872,0.0755515351545981,0,0.322527870819599,0,0,0.0755515351545981,0,0.299013087747967,0.299013087747967,0.0755515351545981,0,0.0755515351545981,0.0755515351545981,0.0854226385369093,0,0.322527870819599,0.0755515351545981,0.299013087747967,0.0755515351545981,0.0755515351545981,0.0755515351545981,0.299013087747967,0.0755515351545981,0.299013087747967,0.0755515351545981,0.0755515351545981,0.0755515351545981,0.0814930073933872,0.299013087747967,0.0755515351545981,0.299013087747967,0.0814930073933872,0.0814930073933872,0.0930969393593313,0.0814930073933872,0.0909477709125636,0.0755515351545981,0.0755515351545981,0.0814930073933872,0.0814930073933872,0.0755515351545981,0.0755515351545981,0.0755515351545981,0.0755515351545981,0.299013087747967,0.299013087747967,0.299013087747967,0.0755515351545981,0.0755515351545981,0.0755515351545981,0.0814930073933872,0.0755515351545981,0.0755515351545981
GO:0005744,0,0,0,0,0,0,0,0,0.854184489471395,0.623072373260044,0,0,0,0,0,0,0,0,1,0.590644108805177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.708368978942789,0,0,0,0.768887883788649,0,0,0.562553468414184,0.768887883788649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.495561212389603,0,0,0.708368978942789,0,0.495561212389603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0005856,0,0,0,0,0,0,0,0,0.590644108805177,0.590644108805177,0,0,0,0,0,0,0,0,0.590644108805177,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.495561212389603,0,0,0,0.590644108805177,0,0,0.562553468414184,0.590644108805177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.495561212389603,0,0,0.590644108805177,0,0.495561212389603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
