,GO:0005634,GO:0005524,GO:0004063,GO:0004556,GO:0006850,GO:0003735,GO:0004345,GO:0005794,GO:0005576,GO:0001520,GO:0005186,GO:0001103,GO:0005737,GO:0004064,GO:0031305,GO:0005762,GO:0005536,GO:0007165,GO:0001934,GO:0005654,GO:0004181,GO:0016430,GO:0000187,GO:0050833,GO:0004674,GO:0007155,GO:0030488,GO:0006397,GO:0006913,GO:0005666,GO:0005829,GO:0097224,GO:0005925,GO:0006508,GO:0007016,GO:0045944,GO:0004708,GO:0005669,GO:0044613,GO:0006098,GO:0030173,GO:0006520,GO:0004713,GO:0005672,GO:0048471,GO:0006139,GO:0006915,GO:0006695,GO:0032991,GO:0006383,GO:0006739,GO:0035035,GO:0030574,GO:0010875,GO:0006384,GO:0006740,GO:0070208,GO:0098592,GO:0019372,GO:0043231,GO:0072734,GO:2000045,GO:0102009,GO:0019439,GO:0009051,GO:0006468,GO:0017025,GO:0031667,GO:0097194,GO:0042795,GO:0032411,GO:0097200,GO:0010041,GO:0007254,GO:0034364,GO:0010734,GO:0007257,GO:0023014,GO:0034366,GO:0008545,GO:0019322,GO:0009611,GO:0031098,GO:0046395,GO:0032094,GO:0032147,GO:0046434,GO:0034115,GO:0046470,GO:0031116,GO:0031435,GO:0051099,GO:0045415,GO:0043249,GO:0032839,GO:0070542,GO:0043523,GO:0034393,GO:0072562,GO:0050679,GO:0102007,GO:0046390,GO:0033138,GO:0051247,GO:1902617,GO:0033148,GO:0060761,GO:0051156,GO:0045740,GO:0070375,GO:0061052,GO:0043408,GO:0051770,GO:0071363,GO:1904879,GO:0043507,GO:0061049,GO:0071499,GO:2000378,GO:0090051,GO:0048012,GO:0072709,GO:2000342,GO:2000672,GO:2001240,GO:0048754,GO:0050770,GO:0060244,GO:0071437
GO:0005634,1,0,0,0,0,0,0,0.774297994220609,0.338705075920536,0.430391556452101,0,0,0.463385061938896,0,0.430391556452101,0.430391556452101,0,0,0,0.430391556452101,0,0,0,0,0,0,0,0,0,0.430391556452101,0.430391556452101,0.395086155190776,0.338705075920536,0,0,0,0,0.430391556452101,0.430391556452101,0,0.430391556452101,0,0,0.430391556452101,0.430391556452101,0,0,0,0.430705035192026,0,0,0,0,0,0,0,0,0.395086155190776,0,0.872793630768582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364669962111404,0,0,0,0.338705075920536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.430391556452101,0,0,0,0.338705075920536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.395086155190776
GO:0005524,0,1,0.36496752414993,0.36496752414993,0,0.36496752414993,0.36496752414993,0,0,0,0.600226733090059,0.600226733090059,0,0.36496752414993,0,0,0.857597889113025,0,0,0,0.36496752414993,0.36496752414993,0,0.36496752414993,0.36496752414993,0,0,0,0,0,0,0,0,0,0,0,0.392945670630792,0,0,0,0,0,0.36496752414993,0,0,0,0,0,0,0,0,0.600226733090059,0,0,0,0,0,0,0,0,0,0,0.36496752414993,0,0,0,0.600226733090059,0,0,0,0,0.36496752414993,0,0,0,0,0,0,0,0.36496752414993,0,0,0,0,0,0,0,0,0,0,0.600226733090059,0,0,0,0,0,0,0,0,0,0.36496752414993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0004063,0,0.36496752414993,1,0.600226733090059,0,0.36496752414993,0.473049572926707,0,0,0,0.36496752414993,0.36496752414993,0,0.774297994220609,0,0,0.36496752414993,0,0,0,0.600226733090059,0.473049572926707,0,0.36496752414993,0.473049572926707,0,0,0,0,0,0,0,0,0,0,0,0.509313211108978,0,0,0,0,0,0.473049572926707,0,0,0,0,0,0,0,0,0.36496752414993,0,0,0,0,0,0,0,0,0,0,0.600226733090059,0,0,0,0.36496752414993,0,0,0,0,0.600226733090059,0,0,0,0,0,0,0,0.473049572926707,0,0,0,0,0,0,0,0,0,0,0.36496752414993,0,0,0,0,0,0,0,0,0,0.774297994220609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0004556,0,0.36496752414993,0.600226733090059,1,0,0.36496752414993,0.473049572926707,0,0,0,0.36496752414993,0.36496752414993,0,0.600226733090059,0,0,0.36496752414993,0,0,0,0.600226733090059,0.473049572926707,0,0.36496752414993,0.473049572926707,0,0,0,0,0,0,0,0,0,0,0,0.509313211108978,0,0,0,0,0,0.473049572926707,0,0,0,0,0,0,0,0,0.36496752414993,0,0,0,0,0,0,0,0,0,0,0.600226733090059,0,0,0,0.36496752414993,0,0,0,0,0.600226733090059,0,0,0,0,0,0,0,0.473049572926707,0,0,0,0,0,0,0,0,0,0,0.36496752414993,0,0,0,0,0,0,0,0,0,0.600226733090059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0006850,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.116025998270518,0.116025998270518,0,0,0,0.101928598243478,0,0,0.0946711744686673,0.0946711744686673,0.0946711744686673,0.857597889113025,0,0,0,0,0.0946711744686673,0.774297994220609,0.0946711744686673,0,0,0,0.0946711744686673,0,0.0946711744686673,0,0,0,0.124000324817517,0.0946711744686673,0.0946711744686673,0,0.0946711744686673,0.110391100153688,0,0.0946711744686673,0.0946711744686673,0.0946711744686673,0.0946711744686673,0.0946711744686673,0,0.0946711744686673,0,0.0946711744686673,0.0946711744686673,0,0.0946711744686673,0.0946711744686673,0.110391100153688,0,0.101928598243478,0.0946711744686673,0.0946711744686673,0.0946711744686673,0,0.0946711744686673,0.0946711744686673,0,0.0946711744686673,0.0946711744686673,0.106713950843701,0,0,0.0946711744686673,0.0946711744686673,0.101928598243478,0.0946711744686673,0.0946711744686673,0.106713950843701,0.0946711744686673,0.0946711744686673,0.0946711744686673,0.0946711744686673,0,0.0946711744686673,0.0946711744686673,0.0946711744686673,0,0.0946711744686673,0.101928598243478,0.0946711744686673,0,0.0946711744686673,0,0.0946711744686673,0.0946711744686673,0.118322200861944,0.0946711744686673,0.0946711744686673,0.0946711744686673,0.106713950843701,0.0946711744686673,0.0946711744686673,0.0946711744686673,0.110391100153688,0.0946711744686673,0.0946711744686673,0.0946711744686673,0.101928598243478,0.0946711744686673,0.0946711744686673,0.0946711744686673,0.0946711744686673,0.0946711744686673,0.0946711744686673,0.0946711744686673,0.0946711744686673,0.0946711744686673,0.0946711744686673,0.0946711744686673,0.0946711744686673,0
GO:0003735,0,0.36496752414993,0.36496752414993,0.36496752414993,0,1,0.36496752414993,0,0,0,0.36496752414993,0.36496752414993,0,0.36496752414993,0,0,0.36496752414993,0,0,0,0.36496752414993,0.36496752414993,0,0.36496752414993,0.36496752414993,0,0,0,0,0,0,0,0,0,0,0,0.392945670630792,0,0,0,0,0,0.36496752414993,0,0,0,0,0,0,0,0,0.36496752414993,0,0,0,0,0,0,0,0,0,0,0.36496752414993,0,0,0,0.36496752414993,0,0,0,0,0.36496752414993,0,0,0,0,0,0,0,0.36496752414993,0,0,0,0,0,0,0,0,0,0,0.36496752414993,0,0,0,0,0,0,0,0,0,0.36496752414993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0004345,0,0.36496752414993,0.473049572926707,0.473049572926707,0,0.36496752414993,1,0,0,0,0.36496752414993,0.36496752414993,0,0.473049572926707,0,0,0.36496752414993,0,0,0,0.473049572926707,0.473049572926707,0,0.36496752414993,0.473049572926707,0,0,0,0,0,0,0,0,0,0,0,0.509313211108978,0,0,0,0,0,0.473049572926707,0,0,0,0,0,0,0,0,0.36496752414993,0,0,0,0,0,0,0,0,0,0,0.473049572926707,0,0,0,0.36496752414993,0,0,0,0,0.473049572926707,0,0,0,0,0,0,0,0.473049572926707,0,0,0,0,0,0,0,0,0,0,0.36496752414993,0,0,0,0,0,0,0,0,0,0.473049572926707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0005794,0.774297994220609,0,0,0,0,0,0,1,0.338705075920536,0.430391556452101,0,0,0.463385061938896,0,0.600226733090059,0.600226733090059,0,0,0,0.430391556452101,0,0,0,0,0,0,0,0,0,0.430391556452101,0.600226733090059,0.395086155190776,0.338705075920536,0,0,0,0,0.430391556452101,0.430391556452101,0,0.600226733090059,0,0,0.430391556452101,0.600226733090059,0,0,0,0.430705035192026,0,0,0,0,0,0,0,0,0.395086155190776,0,0.872793630768582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364669962111404,0,0,0,0.338705075920536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.600226733090059,0,0,0,0.338705075920536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.395086155190776
GO:0005576,0.338705075920536,0,0,0,0,0,0,0.338705075920536,1,0.338705075920536,0,0,0.364669962111404,0,0.338705075920536,0.338705075920536,0,0,0,0.338705075920536,0,0,0,0,0,0,0,0,0,0.338705075920536,0.338705075920536,0.338705075920536,0.338705075920536,0,0,0,0,0.338705075920536,0.338705075920536,0,0.338705075920536,0,0,0.338705075920536,0.338705075920536,0,0,0,0.430705035192026,0,0,0,0,0,0,0,0,0.338705075920536,0,0.381790518868639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364669962111404,0,0,0,0.338705075920536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338705075920536,0,0,0,0.338705075920536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338705075920536
GO:0001520,0.430391556452101,0,0,0,0,0,0,0.430391556452101,0.338705075920536,1,0,0,0.463385061938896,0,0.548595988441218,0.548595988441218,0,0,0,0.548595988441218,0,0,0,0,0,0,0,0,0,0.548595988441218,0.430391556452101,0.857597889113025,0.338705075920536,0,0,0,0,0.548595988441218,0.548595988441218,0,0.548595988441218,0,0,0.548595988441218,0.430391556452101,0,0,0,0.430705035192026,0,0,0,0,0,0,0,0,0.395086155190776,0,0.485140103696232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364669962111404,0,0,0,0.338705075920536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.774297994220609,0,0,0,0.338705075920536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.395086155190776
