,GO:0001658,GO:0005634,GO:0000082,GO:0004180,GO:0001932,GO:0000175,GO:0005201,GO:0005737,GO:0005730,GO:0000408,GO:0005654,GO:0004222,GO:0003073,GO:0002062,GO:0000176,GO:0005576,GO:0003887,GO:0000177,GO:0005604,GO:0005868,GO:0046872,GO:0000178,GO:0005606,GO:0005746,GO:0102008,GO:0000467,GO:0008033,GO:0048232,GO:0072546,GO:0005671,GO:0008137,GO:1902017,GO:0008622,GO:0044183,GO:0007155,GO:0043966,GO:0030990,GO:0099641,GO:0022617,GO:0035721,GO:0035458,GO:0030198,GO:0042246,GO:0035735,GO:0043280,GO:0050793,GO:0031581,GO:0035869,GO:0045039,GO:0034427,GO:0034446,GO:0050840,GO:0034475,GO:0043259,GO:0035327,GO:0043260,GO:0045504,GO:0071300,GO:0072593,GO:0043928,GO:0097190,GO:0045006,GO:0050679,GO:0097191,GO:0045190,GO:2001243,GO:0045830,GO:0071034,GO:0071035,GO:0071038,GO:0071049,GO:0071051
GO:0001658,1,0,0.142931304654656,0,0.142931304654656,0,0,0,0,0,0,0,0.142931304654656,0.677910456487111,0,0,0,0,0,0,0,0,0,0,0,0.142931304654656,0.142931304654656,0.404063530193486,0,0,0,0.142931304654656,0,0,0.155448379013744,0.142931304654656,0,0.404063530193486,0.404063530193486,0.404063530193486,0.142931304654656,0.439449013208897,0.677910456487111,0.404063530193486,0.142931304654656,0.155448379013744,0.404063530193486,0,0.404063530193486,0.142931304654656,0.838955228243556,0,0.142931304654656,0,0,0,0,0.142931304654656,0.142931304654656,0.142931304654656,0.155448379013744,0.142931304654656,0.142931304654656,0.142931304654656,0.404063530193486,0.142931304654656,0.142931304654656,0.142931304654656,0.142931304654656,0.142931304654656,0.142931304654656,0.142931304654656
GO:0005634,0,1,0,0,0,0,0,0.386845395581458,0.838955228243556,0.386845395581458,0.386845395581458,0,0,0,0.386845395581458,0.29264024316674,0,0.386845395581458,0.29264024316674,0.386845395581458,0,0.443439322273923,0.29264024316674,0.386845395581458,0,0,0,0,0.386845395581458,0.386845395581458,0,0,0.386845395581458,0,0,0,0.29264024316674,0,0,0,0,0,0,0,0,0,0,0.370815695752827,0,0,0,0,0,0.29264024316674,0.386845395581458,0.29264024316674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0000082,0.142931304654656,0,1,0,0.142931304654656,0,0,0,0,0,0,0,0.142931304654656,0.252131239847978,0,0,0,0,0,0,0,0,0,0,0,0.252131239847978,0.252131239847978,0.142931304654656,0,0,0,0.142931304654656,0,0,0.155448379013744,0.252131239847978,0,0.252131239847978,0.252131239847978,0.252131239847978,0.252131239847978,0.274211395661651,0.142931304654656,0.252131239847978,0.142931304654656,0.155448379013744,0.252131239847978,0,0.252131239847978,0.252131239847978,0.252131239847978,0,0.252131239847978,0,0,0,0,0.252131239847978,0.252131239847978,0.252131239847978,0.155448379013744,0.252131239847978,0.142931304654656,0.142931304654656,0.252131239847978,0.142931304654656,0.142931304654656,0.252131239847978,0.252131239847978,0.252131239847978,0.142931304654656,0.252131239847978
GO:0004180,0,0,0,1,0,0.677910456487111,0.442876624569529,0,0,0,0,0.744750075828838,0,0,0,0,0.583705304072394,0,0,0,0.442876624569529,0,0,0,0.838955228243556,0,0,0,0,0,0.583705304072394,0,0,0.442876624569529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.442876624569529,0,0,0,0,0.442876624569529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0001932,0.142931304654656,0,0.142931304654656,0,1,0,0,0,0,0,0,0,0.465020848167544,0.142931304654656,0,0,0,0,0,0,0,0,0,0,0,0.142931304654656,0.142931304654656,0.142931304654656,0,0,0,0.516865684730667,0,0,0.155448379013744,0.142931304654656,0,0.142931304654656,0.142931304654656,0.142931304654656,0.142931304654656,0.155448379013744,0.142931304654656,0.142931304654656,0.838955228243556,0.532367666313674,0.142931304654656,0,0.142931304654656,0.142931304654656,0.142931304654656,0,0.142931304654656,0,0,0,0,0.142931304654656,0.142931304654656,0.142931304654656,0.56212971016629,0.142931304654656,0.516865684730667,0.516865684730667,0.142931304654656,0.516865684730667,0.744750075828838,0.142931304654656,0.142931304654656,0.142931304654656,0.142931304654656,0.142931304654656
GO:0000175,0,0,0,0.677910456487111,0,1,0.442876624569529,0,0,0,0,0.677910456487111,0,0,0,0,0.583705304072394,0,0,0,0.442876624569529,0,0,0,0.677910456487111,0,0,0,0,0,0.583705304072394,0,0,0.442876624569529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.442876624569529,0,0,0,0,0.442876624569529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0005201,0,0,0,0.442876624569529,0,0.442876624569529,1,0,0,0,0,0.442876624569529,0,0,0,0,0.442876624569529,0,0,0,0.442876624569529,0,0,0,0.442876624569529,0,0,0,0,0,0.442876624569529,0,0,0.442876624569529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.442876624569529,0,0,0,0,0.442876624569529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0005737,0,0.386845395581458,0,0,0,0,0,1,0.386845395581458,0.386845395581458,0.386845395581458,0,0,0,0.386845395581458,0.29264024316674,0,0.386845395581458,0.29264024316674,0.386845395581458,0,0.443439322273923,0.29264024316674,0.386845395581458,0,0,0,0,0.386845395581458,0.386845395581458,0,0,0.386845395581458,0,0,0,0.29264024316674,0,0,0,0,0,0,0,0,0,0,0.370815695752827,0,0,0,0,0,0.29264024316674,0.386845395581458,0.29264024316674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0005730,0,0.838955228243556,0,0,0,0,0,0.386845395581458,1,0.386845395581458,0.626065619923989,0,0,0,0.626065619923989,0.29264024316674,0,0.386845395581458,0.29264024316674,0.489500151657676,0,0.443439322273923,0.29264024316674,0.489500151657676,0,0,0,0,0.489500151657676,0.626065619923989,0,0,0.626065619923989,0,0,0,0.29264024316674,0,0,0,0,0,0,0,0,0,0,0.465020848167544,0,0,0,0,0,0.29264024316674,0.489500151657676,0.29264024316674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0000408,0,0.386845395581458,0,0,0,0,0,0.386845395581458,0.386845395581458,1,0.386845395581458,0,0,0,0.404063530193486,0.29264024316674,0,0.404063530193486,0.29264024316674,0.516865684730667,0,0.463176400782258,0.516865684730667,0.386845395581458,0,0,0,0,0.516865684730667,0.516865684730667,0,0,0.404063530193486,0,0,0,0.516865684730667,0,0,0,0,0,0,0,0,0,0,0.370815695752827,0,0,0,0,0,0.516865684730667,0.404063530193486,0.516865684730667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
