,GO:0005509,GO:0000050,GO:0000774,GO:0001525,GO:0005576,GO:0000272,GO:0000400,GO:0001533,GO:0000302,GO:0005737,GO:0004869,GO:0005615,GO:0003723,GO:0004053,GO:0002062,GO:0030246,GO:0002376,GO:0001527,GO:0000331,GO:0005829,GO:0030414,GO:0003729,GO:0005152,GO:0006525,GO:0005783,GO:0005178,GO:0002532,GO:0001656,GO:0007155,GO:0061052,GO:0032474,GO:0005201,GO:0006183,GO:0004568,GO:0006972,GO:0006228,GO:0010917,GO:0005179,GO:0006006,GO:0008266,GO:0006241,GO:0010940,GO:0005604,GO:0006629,GO:0061371,GO:0046628,GO:0048864,GO:0020037,GO:0030425,GO:0006032,GO:0007420,GO:0098724,GO:0035794,GO:0010466,GO:0007568,GO:2000632,GO:0008061,GO:0008134,GO:0018149,GO:0010642,GO:0006971,GO:2000648,GO:0030198,GO:0070062,GO:0090197,GO:0008301,GO:0030216,GO:0014012,GO:0042744,GO:0031012,GO:0032392,GO:0015485,GO:0018209,GO:0045861,GO:0022626,GO:0031038,GO:0008543,GO:0050840,GO:0045089,GO:0070268,GO:0031156,GO:0010724,GO:0045578,GO:0042246,GO:0031164,GO:0016070,GO:0045638,GO:0030023,GO:0042308,GO:0031288,GO:0021942,GO:0042493,GO:0033298,GO:0030520,GO:0043025,GO:0048471,GO:0070177,GO:0034199,GO:0048662,GO:0035582,GO:0048678,GO:0050885,GO:0035583,GO:0051895,GO:0060588,GO:0071638,GO:0043010,GO:1900016,GO:2000098,GO:2000405,GO:0045671,GO:0048048,GO:0048050,GO:1990314,GO:2001205,GO:0019012
GO:0005509,1,0,0.417789278551933,0,0,0,0.417789278551933,0,0,0,0.350917775016215,0,0.472263861937853,0.350917775016215,0,0.417789278551933,0,0,0,0,0.378460764347535,0.417789278551933,0.417789278551933,0,0,0.417789278551933,0,0,0,0,0,0.378460764347535,0,0.350917775016215,0,0,0,0.417789278551933,0,0.417789278551933,0,0,0,0,0,0,0,0.417789278551933,0,0,0,0,0,0,0,0,0.417789278551933,0.417789278551933,0,0,0,0,0,0,0,0.417789278551933,0,0,0,0,0,0.417789278551933,0,0,0,0,0,0.417789278551933,0,0,0,0,0,0,0,0,0,0.350917775016215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0000050,0,1,0,0.285788921566007,0,0.478199099022717,0,0,0.0878524217452464,0,0,0,0,0,0.417789278551933,0,0.0878524217452464,0,0,0,0,0,0,0.623751779384734,0,0,0.285788921566007,0.285788921566007,0.0878524217452464,0.0878524217452464,0.285788921566007,0,0.708894639275967,0,0.0878524217452464,0.708894639275967,0.0878524217452464,0,0.623751779384734,0,0.708894639275967,0.0878524217452464,0,0.591381966367015,0.285788921566007,0.0878524217452464,0.417789278551933,0,0,0.623751779384734,0.285788921566007,0.417789278551933,0.417789278551933,0.0878524217452464,0.285788921566007,0.0878524217452464,0,0,0.538608919493502,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.417789278551933,0,0.0878524217452464,0,0.417789278551933,0.417789278551933,0.538608919493502,0,0.341583432512254,0,0.538608919493502,0.0947478214289706,0,0.417789278551933,0.0878524217452464,0,0.0878524217452464,0.417789278551933,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.285788921566007,0,0.662037142181273,0.0993072970129982,0,0.0878524217452464,0.285788921566007,0.417789278551933,0.0878524217452464,0.341583432512254,0.0878524217452464,0,0,0.417789278551933,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.0947478214289706,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.285788921566007,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.0947478214289706,0.285788921566007,0.285788921566007,0.341583432512254,0.0878524217452464,0
GO:0000774,0.417789278551933,0,1,0,0,0,0.591381966367015,0,0,0,0.769304459746751,0,0.66849090116651,0.350917775016215,0,0.417789278551933,0,0,0,0,0.829685967997118,0.591381966367015,0.708894639275967,0,0,0.417789278551933,0,0,0,0,0,0.378460764347535,0,0.350917775016215,0,0,0,0.417789278551933,0,0.591381966367015,0,0,0,0,0,0,0,0.591381966367015,0,0,0,0,0,0,0,0,0.417789278551933,0.417789278551933,0,0,0,0,0,0,0,0.591381966367015,0,0,0,0,0,0.854447319637983,0,0,0,0,0,0.417789278551933,0,0,0,0,0,0,0,0,0,0.350917775016215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0001525,0,0.285788921566007,0,1,0,0.0878524217452464,0,0,0.0878524217452464,0,0,0,0,0,0.445829286004998,0,0.0878524217452464,0,0,0,0,0,0,0.285788921566007,0,0,0.285788921566007,0.445829286004998,0.0878524217452464,0.0878524217452464,0.445829286004998,0,0.285788921566007,0,0.0878524217452464,0.285788921566007,0.0878524217452464,0,0.285788921566007,0,0.285788921566007,0.0878524217452464,0,0.285788921566007,0.285788921566007,0.0878524217452464,0.445829286004998,0,0,0.0878524217452464,0.445829286004998,0.285788921566007,0.285788921566007,0.0878524217452464,0.445829286004998,0.0878524217452464,0,0,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.285788921566007,0,0.0878524217452464,0,0.445829286004998,0.445829286004998,0.0878524217452464,0,0.0878524217452464,0,0.0878524217452464,0.0947478214289706,0,0.285788921566007,0.0878524217452464,0,0.0878524217452464,0.285788921566007,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.445829286004998,0,0.0878524217452464,0.0993072970129982,0,0.0878524217452464,0.445829286004998,0.285788921566007,0.0878524217452464,0.0878524217452464,0.0878524217452464,0,0,0.285788921566007,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.0947478214289706,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.445829286004998,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.0947478214289706,0.445829286004998,0.445829286004998,0.0878524217452464,0.0878524217452464,0
GO:0005576,0,0,0,0,1,0,0,0.405058827575869,0,0.405058827575869,0,0.405058827575869,0,0,0,0,0,0.405058827575869,0.405058827575869,0.405058827575869,0,0,0,0,0.405058827575869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.405058827575869,0,0,0,0,0,0.405058827575869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.405058827575869,0,0,0,0,0,0.405058827575869,0,0,0,0,0.405058827575869,0,0,0,0,0,0,0,0,0,0.405058827575869,0,0,0,0,0,0,0,0,0,0.405058827575869,0.405058827575869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.405058827575869
GO:0000272,0,0.478199099022717,0,0.0878524217452464,0,1,0,0,0.0878524217452464,0,0,0,0,0,0.0878524217452464,0,0.0878524217452464,0,0,0,0,0,0,0.516484461819257,0,0,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.0878524217452464,0,0.516484461819257,0,0.0878524217452464,0.516484461819257,0.0878524217452464,0,0.854447319637983,0,0.516484461819257,0.0878524217452464,0,0.516484461819257,0.0878524217452464,0.0878524217452464,0.0878524217452464,0,0,0.854447319637983,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.0878524217452464,0,0,0.662037142181273,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.0878524217452464,0,0.0878524217452464,0,0.0878524217452464,0.0878524217452464,0.769304459746751,0,0.0878524217452464,0,0.662037142181273,0.0947478214289706,0,0.0878524217452464,0.0878524217452464,0,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.0878524217452464,0,0.662037142181273,0.0993072970129982,0,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.0878524217452464,0,0,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.0947478214289706,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.0947478214289706,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.0878524217452464,0
GO:0000400,0.417789278551933,0,0.591381966367015,0,0,0,1,0,0,0,0.350917775016215,0,0.748358642894094,0.350917775016215,0,0.417789278551933,0,0,0,0,0.378460764347535,0.662037142181273,0.417789278551933,0,0,0.417789278551933,0,0,0,0,0,0.378460764347535,0,0.350917775016215,0,0,0,0.417789278551933,0,0.662037142181273,0,0,0,0,0,0,0,0.591381966367015,0,0,0,0,0,0,0,0,0.417789278551933,0.417789278551933,0,0,0,0,0,0,0,0.854447319637983,0,0,0,0,0,0.56334195891395,0,0,0,0,0,0.417789278551933,0,0,0,0,0,0,0,0,0,0.350917775016215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0001533,0,0,0,0,0.405058827575869,0,0,1,0,0.516484461819257,0,0.405058827575869,0,0,0,0,0,0.405058827575869,0.516484461819257,0.516484461819257,0,0,0,0,0.516484461819257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.405058827575869,0,0,0,0,0,0.516484461819257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.405058827575869,0,0,0,0,0,0.405058827575869,0,0,0,0,0.516484461819257,0,0,0,0,0,0,0,0,0,0.854447319637983,0,0,0,0,0,0,0,0,0,0.516484461819257,0.516484461819257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.405058827575869
GO:0000302,0,0.0878524217452464,0,0.0878524217452464,0,0.0878524217452464,0,0,1,0,0,0,0,0,0.0878524217452464,0,0.0878524217452464,0,0,0,0,0,0,0.0878524217452464,0,0,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.0878524217452464,0,0.0878524217452464,0,0.662037142181273,0.0878524217452464,0.0878524217452464,0,0.0878524217452464,0,0.0878524217452464,0.0878524217452464,0,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.0878524217452464,0,0,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.0878524217452464,0,0,0.0878524217452464,0.0878524217452464,0.662037142181273,0.0878524217452464,0.0878524217452464,0,0.0878524217452464,0,0.0878524217452464,0.662037142181273,0.0878524217452464,0,0.0878524217452464,0,0.0878524217452464,0.0947478214289706,0,0.0878524217452464,0.0878524217452464,0,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.0878524217452464,0,0.0878524217452464,0.0993072970129982,0,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.769304459746751,0.0878524217452464,0.0878524217452464,0,0,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.713999405828916,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.0878524217452464,0.0947478214289706,0.0878524217452464,0.0878524217452464,0.854447319637983,0.0878524217452464,0
GO:0005737,0,0,0,0,0.405058827575869,0,0,0.516484461819257,0,1,0,0.405058827575869,0,0,0,0,0,0.405058827575869,0.591381966367015,0.591381966367015,0,0,0,0,0.591381966367015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.405058827575869,0,0,0,0,0,0.516484461819257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.405058827575869,0,0,0,0,0,0.405058827575869,0,0,0,0,0.591381966367015,0,0,0,0,0,0,0,0,0,0.591381966367015,0,0,0,0,0,0,0,0,0,0.516484461819257,0.591381966367015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.405058827575869
