protein,PC1loadings
CHOYP_1433G.2.2|m.63450,-0.00246836085203661
CHOYP_AADAT.1.1|m.12672,-1.70283736082249e-05
CHOYP_ALF.3.3|m.66837,0.0214049945583006
CHOYP_FUT8.1.1|m.9231,-0.00102864166114145
CHOYP_FYN.1.1|m.44312,0.000781592217445906
CHOYP_G6PD.2.2|m.46923,0.00521273697077928
CHOYP_GABPA.1.1|m.15077,0.00201850666301735
CHOYP_GACZ.1.1|m.42619,0.00356918953339087
CHOYP_GAK.1.1|m.7017,0.017695121203167
CHOYP_GALT2.1.1|m.54493,0.00641619542099127
CHOYP_GAR1.1.2|m.9449,0.0264435382177833
CHOYP_GBB.2.2|m.35274,0.0252908175166149
CHOYP_GBLP.6.7|m.57427,0.000232217110537145
CHOYP_AMACR.1.1|m.21950,0.00589349641149211
CHOYP_GCC2.1.1|m.17251,0.00563576696303841
CHOYP_GCKR.1.1|m.51743,0.0109380087508025
CHOYP_GCN1L.1.1|m.1352,0.00168231156735927
CHOYP_GCSP.1.1|m.46644,0.00801644267921445
CHOYP_GCST.1.1|m.16047,0.00346028583184853
CHOYP_GD1L1.1.1|m.11963,0.011041883855393
CHOYP_GDAP2.1.1|m.57049,-0.00939325003128043
CHOYP_GDE.1.1|m.54948,0.00906551837997813
CHOYP_GELS2.2.2|m.30443,-0.00209107188966925
CHOYP_GEMIN5.2.2|m.59078,-0.00274285191802264
CHOYP_AMDHD2.2.2|m.52160,0.00771639148113595
CHOYP_GEPH.1.2|m.49093,0.00644665198789049
CHOYP_GFM2.1.1|m.18396,0.00894940813747099
CHOYP_GGPPS.1.1|m.12124,0.02468985186318
CHOYP_GIGA2.1.1|m.44916,-0.00365244357492723
CHOYP_GIGA3.1.1|m.42774,0.00435337522658656
CHOYP_GIPC1.1.1|m.60630,0.00151960877948549
CHOYP_GIT1.1.2|m.26059,0.0109285896428716
CHOYP_GLCM.2.3|m.40511,0.0080589388605811
CHOYP_GLIPR1L1.1.1|m.41745,0.00613373381678479
CHOYP_GLO1.1.1|m.32382,0.00724370510907963
CHOYP_AMO.1.5|m.28337,-0.0074084946513322
CHOYP_GLRX3.1.1|m.63529,0.00305091885838905
CHOYP_GMDS.1.1|m.28602,0.00255804231907226
CHOYP_GMFB.2.2|m.54955,-0.006727540352097
CHOYP_GMPAA.1.1|m.1432,0.00612053849071916
CHOYP_GMPR2.1.1|m.63274,-0.000119886948753747
CHOYP_GNAI.1.1|m.26096,-0.00410345535777349
CHOYP_GNAO.1.1|m.37355,-0.00421536572192926
CHOYP_GNAQ.1.1|m.20698,-0.00238147212300054
CHOYP_GNBPB3.1.1|m.55379,-0.000152695988723634
CHOYP_GNPI2.1.1|m.55897,-0.00195408655345421
CHOYP_AMO.5.5|m.66428,-0.00785459925639446
CHOYP_GOGB1.1.2|m.26408,0.0158224036619033
CHOYP_GOLGA4.1.3|m.4761,-0.00448551041073891
CHOYP_GPDA.1.2|m.6967,0.00238881476266606
CHOYP_GPM6A.1.1|m.41817,-0.00968098632227737
CHOYP_GPMA.1.1|m.35689,-0.00275173103512828
CHOYP_GPSM2.1.1|m.58301,0.0106023763010455
CHOYP_GPX3.1.2|m.24838,-0.0173396450675326
CHOYP_GR101.3.3|m.43507,-0.00265970192817223
CHOYP_GRAP1.1.1|m.45768,0.00654207332761911
CHOYP_GRIA3.1.1|m.44173,-0.00166324119533679
CHOYP_AMRP.1.1|m.36070,0.014610657709189
CHOYP_GRK5.1.1|m.6617,0.0107296667205577
CHOYP_GRM1.2.2|m.65835,0.00138322495200967
CHOYP_GRP75.1.1|m.11678,-0.000687118233197699
CHOYP_GSH1.1.1|m.8927,0.0103649734483555
CHOYP_GSHB.1.1|m.27512,-0.00266040420868348
CHOYP_GSK3B.1.1|m.62139,0.0194715829244786
CHOYP_GST7.1.1|m.59335,0.00265324428352958
CHOYP_GSTO1.1.2|m.14745,0.0139026100124014
CHOYP_GSTO1.2.2|m.26202,-0.00076808054372549
CHOYP_GSTO2.1.1|m.36486,-0.00170906640041878
CHOYP_AMY.2.3|m.15473,0.0209654848477938
CHOYP_GSTP1.1.2|m.29677,0.00919141491877376
CHOYP_GSTP1.2.2|m.30099,-0.00297273331014464
CHOYP_GSTZ1.1.1|m.56540,0.00505009430704886
CHOYP_GTPB1.1.1|m.66453,0.0108040010772898
CHOYP_GTR1.1.1|m.25509,-0.00102224602767605
CHOYP_GUAA.1.1|m.18809,0.0194298214071144
CHOYP_GUAD.1.1|m.33511,0.00280812815004622
CHOYP_GUN.2.2|m.46462,0.000515444124220754
CHOYP_GZF1.1.2|m.7747,-0.00174511926651488
CHOYP_H2AV.1.7|m.12182,0.000713793943648732
CHOYP_AN13B.1.1|m.15287,0.0338407421930977
CHOYP_H3.1.2|m.3829,-0.00210248563799714
CHOYP_HACL1.1.1|m.6578,-0.00419108761136453
CHOYP_HBS1L.1.2|m.14311,0.00344900916991992
CHOYP_HEAT1.1.1|m.11228,0.0121574874521066
CHOYP_HECD1.1.1|m.27759,0.0104217340552041
CHOYP_HELZ.2.2|m.43303,0.00766632269445659
CHOYP_HEM2.1.1|m.6789,0.0317577736228716
CHOYP_HEM3.1.1|m.28414,0.0292394660732566
CHOYP_HERC2.1.1|m.65153,0.000477237446654371
CHOYP_HGFAC.1.1|m.5902,-0.00959457164318237
CHOYP_ANKK1.1.1|m.56194,0.0236175982540793
CHOYP_HIF1N.1.1|m.53726,0.0247580812832922
CHOYP_HINT1.1.1|m.53526,-0.00155595796995126
CHOYP_HIP1.1.1|m.31791,-0.00291695956487469
CHOYP_HIRA.1.1|m.19212,0.00124856896086855
CHOYP_HMBS.1.1|m.31422,0.00446777669640758
CHOYP_HMCN1.28.44|m.47379,0.00923013216258677
CHOYP_HMCN2.10.12|m.49343,-0.000221217382886299
CHOYP_HMCN2.3.12|m.26811,0.00545576991651535
CHOYP_HOOK3.1.1|m.14456,0.0143511165475507
CHOYP_HPGD.1.3|m.50258,0.0022397840093616
