CHOYP_ACT.23.27.m.58454	GO:0005524;GO:0005737;GO:0005856
CHOYP_ADA17.1.3.m.798	GO:0004865;GO:0005634;GO:0006511;GO:0008157;GO:0032515;GO:0035308;GO:0050710;GO:0050830;GO:0061630
CHOYP_AGAP_AGAP004885.1.1.m.29831	GO:0005739;GO:0046872;GO:0051537;GO:0106034
CHOYP_AN13B.1.1.m.15287	GO:0005770;GO:0005886
CHOYP_BRAFLDRAFT_101346.1.1.m.1028	GO:0005739;GO:0046872;GO:0047800
CHOYP_BRAFLDRAFT_114006.1.1.m.49056	
CHOYP_BRAFLDRAFT_117263.1.1.m.28027	GO:0005739;GO:0005783;GO:0010507;GO:0035091;GO:0042981
CHOYP_BRAFLDRAFT_118645.1.1.m.30629	GO:0010181;GO:0016491
CHOYP_BRAFLDRAFT_204736.1.2.m.27864	GO:0005737;GO:0005741;GO:0006974;GO:0035694;GO:0035695;GO:0043231;GO:0048545
CHOYP_BRAFLDRAFT_208436.1.32.m.14239	GO:0005524
CHOYP_BRAFLDRAFT_268591.1.1.m.59744	GO:0016491
CHOYP_BRAFLDRAFT_277091.1.3.m.1103	GO:0000049;GO:0003735;GO:0005840;GO:0006412
CHOYP_BRAFLDRAFT_277775.1.1.m.12737	GO:0004843;GO:0005737;GO:0005829;GO:0016236;GO:0016579;GO:0030433;GO:0030968;GO:0035523;GO:0035871;GO:0046872;GO:0070536;GO:0071108;GO:1904265;GO:1990167;GO:1990168
CHOYP_BRAFLDRAFT_278918.4.5.m.39356	GO:0004499;GO:0005576;GO:0009820;GO:0033784;GO:0050660;GO:0050661;GO:0051289;GO:0055114
CHOYP_BRAFLDRAFT_284971.1.1.m.8608	GO:0001096;GO:0003677;GO:0004386;GO:0005524;GO:0005634;GO:0005674;GO:0006366;GO:0006367;GO:0006368;GO:0032968
CHOYP_BRAFLDRAFT_73486.1.1.m.16417	GO:0004411;GO:0005829;GO:0006520;GO:0006559;GO:0006572;GO:0042802;GO:0046872;GO:0070062
CHOYP_BRAFLDRAFT_91321.7.10.m.56158	GO:0003950;GO:0005634;GO:0005737;GO:0005829;GO:0006471;GO:0010629;GO:0019899;GO:0042531;GO:0042532;GO:0045087;GO:0060336;GO:0070212;GO:0070403;GO:1902216
CHOYP_C2D1.1.1.m.8807	GO:0000122;GO:0000281;GO:0005543;GO:0005634;GO:0005737;GO:0006886;GO:0007219;GO:0007423;GO:0007472;GO:0008586;GO:0008593;GO:0016197;GO:0016324;GO:0030100;GO:0036257;GO:0045035;GO:0045732;GO:0045746;GO:0048132;GO:0048749
CHOYP_CBX1.3.4.m.27106	GO:0000118;GO:0000122;GO:0000776;GO:0000784;GO:0000792;GO:0003682;GO:0005634;GO:0005654;GO:0005720;GO:0005721;GO:0005730;GO:0006974;GO:0010369;GO:0016605;GO:0017053;GO:0030674;GO:0032991;GO:0035064;GO:0035097;GO:0042802;GO:0042803;GO:0042826;GO:0043021;GO:0044877;GO:0045892;GO:0070491;GO:0090734;GO:1990904
CHOYP_CCBL1.1.1.m.30637	GO:0005737;GO:0005739;GO:0006520;GO:0009058;GO:0016212;GO:0030170;GO:0047315;GO:0047804;GO:0070189
CHOYP_CIAO1.1.1.m.48324	GO:0016226;GO:0097361
CHOYP_CIR1A.1.1.m.11568	GO:0000462;GO:0001650;GO:0003723;GO:0005654;GO:0005694;GO:0005730;GO:0006355;GO:0006364;GO:0030490;GO:0030686;GO:0032040;GO:0034455
CHOYP_CNOT1.1.1.m.12106	GO:0000400;GO:0000790;GO:0003677;GO:0003723;GO:0005634;GO:0005737;GO:0006310;GO:0006338;GO:0006357;GO:0008134;GO:0008301;GO:0032392;GO:0045087;GO:0045089;GO:0045578;GO:0045638;GO:0045944
CHOYP_CUL3B.1.1.m.61644	GO:0000028;GO:0003735;GO:0006412;GO:0022627
CHOYP_DCDC2.7.7.m.46807	GO:0001764;GO:0005654;GO:0005737;GO:0005815;GO:0005829;GO:0005874;GO:0005929;GO:0005930;GO:0006968;GO:0007605;GO:0015630;GO:0019894;GO:0030111;GO:0035556;GO:0045880;GO:0048813;GO:0060091;GO:0060271;GO:0072686;GO:1902017
CHOYP_DCNL4.1.2.m.36826	GO:0000151;GO:0005634;GO:0031624;GO:0032182;GO:0045116;GO:0051443;GO:0097602
