GO,Clust_Color,Clust_Num,sumsim,semsimsum,term,GOSlim_bin,p.value,p.adj,,,
GO:0006098,turquoise4,7,14.09539531,242.3548694,pentose-phosphate shunt,other metabolic processes,0.002615019,0.614529446,,GO:0006098,0.002615019
GO:0006139,turquoise4,7,13.27100352,242.3548694,nucleobase-containing compound metabolic process,other metabolic processes,0.003267171,0.767785166,,GO:0006139,0.003267171
GO:0006383,turquoise4,7,11.71245971,242.3548694,transcription from RNA polymerase III promoter,RNA metabolism,0.003918683,0.920890622,,GO:0006383,0.003918683
GO:0006384,turquoise4,7,11.62915981,242.3548694,transcription initiation from RNA polymerase III promoter,cell organization and biogenesis;RNA metabolism,0.000654718,0.153858741,,GO:0006384,0.000654718
GO:0006397,turquoise4,7,10.13589634,242.3548694,mRNA processing,RNA metabolism,0.000871398,0.204778578,,GO:0006397,0.000871398
GO:0006468,turquoise4,7,12.87829725,242.3548694,protein phosphorylation,protein metabolism,0.000762897,0.179280809,,GO:0006468,0.000762897
GO:0006508,turquoise4,7,6.421599749,242.3548694,proteolysis,protein metabolism,0.000432308,0.101592304,,GO:0006508,0.000432308
GO:0006520,turquoise4,7,7.067394085,242.3548694,cellular amino acid metabolic process,other metabolic processes,0.003593007,0.844356664,,GO:0006520,0.003593007
GO:0006695,turquoise4,7,10.76170106,242.3548694,cholesterol biosynthetic process,other metabolic processes,0.002615019,0.614529446,,GO:0006695,0.002615019
GO:0006739,turquoise4,7,18.76853436,242.3548694,NADP metabolic process,other metabolic processes,0.001308793,0.307566431,,GO:0006739,0.001308793
GO:0006740,turquoise4,7,13.52435191,242.3548694,NADPH regeneration,other metabolic processes,0.002288703,0.537845176,,GO:0006740,0.002288703
GO:0009051,turquoise4,7,13.9529932,242.3548694,pentose-phosphate shunt; oxidative branch,other metabolic processes,0.00163559,0.384363694,,GO:0009051,0.00163559
GO:0019322,turquoise4,7,8.336190712,242.3548694,pentose biosynthetic process,other metabolic processes,0.001308793,0.307566431,,GO:0019322,0.001308793
GO:0019372,turquoise4,7,7.034309185,242.3548694,lipoxygenase pathway,other metabolic processes,0.000981836,0.230731455,,GO:0019372,0.000981836
GO:0019439,turquoise4,7,7.603116552,242.3548694,aromatic compound catabolic process,other metabolic processes,0.000654718,0.153858741,,GO:0019439,0.000654718
