protein_ID,log10p.adj,logFC
CHOYP_BRAFLDRAFT_127065.6.7.m.30727,-3.4827665470989,0.705743440930204
CHOYP_contig_023710.m.26965,-2.44029452974273,3.36389465191958
CHOYP_contig_026700.m.30399,-2.44029452974273,-1.25277670852891
CHOYP_FASN.3.4.m.60278,-5.64792742290278,2.90305346302761
CHOYP_FUCL1.1.1.m.28893,-2.44029452974273,-4.63610534808042
CHOYP_LOC584364.2.2.m.57790,-1.36598516785289,-0.432150175000647
CHOYP_LOC754102.1.1.m.57578,-2.44029452974273,-0.532817539668396
CHOYP_MYSP.4.9.m.2302,-1.88656414069356,0.527719453825477
CHOYP_PHUM_PHUM226120.5.7.m.43551,-1.70883192641759,0.90513577521142
CHOYP_TBA.1.6.m.12217,-1.84138397928232,-0.475830516671826
CHOYP_TBA1A.2.4.m.19573,-1.37430075846896,-0.375790443600218
CHOYP_TMEM2.3.4.m.10491,-1.38957316921455,-1.38556188642982
