gene,Day11_23C,Day11_29C,Day13_23C,Day13_29C,Day3_23C,Day3_29C,Day5_23C,Day5_29C,Day7_23C,Day7_29C,Day9_23C,Day9_29C
1433Z.1.2.m.5643,111.02715,58.72215,162.26925,175.0944,87.46525,132.3968,51.67795,149.3615,48.27415,136.29685,109.9708,154.2391
1433Z.2.2.m.61737,118.33735,205.9016,128.35305,34.8846,146.11925,107.2649,170.54605,62.66285,139.14475,61.34945,102.87765,51.14335
2AAA,68.3992,75.74755,70.76645,72.25215,56.65525,71.56105,59.7722,68.2876,62.86495,72.6359,66.0077,74.9676
TPD54,78.5785,31.12235,92.68275,90.30225,44.7863,0,45.8163,94.7948,0,0,38.9739,66.4379
RS27A.1.2.m.28362,311.6036,268.42145,459.05795,467.2112,288.97795,394.90065,407.59395,427.17515,396.1436,461.9663,435.95605,335.74685
ACT.23.27.m.58454,249.49095,261.9099,264.21735,0,134.8912,0,110.9911,102.60505,196.87485,250.12515,99.3946,115.95735
ACT.5.27.m.15585,0,0,0,0,563.3507,0,0,0,0,0,0,0
ACT.6.27.m.15622,0,0,425.9015,0,0,0,0,0,334.28085,0,0,0
ACT3,0,6.39345,0,0,0,0,0,0,0,0,0,0
ACT3A,275.60495,214.8842,375.32195,327.81,174.55785,251.1409,303.09585,238.72395,180.14175,210.52075,225.2547,334.80975
NDUS6,72.37645,38.57225,88.0521,54.38425,60.1365,55.58325,45.42865,60.00605,63.8368,56.81375,72.1798,82.4713
ACTN,131.8154,151.52065,154.1719,148.8785,121.5965,121.74945,119.54305,123.12665,109.97355,126.41795,105.5317,134.0607
HTS.2.5.m.15081,27.22665,0,0,28.48965,54.35015,0,52.62515,29.82895,26.1089,37.06315,21.976,0
HTS.3.5.m.17639,54.7064,66.3303,61.4296,54.03245,0,55.1362,0,28.76405,28.22865,28.7659,51.82455,62.20875
NDKB,260.7856,252.4629,169.71355,196.0035,161.03695,186.79335,183.99195,176.418,173.7837,202.7357,164.47445,225.2919
AGRIN,47.5027,58.3418,60.23575,79.2372,67.3832,80.76995,73.38875,80.984,69.3723,82.55785,50.72465,71.9621
KAD9.2.3.m.49697,2.2142,0,0,0.9292,14.2801,2.1256,0,0,0,2.88335,0,1.2761
KAD9.3.3.m.63103,2.1754,4.094,4.54915,2.55365,14.02985,4.93575,6.38415,6.5926,6.97015,7.26295,4.3978,2.11255
ARP3,62.76425,90.75265,88.479,92.52925,62.9504,93.03775,83.6122,88.95875,71.883,96.65045,68.51395,74.5928
ARPC2,49.23485,86.06725,71.47735,76.1281,45.1604,56.50075,53.70485,57.29055,47.8054,48.44345,48.2853,62.4157
ATPB,246.55255,185.21515,212.2842,206.7159,242.47065,249.794,226.10965,209.6934,249.1503,177.6311,261.6795,237.76145
PPR32,9.25045,2.74115,0,6.0448,50.10535,19.68005,15.27395,17.3303,24.68165,19.08865,18.8372,10.22405
SVEP1,12.30275,12.6607,12.7145,13.7985,0,5.41425,5.14945,8.6417,12.81525,12.1304,11.605,13.7248
MYCBP,59.14005,68.2277,51.4184,61.90165,70.9033,59.10165,67.46935,63.78415,55.3352,70.4859,63.71115,69.61755
TEKT4,4.23355,2.8396,3.4207,3.8687,45.9083,10.477,8.7348,7.01885,10.5155,9.38855,5.2524,2.72415
SSPO.2.5.m.17419,11.6577,21.50635,9.5831,23.6052,7.8566,11.2837,11.69885,11.4438,14.3134,12.48095,9.0828,13.98685
PRDX5,188.36705,170.74095,114.6707,160.20155,198.01155,175.67665,156.3725,176.69975,136.802,155.34935,143.9368,188.94845
TEKT2,0,1.4307,0,3.79805,42.65125,9.0027,9.8187,4.14965,10.32345,9.2171,6.5658,4.0149
UAP1,71.4007,74.4235,63.0398,78.9378,68.11945,57.9644,64.4684,66.00055,59.1511,66.5474,61.65845,71.41525
POSTN,71.96685,49.17855,66.4537,28.594,542.66385,503.55835,314.21385,129.41815,114.6228,60.6951,78.76765,37.78655
MIEAP,51.7511,50.2844,78.2177,74.93805,39.43645,61.87515,64.6181,69.0164,62.9981,80.5989,65.4556,59.25495
RS13,70.61395,64.92035,53.2141,50.3747,42.2917,133.4708,52.40455,0,0,0,62.66415,53.8612
MTHSD,66.64005,66.23415,60.1236,57.7344,55.7935,66.42525,69.54965,76.43185,59.1611,62.55825,68.32775,72.36805
CHIA,0,0,0,0,63.14915,28.18255,17.8956,0,0,0,0,0
FBP3,1.67805,0.60075,0,0.5476,30.61665,6.15895,7.3503,2.8596,2.0395,3.66475,1.56455,1.64625
C1QL4.2.13.m.10914,14.3706,40.3855,22.01445,46.31595,9.6619,13.49805,9.6992,14.82805,0,36.22165,23.8105,21.00795
VWDE.6.10.m.29014,6.14505,4.5959,4.0147,3.0087,4.3214,4.5618,10.9157,9.04855,18.0837,9.61265,12.44775,7.2757
CRB,0.1933,0,0,0.96505,1.24715,0,0,0,0,0,0,0
IF44L,10.74945,9.64855,29.1266,4.40025,21.1264,16.74845,11.69555,9.6417,11.2348,6.67055,7.87395,5.8018
PACRG,69.38715,82.5447,57.2717,74.59605,78.71115,60.03645,59.51435,77.1551,60.31525,68.8399,60.6757,67.22245
BT3L4,191.90435,172.75115,153.03145,121.42525,166.5921,169.38875,183.2932,179.47175,156.9453,147.58925,180.86295,162.5377
C1QL4.3.7.m.5968,25.36955,58.49155,0,46.31595,19.1753,57.35705,57.7732,25.21145,37.03655,16.0606,10.45105,42.13795
CALM,56.0522,68.92165,49.0406,14.9456,35.5408,0,14.19735,48.46785,0,40.55295,242.6491,46.87475
CALU,94.32625,138.40425,85.7369,118.6688,90.03925,77.78475,60.94795,87.6708,65.8175,72.08955,75.078,89.86575
CRNS1,0,0,0,0,11.3343,0.64655,2.8758,0,0,0,0,0
CATA.1.3.m.11120,74.32065,75.0147,0,57.69585,26.18615,50.15585,49.46985,65.4208,50.24645,35.1209,54.11775,64.6508
CATA.3.3.m.21642,46.8637,3.55915,68.2655,15.9025,0,13.09295,31.19375,23.3509,31.68345,23.311,34.1246,41.90195
