Var1,Var2,semsimValue,type
nervous system process,circulatory system process,0.832051221042958,term-term
transport,vesicle-mediated transport,0.722745548855299,term-term
homeostatic process,signal transduction,0.832051221042958,term-term
cell cycle,mitotic cell cycle,0.908327465396174,term-term
cytoskeleton organization,mitochondrion organization,0.733807483311182,term-term
cytoskeleton organization,chromosome organization,0.733807483311182,term-term
mitochondrion organization,chromosome organization,0.733807483311182,term-term
cellular component assembly,protein-containing complex assembly,0.937258874342498,term-term
small molecule metabolic process,lipid metabolic process,0.801077475217573,term-term
locomotion,cell motility,0.908327465396174,term-term
transport,transmembrane transport,0.722745548855299,term-term
anatomical structure development,embryo development,0.908327465396174,term-term
nervous system process,embryo development,0.733807483311182,term-term
circulatory system process,embryo development,0.733807483311182,term-term
transport,nucleocytoplasmic transport,0.722745548855299,term-term
membrane organization,plasma membrane organization,0.908327465396174,term-term
cellular component assembly,ribonucleoprotein complex assembly,0.846469392218535,term-term
protein-containing complex assembly,ribonucleoprotein complex assembly,0.908327465396174,term-term
transport,cytoskeleton-dependent intracellula...,0.722745548855299,term-term
nucleocytoplasmic transport,cytoskeleton-dependent intracellula...,0.733807483311182,term-term
cell differentiation,cell morphogenesis,0.832051221042958,term-term
protein maturation,cellular protein modification proce...,0.733807483311182,term-term
transport,protein targeting,0.722745548855299,term-term
nucleocytoplasmic transport,protein targeting,0.733807483311182,term-term
cytoskeleton-dependent intracellula...,protein targeting,0.733807483311182,term-term
small molecule metabolic process,cellular amino acid metabolic proce...,0.908327465396174,term-term
lipid metabolic process,cellular amino acid metabolic proce...,0.733807483311182,term-term
cellular nitrogen compound metaboli...,DNA metabolic process,0.722745548855299,term-term
cellular nitrogen compound metaboli...,tRNA metabolic process,0.722745548855299,term-term
DNA metabolic process,tRNA metabolic process,0.733807483311182,term-term
cellular nitrogen compound metaboli...,mRNA processing,0.722745548855299,term-term
DNA metabolic process,mRNA processing,0.733807483311182,term-term
tRNA metabolic process,mRNA processing,0.832051221042958,term-term
catabolic process,nucleobase-containing compound cata...,0.908327465396174,term-term
cellular nitrogen compound metaboli...,nucleobase-containing compound cata...,0.722745548855299,term-term
biosynthetic process,translation,0.908327465396174,term-term
cellular nitrogen compound metaboli...,translation,0.722745548855299,term-term
protein maturation,translation,0.733807483311182,term-term
cellular protein modification proce...,translation,0.832051221042958,term-term
cellular amino acid metabolic proce...,translation,0.832051221042958,term-term
CHOYP_contig_033285.m.37973,reproduction,NA,protein-term
CHOYP_TBA2.1.1.m.955,mitotic cell cycle,NA,protein-term
CHOYP_CHER.1.1.m.63350,mitotic cell cycle,NA,protein-term
CHOYP_TBA1A.2.4.m.19573,mitotic cell cycle,NA,protein-term
CHOYP_TBA1.2.9.m.9962,mitotic cell cycle,NA,protein-term
CHOYP_LOC100533261.1.1.m.36141,mitotic cell cycle,NA,protein-term
CHOYP_ALPHATUB84D.1.1.m.16562,mitotic cell cycle,NA,protein-term
CHOYP_TBA3.1.1.m.5111,mitotic cell cycle,NA,protein-term
CHOYP_FLNA.2.6.m.11845,mitotic cell cycle,NA,protein-term
CHOYP_TBA1.7.9.m.44107,mitotic cell cycle,NA,protein-term
CHOYP_TRIADDRAFT_57086.1.1.m.25271,mitotic cell cycle,NA,protein-term
CHOYP_FLNC.2.5.m.37450,cell morphogenesis,NA,protein-term
CHOYP_LOC100372342.1.1.m.63404,cell morphogenesis,NA,protein-term
CHOYP_LOC100705966.1.1.m.45957,cell morphogenesis,NA,protein-term
CHOYP_CNOT1.1.1.m.12106,immune system process,NA,protein-term
CHOYP_FLNC.2.5.m.37450,immune system process,NA,protein-term
CHOYP_ISCW_ISCW008219.1.2.m.46822,immune system process,NA,protein-term
CHOYP_TBA1.7.9.m.44107,immune system process,NA,protein-term
CHOYP_LOC100533261.1.1.m.36141,immune system process,NA,protein-term
CHOYP_BRAFLDRAFT_281651.5.8.m.25278,immune system process,NA,protein-term
CHOYP_HSP90AA1.1.1.m.14867,immune system process,NA,protein-term
CHOYP_DMBT1.13.34.m.27666,immune system process,NA,protein-term
CHOYP_ISCW_ISCW008219.1.2.m.46822,circulatory system process,NA,protein-term
CHOYP_PCKG.1.2.m.43785,carbohydrate metabolic process,NA,protein-term
CHOYP_BRAFLDRAFT_115608.1.1.m.25984,carbohydrate metabolic process,NA,protein-term
CHOYP_contig_048973.m.58107,carbohydrate metabolic process,NA,protein-term
CHOYP_ENO.1.2.m.7681,carbohydrate metabolic process,NA,protein-term
CHOYP_BRAFLDRAFT_281651.5.8.m.25278,carbohydrate metabolic process,NA,protein-term
