Var1,Var2,value,type
GO:0005524,GO:0005525,0.90205156297921,term-term
GO:0003735,GO:0005200,0.725023973221836,term-term
GO:0005509,GO:0000287,0.74680696329701,term-term
GO:0000226,GO:0003341,0.760609258331956,term-term
GO:0001016,GO:0003677,0.827773347301036,term-term
GO:0005634,GO:0005783,0.716793218071379,term-term
GO:0004197,GO:0004180,0.725017990107071,term-term
GO:0001016,GO:0000400,0.70615468893763,term-term
GO:0003677,GO:0000400,0.827773347301036,term-term
GO:0004096,GO:0004601,0.915845428800232,term-term
GO:0004089,GO:0004333,0.8447554003178,term-term
GO:0003677,GO:0003723,0.848073758866523,term-term
GO:0006396,GO:0000462,0.840595822987555,term-term
GO:0005886,GO:0001533,0.948503795098293,term-term
GO:0003723,GO:0003746,0.778661541441698,term-term
GO:0001932,GO:0000187,0.796017766135762,term-term
GO:0004683,GO:0004054,0.70615468893763,term-term
GO:0004683,GO:0004127,0.70615468893763,term-term
GO:0004054,GO:0004127,0.70615468893763,term-term
GO:0003774,GO:0003924,0.772570772231122,term-term
GO:0003779,GO:0003785,0.915845428800232,term-term
GO:0004601,GO:0016491,0.765810882636413,term-term
GO:0003954,GO:0016491,0.735045623812593,term-term
GO:0003735,GO:0005198,0.840595822987555,term-term
GO:0005200,GO:0005198,0.840595822987555,term-term
GO:0004867,GO:0004869,0.845511385294878,term-term
GO:0003723,GO:0003730,0.778661541441698,term-term
GO:0006396,GO:0006364,0.948284774510257,term-term
GO:0000462,GO:0006364,0.891415922281321,term-term
GO:0000028,GO:0000027,0.90205156297921,term-term
GO:0004096,GO:0004784,0.70615468893763,term-term
GO:0004601,GO:0004784,0.765580833985881,term-term
GO:0002161,GO:0004341,0.90205156297921,term-term
GO:0004556,GO:0003796,0.772570772231122,term-term
GO:0000281,GO:0000082,0.80410312595842,term-term
GO:0000275,GO:0005747,0.80410312595842,term-term
GO:0004197,GO:0004222,0.8447554003178,term-term
GO:0004180,GO:0004222,0.725017990107071,term-term
GO:0004180,GO:0004177,0.812355235019006,term-term
GO:0004089,GO:0004613,0.80410312595842,term-term
GO:0004333,GO:0004613,0.80410312595842,term-term
GO:0003755,GO:0003756,0.8447554003178,term-term
GO:0004683,GO:0004674,0.915845428800232,term-term
GO:0004054,GO:0004674,0.765580833985881,term-term
GO:0004127,GO:0004674,0.765580833985881,term-term
GO:0004197,GO:0004252,0.8447554003178,term-term
GO:0004180,GO:0004252,0.725017990107071,term-term
GO:0004222,GO:0004252,0.8447554003178,term-term
GO:0004096,GO:0004362,0.70615468893763,term-term
GO:0004601,GO:0004362,0.765580833985881,term-term
GO:0003954,GO:0004362,0.785264687700975,term-term
GO:0004784,GO:0004362,0.70615468893763,term-term
GO:0006396,GO:0000470,0.840595822987555,term-term
GO:0000462,GO:0000470,0.80410312595842,term-term
GO:0006364,GO:0000470,0.891415922281321,term-term
GO:0000272,GO:0000184,0.772570772231122,term-term
GO:0006396,GO:0000184,0.752289285654788,term-term
GO:0006364,GO:0000184,0.719314230921824,term-term
GO:0000794,GO:0000228,0.948503795098293,term-term
GO:0000139,GO:0002080,0.74680696329701,term-term
GO:0004683,GO:0004550,0.70615468893763,term-term
GO:0004054,GO:0004550,0.70615468893763,term-term
GO:0004127,GO:0004550,0.8447554003178,term-term
GO:0004674,GO:0004550,0.765580833985881,term-term
GO:0001932,GO:0001934,0.902440987558043,term-term
GO:0000187,GO:0001934,0.891415922281321,term-term
