term	numprots	D3_magFC_23	D5_magFC_23	D7_magFC_23	D9_magFC_23	D11_magFC_23	D13_magFC_23
aging	1	0.0614669594433419	0.331771995652528	0.228467250233459	0.0306461237479114	0.495493420893769	0.388527015037259
anatomical structure development	25	0.637387505834048	0.259981089041335	0.186933788340622	0.294731590273467	0.933286418172399	0.564696483263144
anatomical structure formation invo...	5	0.411249376132969	0.204919820569265	0.222795643032692	0.266266347395357	1.52720093429759	0.553690408578977
ATPase activity	10	0.832817770793315	0.358442979470557	0.63203532257577	0.34941737276187	0.689077091002855	0.55698505036955
biosynthetic process	19	0.577708536673516	0.269115501873711	0.165320302539336	0.378404169717761	0.896941094085255	0.653386551564725
carbohydrate metabolic process	2	0.134895771446093	0.126955306160454	0.105673398266831	0.0933842558028628	0.444743393537436	0.382223165294157
catabolic process	5	0.151540915103405	0.169825790261118	0.127588238156561	0.166969122935726	1.69406517810602	0.751687611276419
cell adhesion	15	1.22108120058197	0.355773195208817	0.722763724823237	0.278863917089216	0.894150803163844	0.533118163395673
cell cycle	8	0.321405401198501	0.118052835317915	0.15696781908323	0.133183386199449	0.716772734286239	0.446850370542735
cell death	2	0.241888087928139	0.0503936335837509	0.164197057630344	0.398958452577765	2.34651649676077	1.48287186665246
cell differentiation	10	0.505549470085916	0.109391046833065	0.153281301667343	0.20430045069458	0.609471819769715	0.666971075731226
cell division	2	1.13459331640769	0.515854429863669	0.19340190927495	0.344491266801182	2.01487367169702	1.45522420751085
cell junction organization	5	0.537320867518282	0.289586712752471	0.156849507581023	0.264056537333768	1.14715398845893	0.801937234430024
cell morphogenesis	6	1.38216703769246	0.447392457349273	0.292905776058133	0.45169310331899	0.850920459577049	0.814542714349661
cell motility	7	0.860797888126956	0.257936846254164	0.221570952130485	0.32576577063551	0.700237772905828	0.638111532969863
cell proliferation	5	0.175654961217595	0.0918877289492471	0.0414493314761652	0.120978086335819	0.699606505517504	0.589443468800156
cell-cell signaling	4	0.281601060814542	0.222031130930317	0.0994690348577552	0.215522581598997	0.751341660610779	0.0411761891908993
cellular amino acid metabolic proce...	4	1.07178418755832	0.288750956349406	0.178454371741233	0.534889576914444	1.66613676783253	1.24074550876176
cellular component assembly	26	0.615944901090916	0.3049471050899	0.193697270517535	0.312514000178014	1.27126772971301	0.618848159372217
cellular nitrogen compound metaboli...	17	0.284296123267403	0.28848349667656	0.152659694968081	0.325773649694774	1.03528695790414	0.734156813271516
cellular protein modification proce...	12	0.575890682692457	0.162798123277473	0.617921753022574	0.377607764793291	1.2877916375687	0.667173974835769
chromosome organization	1	1.17409581455425	0.484704316373624	0.256959576936783	0.087409637773801	0.703815387329638	1.10612728433654
chromosome segregation	2	1.13459331640769	0.515854429863669	0.19340190927495	0.344491266801182	2.01487367169702	1.45522420751085
circulatory system process	2	1.93865874011259	0.36906665386287	0.435985999872881	0.643990381482011	0.395839016782066	0.641199865350362
cofactor metabolic process	2	0.139522775895914	0.248283692387721	0.0793418187693181	0.332407904205185	1.06381663986294	0.560295070406794
cytoskeletal protein binding	23	0.38097647236852	0.233131972677157	0.235386054698627	0.262062459852922	1.11997613537091	0.680942618962979
cytoskeleton organization	24	0.3716942907554	0.1527013858556	0.178966513513304	0.248266729350988	1.15464752567075	0.595042159829997
cytoskeleton-dependent intracellula...	1	0.0614669594433419	0.331771995652528	0.228467250233459	0.0306461237479114	0.495493420893769	0.388527015037259
developmental maturation	2	0.112734185393634	0.119070198598767	0.0350271807787901	0.0773879850106823	0.545466214994095	0.00700516865313805
DNA binding	8	0.452273266578651	0.231894010651252	0.143708183276373	0.437215284072563	1.71647562550779	0.769677158607704
DNA metabolic process	1	0.0772342753016586	0.00553647967506521	0.037101724517635	0.135344114837503	2.13677479460574	2.11626513699991
embryo development	4	1.15181578937763	0.136909369686967	0.257333162426444	0.760313850576871	1.5678589584126	0.615852194371548
enzyme binding	14	0.407463215157802	0.210177468240214	0.211202846318994	0.288190526771966	1.4332036561511	0.986387389667883
enzyme regulator activity	8	1.05331143350486	0.267636757676137	0.184608847371885	0.197244223163029	1.58579470319212	0.88571416542224
extracellular matrix organization	2	2.01487367169703	0.60632661551753	0.551546746482052	0.806488438445375	0.711222111949207	0.545154100673681
generation of precursor metabolites...	3	1.08788158679009	0.520405736744804	0.0837236066102871	0.587178003593934	0.276211217149485	0.548651740300218
growth	1	0.306415862300745	0.0265980952028935	0.176403222888387	0.308215808218297	1.48342531890434	0.201995011025797
GTPase activity	12	0.25121648821536	0.121371241982754	0.131048886478937	0.0976846587532735	0.731568733906151	0.36036565090303
histone binding	1	0.384597435456127	0.175035765966756	0.103372030251926	0.388579172494366	2.73356273072369	0.996966208627569
homeostatic process	8	0.760549605758389	0.513111083596321	0.949712293731228	0.49236003066733	0.847531139728622	0.814858030350594
hydrolase activity, acting on carbo...	1	0.0979928354684558	0.0278496888194812	0.282592464094426	0.443951979472274	0.824116168355141	0.00934993308340104
hydrolase activity, acting on glyco...	1	0.0979928354684558	0.0278496888194812	0.282592464094426	0.443951979472274	0.824116168355141	0.00934993308340104
immune system process	7	0.181396144982794	0.199558485883243	0.172237441063398	0.195575886080949	1.07480203382369	0.50914005387074
ion binding	42	0.671640506857863	0.271371344604059	0.576298349053152	0.403712148640488	1.26779164471159	0.677962403261131
isomerase activity	2	0.190308267465753	0.0511926224571932	0.192052688583711	0.247126182202961	0.401586836200981	0.123517659619685
kinase activity	8	0.70730798619867	0.309779781777388	0.160034899390684	0.421193751613249	1.07745077559703	0.624266639518819
ligase activity	2	0.0818237959376158	0.0913665017135687	0.193511561554624	0.147646484191948	2.74289079119696	2.49816602656918
lipid binding	4	0.306964978285436	0.220649745027791	0.132536729007118	0.200105940191526	0.899294154853842	0.221890952223577
lipid metabolic process	5	0.472811694288665	0.0733065205341446	0.137630000540335	0.135965015456237	1.70876035366756	0.967167813137052
locomotion	8	0.79150013489868	0.229019502372755	0.215924985975223	0.323572025333359	0.798136216155642	0.583596967726855
lyase activity	2	1.03191040078069	0.0612149890308516	0.171186378106196	0.204580466471087	0.530139005962054	0.44064066709135
membrane organization	11	0.387868076221041	0.242391616073273	0.128740079710071	0.18285971093867	0.888631184496803	0.514168288735376
mitochondrion organization	1	0.212163855387766	0.194841829655156	0.269559613716416	0.0242357180551078	1.70381538732964	1.08651779360586
mitotic cell cycle	8	0.321405401198501	0.118052835317915	0.15696781908323	0.133183386199449	0.716772734286239	0.446850370542735
mRNA processing	3	0.065387666837412	0.210797047189752	0.130840942388896	0.262083056952154	2.2259348982274	0.887598090899579
nervous system process	3	0.307191770677164	0.412849677821095	0.691030185786766	0.238817892546718	0.667349858716535	0.658472321443175
nuclease activity	1	0.115410802640737	0.519638106483011	0.0813880123533286	0.479727060552561	2.40425510547073	0.274144796781632
nucleobase-containing compound cata...	1	0.115410802640737	0.519638106483011	0.0813880123533286	0.479727060552561	2.40425510547073	0.274144796781632
nucleocytoplasmic transport	1	0.460546288689425	0.0569717442464137	0.0219395472725861	0.153598461729993	1.75444146039961	0.348438579128946
nucleotidyltransferase activity	1	0.0829893249483602	0.0631239712280083	0.067925752546766	0.123033547504522	3.37624072930113	0.941178430441822
oxidoreductase activity	10	0.937777059305654	0.19089799890173	0.183981654770137	0.290082579458667	0.572547716334923	0.686168301524147
peptidase activity	4	0.124438236070881	0.116328134481234	0.111574439472092	0.335911825590059	0.932026114931537	0.245562723728034
plasma membrane organization	8	0.23377113613079	0.192731909380281	0.0962110787678114	0.162279821083487	0.586577002360183	0.249877207215815
protein folding	5	0.212017606780583	0.241908371993618	0.536467985863358	0.690540057475722	1.6496624766388	1.02752355407078
protein targeting	1	0.346736348747193	0.0903454399630332	0.0771806747523414	0.0334447571005843	1.30372822951677	0.18058611796677
protein-containing complex assembly	18	0.518736837147604	0.268252303025225	0.156371036651906	0.26665999404652	1.32811747182967	0.584101644729211
response to stress	11	0.667597020009515	0.240496022603817	0.466030806661877	0.358975257601971	1.24267487390888	0.737163027382121
ribonucleoprotein complex assembly	3	0.16938371774736	0.120136910027096	0.135690055439046	0.200063661164959	1.81329088632815	0.962689674819273
RNA binding	13	0.185546701348213	0.194452858331337	0.191778358841437	0.344852070096458	1.43240381377354	0.741191378886328
rRNA binding	11	0.200674245265798	0.125550709471505	0.199881222083773	0.34934836136651	1.40819049755842	0.773753331397242
signal transduction	15	0.401443167422011	0.264743275504633	0.668922693608937	0.283777864054329	1.14826777875137	0.621635110798687
small molecule metabolic process	13	0.767565792664281	0.285036585227892	0.132705367659418	0.378363166191577	0.886904319171816	0.705417669337775
structural constituent of ribosome	10	0.207698001646217	0.12270128426811	0.166960251822831	0.212802506799885	0.714367289059528	0.423494763300808
structural molecule activity	28	0.415060471379115	0.121600873117101	0.149677700220472	0.167910483374137	0.771375221242019	0.384666837918084
sulfur compound metabolic process	1	0.0614669594433419	0.331771995652528	0.228467250233459	0.0306461237479114	0.495493420893769	0.388527015037259
symbiont process	5	0.237322515137656	0.153259247193706	0.120837555971813	0.281691699611041	1.43462961206959	0.618634034876709
transcription factor binding	2	0.1641749554913	0.177593752167077	0.148628505756498	0.312800193224397	0.766068317744572	0.351644488768176
transferase activity, transferring ...	4	1.59109148954144	0.279864578486663	0.71573522095072	0.479750069471627	0.757142288049193	0.689499521983219
translation	6	0.143852538419947	0.225624803063339	0.233300282863404	0.285329451199775	0.7457820987897	0.677592005145602
translation factor activity, RNA bi...	11	0.185387864306624	0.175986115182577	0.177726764970798	0.356439498821171	1.46116481403273	0.771789190731011
transmembrane transport	2	0.115410802640737	0.613705248051536	1.9822973319344	0.66940095672588	0.829962279201187	0.848144080271722
transmembrane transporter activity	5	0.273651742850442	0.648470743108496	2.20501054756344	1.22226768365821	0.897846548054854	0.593300546218508
transport	22	0.470187208352064	0.423382923971742	0.987871193443465	0.490380213230357	1.31947277036938	0.575277484309641
tRNA metabolic process	1	0.00488343107697453	0.170781684188645	0.00607482889701139	0.19593409455197	3.22737734338665	3.0093499330834
unfolded protein binding	3	0.293701786713686	0.346328370804042	0.540528632745898	0.485849895680002	1.53621248102497	0.747628065015133
vacuolar transport	1	0.708785543178093	0.246988163628195	0.0862451775809934	0.305163164306729	1.60503723285146	0.143486605734938
vesicle-mediated transport	12	0.510914429589439	0.386663014333315	0.9009436381318	0.307579322117473	1.45789215776007	0.510072580687112
