protein_ID	method	D_3_logFC_23	D_5_logFC_23	D_7_logFC_23	D_9_logFC_23	D_11_logFC_23	D_13_logFC_23	D_3_adj.ChiSq.pval_23	D_5_adj.ChiSq.pval_23	D_7_adj.ChiSq.pval_23	D_9_adj.ChiSq.pval_23	D_11_adj.ChiSq.pval_23	D_13_adj.ChiSq.pval_23	gene	type
CHOYP_ABCE1.1.2.m.7437	PropTest	0.460546288689425	-0.0569717442464137	-0.0219395472725861	0.153598461729993	-1.75444146039961	-0.348438579128946	0.972056752910786	0.971021389430923	0.997624329922123	0.940454783919857	0.083187655569175	0.915324501700265	ABCE1	protein
CHOYP_ACAA2.1.1.m.30666	PropTestASCA	-0.212163855387766	-0.194841829655156	-0.269559613716416	0.0242357180551078	-1.70381538732964	-1.08651779360586	0.972056752910786	0.971021389430923	0.997624329922123	0.966894670166965	0.0365001895533074	0.915324501700265	THIM	protein
CHOYP_ACT.23.27.m.58454	ASCA	-0.176478465865242	0.118235925276587	-0.186570249045385	-0.0175076245436445	0.00761511472943077	-0.255138958501329	0.972056752910786	0.971021389430923	0.997624329922123	0.966894670166965	0.981635990422128	0.915324501700265	ACT.23.27.m.58454	protein
CHOYP_ACT.4.27.m.14034	PropTest	0.331544233505503	0.292470345545228	-0.233976258935944	0.730983555736252	0.846381695230842	0.566642414133202	0.972056752910786	0.971021389430923	0.997624329922123	0.121671668195847	0.00701211717467249	0.397666316749618	ACTC	protein
CHOYP_ACT.5.27.m.15585	PropTest	-0.0816733404681553	0.115354314011345	-0.0335678760894407	0.139240617565804	-0.270772099996478	-1.08716401759915	0.972056752910786	0.971021389430923	0.997624329922123	0.940454783919857	0.449355839051313	1.33951973297593e-16	ACT.5.27.m.15585	protein
CHOYP_ACT1.4.7.m.29125	PropTest	0.188783988970957	0.258804123659353	-0.258978744573435	0.527705696953955	1.13935760009696	0.634283429439217	0.972056752910786	0.971021389430923	0.997624329922123	0.0230273287087524	1.32183975298837e-13	0.000466134616161546	ACT1	protein
CHOYP_ACTC.3.6.m.21571	PropTest	0.0978524312564328	0.242060859824778	-0.226098613232022	0.355319595374091	0.705575548808064	0.402229391855991	0.972056752910786	0.971021389430923	0.997624329922123	0.940454783919857	0.000188753210360534	0.45206441396304	ACT.3.6.m.21571	protein
CHOYP_AGAP_AGAP011617.1.2.m.29071	PropTest	1.03052190505422	0.162063468821003	-0.00473192605957262	-0.224913161523736	-0.554239031279128	-0.260000614461362	0.000343925778285772	0.971021389430923	0.997624329922123	0.940454783919857	0.739773937690257	0.915324501700265	FMRA.1.2.m.29071	protein
CHOYP_AKD1.2.3.m.49697	PropTest	-1.51930473327752	-0.731142211676723	0.0674753735611544	0.875115656807536	-0.118852886608481	-0.768341833579606	0.00647363028319724	0.971021389430923	0.997624329922123	0.940454783919857	0.926099551778029	0.915324501700265	KAD9.2.3.m.49697	protein
CHOYP_AKD1.3.3.m.63103	PropTest	-1.51930473327752	-0.741195876340647	0.0626583572633779	0.78705948014234	-0.118852886608481	-0.687421838196039	0.00647363028319724	0.971021389430923	0.997624329922123	0.940454783919857	0.926099551778029	0.915324501700265	KAD9.3.3.m.63103	protein
