Var1	Var2	semsimValue	type
ribonucleoprotein complex assembly	protein-containing complex assembly	0.916774785100933	term-term
ribonucleoprotein complex assembly	cellular component assembly	0.861340718118867	term-term
protein-containing complex assembly	cellular component assembly	0.943918758375965	term-term
nucleocytoplasmic transport	transport	0.724991137202479	term-term
cellular protein modification proce...	nucleobase-containing compound cata...	0.512903344880974	term-term
nucleobase-containing compound cata...	catabolic process	0.916774785100933	term-term
cellular protein modification proce...	cellular nitrogen compound metaboli...	0.584502367106269	term-term
nucleobase-containing compound cata...	cellular nitrogen compound metaboli...	0.75217572679737	term-term
catabolic process	cellular nitrogen compound metaboli...	0.513291821528632	term-term
protein-containing complex assembly	cytoskeleton organization	0.507401335119634	term-term
cellular component assembly	cytoskeleton organization	0.533367606224607	term-term
mitotic cell cycle	cell cycle	0.916774785100933	term-term
cellular protein modification proce...	mRNA processing	0.643208149110177	term-term
nucleobase-containing compound cata...	mRNA processing	0.692676227420271	term-term
cellular nitrogen compound metaboli...	mRNA processing	0.75217572679737	term-term
cellular protein modification proce...	DNA metabolic process	0.643208149110177	term-term
nucleobase-containing compound cata...	DNA metabolic process	0.692676227420271	term-term
cellular nitrogen compound metaboli...	DNA metabolic process	0.75217572679737	term-term
mRNA processing	DNA metabolic process	0.756451672440487	term-term
cellular protein modification proce...	lipid metabolic process	0.512903344880974	term-term
nucleobase-containing compound cata...	lipid metabolic process	0.512903344880974	term-term
mRNA processing	lipid metabolic process	0.512903344880974	term-term
DNA metabolic process	lipid metabolic process	0.512903344880974	term-term
anatomical structure development	anatomical structure formation invo...	0.615939781526671	term-term
anatomical structure development	embryo development	0.916774785100933	term-term
anatomical structure formation invo...	embryo development	0.568616547191494	term-term
anatomical structure development	cell differentiation	0.615939781526671	term-term
anatomical structure formation invo...	cell differentiation	0.568616547191494	term-term
embryo development	cell differentiation	0.643208149110177	term-term
protein-containing complex assembly	cell morphogenesis	0.507401335119634	term-term
cellular component assembly	cell morphogenesis	0.533367606224607	term-term
anatomical structure development	cell morphogenesis	0.615939781526671	term-term
anatomical structure formation invo...	cell morphogenesis	0.568616547191494	term-term
embryo development	cell morphogenesis	0.643208149110177	term-term
cell differentiation	cell morphogenesis	0.846338113710136	term-term
signal transduction	homeostatic process	0.846338113710136	term-term
cellular nitrogen compound metaboli...	biosynthetic process	0.513291821528632	term-term
cellular protein modification proce...	translation	0.846338113710136	term-term
nucleobase-containing compound cata...	translation	0.602789786150623	term-term
cellular nitrogen compound metaboli...	translation	0.75217572679737	term-term
mRNA processing	translation	0.643208149110177	term-term
DNA metabolic process	translation	0.643208149110177	term-term
lipid metabolic process	translation	0.512903344880974	term-term
biosynthetic process	translation	0.916774785100933	term-term
nucleocytoplasmic transport	vesicle-mediated transport	0.568616547191494	term-term
transport	vesicle-mediated transport	0.724991137202479	term-term
ion binding	RNA binding	0.53067195318889	term-term
DNA binding	RNA binding	0.759989581812064	term-term
lipid binding	RNA binding	0.53067195318889	term-term
enzyme binding	RNA binding	0.53067195318889	term-term
DNA binding	rRNA binding	0.643208149110177	term-term
RNA binding	rRNA binding	0.818439127577218	term-term
DNA binding	translation factor activity, RNA bi...	0.643208149110177	term-term
RNA binding	translation factor activity, RNA bi...	0.818439127577218	term-term
rRNA binding	translation factor activity, RNA bi...	0.692676227420271	term-term
DNA binding	mRNA binding	0.643208149110177	term-term
RNA binding	mRNA binding	0.818439127577218	term-term
rRNA binding	mRNA binding	0.692676227420271	term-term
translation factor activity, RNA bi...	mRNA binding	0.692676227420271	term-term
structural molecule activity	structural constituent of ribosome	0.916774785100933	term-term
enzyme binding	cytoskeletal protein binding	0.643208149110177	term-term
RNA binding	cytoskeletal protein binding	0.53067195318889	term-term
transferase activity, transferring ...	kinase activity	0.643208149110177	term-term
GTPase activity	peptidase activity	0.602789786150623	term-term
transferase activity, transferring ...	nucleotidyltransferase activity	0.643208149110177	term-term
kinase activity	nucleotidyltransferase activity	0.846338113710136	term-term
