Var1	Var2	semsimValue	type
cellular component assembly	ribonucleoprotein complex assembly	0.860157368803361	term-term
cellular component assembly	protein-containing complex assembly	0.943393833980618	term-term
ribonucleoprotein complex assembly	protein-containing complex assembly	0.916099381283893	term-term
transport	nucleocytoplasmic transport	0.722360419974855	term-term
cellular component assembly	cytoskeleton organization	0.529385261038077	term-term
protein-containing complex assembly	cytoskeleton organization	0.503403712296642	term-term
mitotic cell cycle	cell cycle	0.916099381283893	term-term
cellular protein modification proce...	nucleobase-containing compound cata...	0.509256357433032	term-term
cellular protein modification proce...	cellular nitrogen compound metaboli...	0.58061327982149	term-term
nucleobase-containing compound cata...	cellular nitrogen compound metaboli...	0.749856074040122	term-term
nucleobase-containing compound cata...	catabolic process	0.916099381283893	term-term
cellular nitrogen compound metaboli...	catabolic process	0.526989023786308	term-term
cellular protein modification proce...	mRNA processing	0.640536779089365	term-term
nucleobase-containing compound cata...	mRNA processing	0.690375234528464	term-term
cellular nitrogen compound metaboli...	mRNA processing	0.749856074040122	term-term
anatomical structure development	embryo development	0.916099381283893	term-term
anatomical structure development	anatomical structure formation invo...	0.612822988883425	term-term
embryo development	anatomical structure formation invo...	0.565386695331276	term-term
anatomical structure development	cell differentiation	0.612822988883425	term-term
embryo development	cell differentiation	0.640536779089365	term-term
anatomical structure formation invo...	cell differentiation	0.565386695331276	term-term
cellular component assembly	cell morphogenesis	0.529385261038077	term-term
protein-containing complex assembly	cell morphogenesis	0.503403712296642	term-term
anatomical structure development	cell morphogenesis	0.612822988883425	term-term
embryo development	cell morphogenesis	0.640536779089365	term-term
anatomical structure formation invo...	cell morphogenesis	0.565386695331276	term-term
cell differentiation	cell morphogenesis	0.845187617264232	term-term
signal transduction	homeostatic process	0.845187617264232	term-term
cellular nitrogen compound metaboli...	biosynthetic process	0.526989023786308	term-term
cellular protein modification proce...	translation	0.845187617264232	term-term
nucleobase-containing compound cata...	translation	0.599815795980748	term-term
cellular nitrogen compound metaboli...	translation	0.749856074040122	term-term
mRNA processing	translation	0.640536779089365	term-term
biosynthetic process	translation	0.916099381283893	term-term
transport	vesicle-mediated transport	0.722360419974855	term-term
nucleocytoplasmic transport	vesicle-mediated transport	0.565386695331276	term-term
ion binding	RNA binding	0.529385261038077	term-term
lipid binding	RNA binding	0.529385261038077	term-term
enzyme binding	RNA binding	0.529385261038077	term-term
DNA binding	RNA binding	0.786919123837921	term-term
DNA binding	translation factor activity, RNA bi...	0.690375234528464	term-term
RNA binding	translation factor activity, RNA bi...	0.860157368803361	term-term
DNA binding	rRNA binding	0.690375234528464	term-term
RNA binding	rRNA binding	0.860157368803361	term-term
translation factor activity, RNA bi...	rRNA binding	0.754628178716516	term-term
structural molecule activity	structural constituent of ribosome	0.916099381283893	term-term
enzyme binding	cytoskeletal protein binding	0.640536779089365	term-term
RNA binding	cytoskeletal protein binding	0.529385261038077	term-term
transferase activity, transferring ...	kinase activity	0.690375234528464	term-term
GTPase activity	peptidase activity	0.599815795980748	term-term
transferase activity, transferring ...	nucleotidyltransferase activity	0.690375234528464	term-term
kinase activity	nucleotidyltransferase activity	0.845187617264232	term-term
GTPase activity	nuclease activity	0.599815795980748	term-term
peptidase activity	nuclease activity	0.599815795980748	term-term
transferase activity, transferring ...	transferase activity, transferring ...	0.690375234528464	term-term
kinase activity	transferase activity, transferring ...	0.690375234528464	term-term
nucleotidyltransferase activity	transferase activity, transferring ...	0.690375234528464	term-term
GTPase activity	ATPase activity	0.845187617264232	term-term
peptidase activity	ATPase activity	0.599815795980748	term-term
nuclease activity	ATPase activity	0.599815795980748	term-term
cellular nitrogen compound metaboli...	small molecule metabolic process	0.526989023786308	term-term
cellular nitrogen compound metaboli...	generation of precursor metabolites...	0.58061327982149	term-term
cellular nitrogen compound metaboli...	cofactor metabolic process	0.58061327982149	term-term
cellular protein modification proce...	carbohydrate metabolic process	0.509256357433032	term-term
nucleobase-containing compound cata...	carbohydrate metabolic process	0.509256357433032	term-term
mRNA processing	carbohydrate metabolic process	0.509256357433032	term-term
translation	carbohydrate metabolic process	0.509256357433032	term-term
cellular protein modification proce...	DNA metabolic process	0.640536779089365	term-term
nucleobase-containing compound cata...	DNA metabolic process	0.690375234528464	term-term
cellular nitrogen compound metaboli...	DNA metabolic process	0.749856074040122	term-term
mRNA processing	DNA metabolic process	0.754628178716516	term-term
translation	DNA metabolic process	0.640536779089365	term-term
carbohydrate metabolic process	DNA metabolic process	0.509256357433032	term-term
cellular protein modification proce...	tRNA metabolic process	0.640536779089365	term-term
nucleobase-containing compound cata...	tRNA metabolic process	0.690375234528464	term-term
cellular nitrogen compound metaboli...	tRNA metabolic process	0.749856074040122	term-term
mRNA processing	tRNA metabolic process	0.845187617264232	term-term
translation	tRNA metabolic process	0.640536779089365	term-term
carbohydrate metabolic process	tRNA metabolic process	0.509256357433032	term-term
DNA metabolic process	tRNA metabolic process	0.754628178716516	term-term
cellular protein modification proce...	cellular amino acid metabolic proce...	0.509256357433032	term-term
nucleobase-containing compound cata...	cellular amino acid metabolic proce...	0.565386695331276	term-term
cellular nitrogen compound metaboli...	cellular amino acid metabolic proce...	0.706814742986922	term-term
mRNA processing	cellular amino acid metabolic proce...	0.565386695331276	term-term
translation	cellular amino acid metabolic proce...	0.845187617264232	term-term
small molecule metabolic process	cellular amino acid metabolic proce...	0.916099381283893	term-term
