gene,GO
ACT.23.27,GO:0005524
ACT.5.27,GO:0005524
ACT3,GO:0005524
HTS,GO:0000212
FMRA.1.2,GO:0005576
KAD9.2.3,GO:0004550
KAD9.3.3,GO:0004550
ARP3,GO:0005200
ATPB,GO:0005524
SVEP1,GO:0005509
TEKT4,GO:0030030
CRB,GO:0001745
C1QL4,GO:0005581
CRNS1,GO:0005524
CATA.1.3,GO:0004096
CATA.3.3,GO:0004096
CNDP2,GO:0004180
CDPK3,GO:0004683
FUMA,GO:0004333
TITIN.m.27774,GO:0000794
SPI2,GO:0004867
TLP,GO:0030435
GC,GO:0016021
DYH7.2.3,GO:0003341
DYH5.1.2,GO:0003341
DYH5.2.2,GO:0003341
DYH6,GO:0005524
DYH7.2.2,GO:0003341
H2B7,GO:0000786
DYH1,GO:0003351
DYH2.1.1,GO:0005524
DYHC,GO:0003777
EF1A.2.4,GO:0003746
EF1A.1.3,GO:0003746
EF2.4.5,GO:0003746
EF2.5.5,GO:0003746
DAPLE,GO:0001932
ENO,GO:0000015
FAS,GO:0003697
FLNA.2.6,GO:0000278
FLNA.2.5,GO:0001664
GELS2,GO:0005737
HMCN1,GO:0005201
JUPI1,GO:0005634
HSP7D,GO:0005524
H90A1,GO:0005524
ANM1,GO:0003713
KARG,GO:0004054
KCY,GO:0004127
RLA2,GO:0003735
FMRA.2.2,GO:0005576
CFA45,GO:0005634
ASNS,GO:0004066
DYHC2,GO:0003774
AN32A,GO:0005634
DYH10,GO:0005524
HYDIN.2.6,GO:0002064
HYDIN.4.6,GO:0002064
YD541,GO:0016491
TEKT1,GO:0005634
HSPB1,GO:0000502
SPTCB,GO:0003779
SPTN5,GO:0000165
PMFBP,GO:0001520
CFA61,GO:0003341
SSPO.3.8,GO:0005615
SSPO.6.8,GO:0005615
SSPO.7.8,GO:0005615
CALR,GO:0005509
IFEA,GO:0005198
ITIH4,GO:0004867
DMBT1,GO:0001530
FAT4.1.1,GO:0001658
LAMA,GO:0005102
FAU1,GO:0006364
MLRA,GO:0005509
ATPD,GO:0000275
PPIA,GO:0003755
CO6A3,GO:0003429
DYH2.1.2,GO:0005524
AMY1,GO:0004556
FKB14,GO:0003755
ACT.1.1,GO:0005524
TBA,GO:0005200
EFCB6,GO:0005509
MATN1,GO:0003429
MLE,GO:0005509
SIDF,GO:0005777
MYS.4.7,GO:0003774
MYS.7.7,GO:0003774
MYSP,GO:0003774
PPIB,GO:0000413
SNO1,GO:0004499
PCKG,GO:0004613
PGBM,GO:0001523
UNC22.2.7,GO:0004674
UNC22.3.7,GO:0004674
UNC22.5.7,GO:0004674
UNC22.7.7,GO:0004674
PIDD1,GO:0004175
OBG,GO:0000287
RL18A,GO:0000184
MANA,GO:0000272
HEXP,GO:0003677
RS3A,GO:0003735
RS5,GO:0000028
COR1B,GO:0001725
SPTCA,GO:0003779
ZAN,GO:0005886
TBA1,GO:0000226
TBA3,GO:0000226
TBB.1.7,GO:0003924
TBB.7.7,GO:0003924
TCPD,GO:0005524
TITIN.8.19,GO:0000794
IFT74,GO:0003334
RAD50.15.22,GO:0004518
RAD50.16.22,GO:0004518
CENPF,GO:0000278
TYRO,GO:0005576
XRN2,GO:0000738
ACT.23.27,GO:0005737
ACT.5.27,GO:0005737
ACT3,GO:0005737
HTS,GO:0005198
FMRA.1.2,GO:0007218
KAD9.2.3,GO:0005524
KAD9.3.3,GO:0005524
ARP3,GO:0005524
ATPB,GO:0005743
SVEP1,GO:0005576
TEKT4,GO:0031514
CRB,GO:0003383
C1QL4,GO:0005615
CRNS1,GO:0005829
CATA.1.3,GO:0005777
CATA.3.3,GO:0005777
CNDP2,GO:0005654
CDPK3,GO:0005509
FUMA,GO:0006099
TITIN.m.27774,GO:0002020
SPI2,GO:0005576
TLP,GO:0030436
GC,GO:0055036
DYH7.2.3,GO:0005509
DYH5.1.2,GO:0005524
DYH5.2.2,GO:0005524
DYH6,GO:0005858
DYH7.2.2,GO:0003777
H2B7,GO:0003677
DYH1,GO:0003777
DYH2.1.1,GO:0005874
DYHC,GO:0005524
EF1A.2.4,GO:0003924
EF1A.1.3,GO:0003924
EF2.4.5,GO:0003924
EF2.5.5,GO:0003924
DAPLE,GO:0005737
ENO,GO:0000287
FAS,GO:0004312
FLNA.2.6,GO:0003779
FLNA.2.5,GO:0002576
GELS2,GO:0005856
HMCN1,GO:0005509
JUPI1,GO:0005737
HSP7D,GO:0005634
H90A1,GO:0005634
ANM1,GO:0005634
KARG,GO:0005524
KCY,GO:0004550
RLA2,GO:0005840
FMRA.2.2,GO:0007218
CFA45,GO:0005654
ASNS,GO:0005524
DYHC2,GO:0003777
AN32A,GO:0005737
DYH10,GO:0005737
HYDIN.2.6,GO:0003341
HYDIN.4.6,GO:0003341
YD541,GO:0016616
TEKT1,GO:0005737
HSPB1,GO:0001895
SPTCB,GO:0005200
SPTN5,GO:0003779
PMFBP,GO:0007010
CFA61,GO:0005930
SSPO.3.8,GO:0007155
SSPO.6.8,GO:0007155
SSPO.7.8,GO:0007155
CALR,GO:0006457
IFEA,GO:0005737
ITIH4,GO:0005576
DMBT1,GO:0003677
FAT4.1.1,GO:0001736
LAMA,GO:0005604
FAU1,GO:0016891
MLRA,GO:0016459
ATPD,GO:0005739
PPIA,GO:0005737
CO6A3,GO:0004867
DYH2.1.2,GO:0005874
AMY1,GO:0005509
FKB14,GO:0005509
ACT.1.1,GO:0005737
TBA,GO:0005525
EFCB6,GO:0005654
MATN1,GO:0005201
MLE,GO:0016459
SIDF,GO:0006696
MYS.4.7,GO:0005516
MYS.7.7,GO:0005516
MYSP,GO:0030016
PPIB,GO:0003755
SNO1,GO:0005576
PCKG,GO:0005525
PGBM,GO:0001525
UNC22.2.7,GO:0005516
UNC22.3.7,GO:0005516
UNC22.5.7,GO:0005516
UNC22.7.7,GO:0005516
PIDD1,GO:0005123
OBG,GO:0003924
RL18A,GO:0002181
MANA,GO:0010391
HEXP,GO:0005634
RS3A,GO:0006412
RS5,GO:0000184
COR1B,GO:0005737
SPTCA,GO:0005509
ZAN,GO:0007339
TBA1,GO:0000235
TBA3,GO:0000278
TBB.1.7,GO:0005200
TBB.7.7,GO:0005200
TCPD,GO:0005815
TITIN.8.19,GO:0001701
IFT74,GO:0003682
RAD50.15.22,GO:0005524
RAD50.16.22,GO:0005524
CENPF,GO:0000775
TYRO,GO:0016491
XRN2,GO:0001147
ACT.23.27,GO:0005856
ACT.5.27,GO:0005856
ACT3,GO:0005856
HTS,GO:0005737
KAD9.2.3,GO:0005634
KAD9.3.3,GO:0005634
ARP3,GO:0005634
ATPB,GO:0015986
SVEP1,GO:0005737
CRB,GO:0005080
C1QL4,GO:0042802
CRNS1,GO:0006548
CATA.1.3,GO:0006979
CATA.3.3,GO:0006979
CNDP2,GO:0005829
CDPK3,GO:0005516
FUMA,GO:0046872
TITIN.m.27774,GO:0002576
