term	numprots	D3_TNSnorm_magFC	D3_NSAFnorm_magFC	D5_TNSnorm_magFC	D5_NSAFnorm_magFC	D7_TNSnorm_magFC	D7_NSAFnorm_magFC	D9_TNSnorm_magFC	D9_NSAFnorm_magFC	D11_TNSnorm_magFC	D11_NSAFnorm_magFC	D13_TNSnorm_magFC	D13_NSAFnorm_magFC	D3_TNS_NSAF_sum	D3_TNS_NSAF_mean	D5_TNS_NSAF_sum	D5_TNS_NSAF_mean	D7_TNS_NSAF_sum	D7_TNS_NSAF_mean	D9_TNS_NSAF_sum	D9_TNS_NSAF_mean	D11_TNS_NSAF_sum	D11_TNS_NSAF_mean	D13_TNS_NSAF_sum	D13_TNS_NSAF_mean
aging	3	0.116635114536606	0.118182633034561	0.407051605597406	0.425183710625537	0.357584849642682	0.388248055816678	0.221204976110735	0.234964429103726	0.406099570840426	0.452613077930544	0.491107193306361	0.560630213643449	0.234817747571168	0.156545165047445	0.832235316222943	0.554823544148629	0.74583290545936	0.497221936972907	0.456169405214461	0.30411293680964	0.85871264877097	0.572475099180647	1.05173740694981	0.701158271299873
anatomical structure development	46	0.802620741210283	1.8831114042916	0.338647384548121	0.773435940242209	0.295052651987476	0.417955113292764	0.54971657553515	0.977712218579338	0.440612574018433	0.984854062282645	0.466063919905225	1.52197054003074	2.68573214550189	1.79048809700126	1.11208332479033	0.741388883193553	0.71300776528024	0.475338510186827	1.52742879411449	1.01828586274299	1.42546663630108	0.950311090867385	1.98803445993596	1.32535630662398
anatomical structure formation invo...	17	0.926733172346295	1.61731485398081	0.2825265727825	1.01167711615503	0.345145895941856	0.706635762015894	0.352999943876702	0.908895871293249	0.401331797010406	1.07035245887397	0.43376091803649	1.80621265781529	2.5440480263271	1.6960320175514	1.29420368893753	0.862802459291685	1.05178165795775	0.701187771971833	1.26189581516995	0.841263876779967	1.47168425588438	0.981122837256253	2.23997357585178	1.49331571723452
ATPase activity	16	1.04314972024068	1.13887436899996	0.338835907622856	0.559259917357389	0.267360055259533	0.267425878806937	0.92628139306625	1.02590157666476	0.538244650690657	0.759344314442321	0.297823980385859	0.53855827620766	2.18202408924064	1.45468272616043	0.898095824980245	0.59873054998683	0.53478593406647	0.356523956044314	1.95218296973101	1.30145531315401	1.29758896513298	0.865059310088652	0.83638225659352	0.557588171062346
autophagy	1	0.0546387308747853	0.649830428832127	0.0378590707658928	0.0950008916712628	0.408699156876487	0.35545183112647	0.128113758576	0.143580948108675	0.0589651223466818	0.0414786338702369	0.0812046930396493	0.0617966770140681	0.704469159706912	0.469646106471275	0.132859962437156	0.0885733082914371	0.764150988002957	0.509433992001971	0.271694706684675	0.18112980445645	0.100443756216919	0.0669625041446125	0.143001370053717	0.0953342467024783
biosynthetic process	50	0.416273728844797	0.633302964698112	0.240090169276036	1.06581548426626	0.318523698767865	0.733818347348938	0.397830149751369	1.18823792181871	0.32082540160063	0.972301362614894	0.362384819140954	0.829118830269714	1.04957669354291	0.699717795695272	1.30590565354229	0.870603769028196	1.0523420461168	0.701561364077869	1.58606807157008	1.05737871438006	1.29312676421552	0.862084509477016	1.19150364941067	0.794335766273778
carbohydrate metabolic process	7	0.555351237918617	0.587511067324424	0.437685368122788	1.22292015438525	0.35121586236603	0.262370819318516	0.285289662843283	0.228580003512561	0.133313319189604	0.150219369825736	0.286614389421174	0.244164768684906	1.14286230524304	0.761908203495361	1.66060552250804	1.10707034833869	0.613586681684546	0.409057787789697	0.513869666355844	0.342579777570563	0.28353268901534	0.189021792676893	0.53077915810608	0.35385277207072
catabolic process	25	0.623665187627268	1.04620098070848	0.38940359035119	1.05131219571975	0.381832335383099	0.484001934845145	0.343389496625195	0.426910774333999	0.29640925335635	0.59412885279125	0.374977953015654	1.06967179644344	1.66986616833574	1.11324411222383	1.44071578607094	0.960477190713961	0.865834270228244	0.57722284681883	0.770300270959195	0.513533513972796	0.890538106147601	0.593692070765067	1.44464974945909	0.963099832972727
cell adhesion	23	1.72473854610247	2.75742301982182	0.516800219249192	0.803386642248747	0.203444631653574	0.486289868773185	0.353094880402439	0.830089269488008	0.359362429743774	0.58306715494852	0.368162362344831	0.804201219916755	4.48216156592429	2.98810771061619	1.32018686149794	0.88012457433196	0.689734500426759	0.459823000284506	1.18318414989045	0.788789433260298	0.942429584692294	0.628286389794863	1.17236358226159	0.781575721507724
cell cycle	11	0.99422819051669	2.47945853727749	0.331995060537356	2.94020910341615	0.159929136148606	0.20725386398158	0.496161163237035	1.00458738882223	0.282373823803104	0.242730943833696	0.391773279431079	1.13316903448068	3.47368672779418	2.31579115186279	3.27220416395351	2.18146944263567	0.367183000130186	0.244788666753457	1.50074855205927	1.00049903470618	0.5251047676368	0.3500698450912	1.52494231391176	1.01662820927451
