Var1,Var2,semsimValue,type
mitotic cell cycle,cell cycle,0.918425369742395,term-term
catabolic process,nucleobase-containing compound cata...,0.918425369742395,term-term
nucleobase-containing compound cata...,DNA metabolic process,0.760917598561454,term-term
nucleobase-containing compound cata...,cellular nitrogen compound metaboli...,0.787695555499582,term-term
DNA metabolic process,cellular nitrogen compound metaboli...,0.787695555499582,term-term
organelle,chromosome,0.701978696601486,term-term
nuclear chromosome,chromosome,0.918425369742395,term-term
anatomical structure formation invo...,anatomical structure development,0.70275377860724,term-term
embryo development,anatomical structure development,0.918425369742395,term-term
signal transduction,homeostatic process,0.849155799377106,term-term
transport,vesicle-mediated transport,0.787695555499582,term-term
embryo development,cell morphogenesis,0.760917598561454,term-term
anatomical structure development,cell morphogenesis,0.70275377860724,term-term
DNA binding,RNA binding,0.793122403143319,term-term
rRNA binding,RNA binding,0.864228512660752,term-term
rRNA binding,translation factor activity, RNA bi...,0.760917598561454,term-term
RNA binding,translation factor activity, RNA bi...,0.864228512660752,term-term
transferase activity, transferring ...,kinase activity,0.849155799377106,term-term
chromosome,nucleolus,0.755276109227184,term-term
chromosome,cytoskeleton,0.755276109227184,term-term
lipid metabolic process,small molecule metabolic process,0.755276109227184,term-term
nucleobase-containing compound cata...,mRNA processing,0.760917598561454,term-term
DNA metabolic process,mRNA processing,0.849155799377106,term-term
cellular nitrogen compound metaboli...,mRNA processing,0.787695555499582,term-term
cellular protein modification proce...,translation,0.849155799377106,term-term
cellular nitrogen compound metaboli...,translation,0.787695555499582,term-term
biosynthetic process,translation,0.918425369742395,term-term
cellular nitrogen compound metaboli...,cellular amino acid metabolic proce...,0.739594691792388,term-term
small molecule metabolic process,cellular amino acid metabolic proce...,0.918425369742395,term-term
translation,cellular amino acid metabolic proce...,0.849155799377106,term-term
plasma membrane organization,membrane organization,0.918425369742395,term-term
transport,vacuolar transport,0.787695555499582,term-term
cytoskeleton organization,chromosome organization,0.849155799377106,term-term
organelle,cytoplasmic vesicle,0.701978696601486,term-term
GTPase activity,ATPase activity,0.849155799377106,term-term
transport,transmembrane transport,0.787695555499582,term-term
cellular protein modification proce...,protein maturation,0.760917598561454,term-term
translation,protein maturation,0.760917598561454,term-term
small molecule metabolic process,secondary metabolic process,0.755276109227184,term-term
embryo development,cell differentiation,0.760917598561454,term-term
anatomical structure development,cell differentiation,0.70275377860724,term-term
cell morphogenesis,cell differentiation,0.849155799377106,term-term
cellular component assembly,protein-containing complex assembly,0.918425369742395,term-term
cell motility,locomotion,0.918425369742395,term-term
transport,cytoskeleton-dependent intracellula...,0.787695555499582,term-term
extracellular space,extracellular matrix,0.849155799377106,term-term
cytoplasmic vesicle,endosome,0.918425369742395,term-term
SPTN5,cellular protein modification proce...,NA,protein-term
SPTN5,signal transduction,NA,protein-term
MANA,catabolic process,NA,protein-term
MANA,carbohydrate metabolic process,NA,protein-term
ATPD,protein-containing complex,NA,protein-term
CENPF,mitotic cell cycle,NA,protein-term
CENPF,cell cycle,NA,protein-term
OBG,ion binding,NA,protein-term
HSPB1,protein-containing complex,NA,protein-term
XRN2,nucleobase-containing compound cata...,NA,protein-term
XRN2,DNA metabolic process,NA,protein-term
XRN2,cellular nitrogen compound metaboli...,NA,protein-term
XRN2,catabolic process,NA,protein-term
CENPF,protein-containing complex,NA,protein-term
CENPF,organelle,NA,protein-term
TITIN.m.27774,organelle,NA,protein-term
TITIN.m.27774,nuclear chromosome,NA,protein-term
TITIN.m.27774,chromosome,NA,protein-term
TITIN.8.19.m.35861,organelle,NA,protein-term
TITIN.8.19.m.35861,nuclear chromosome,NA,protein-term
TITIN.8.19.m.35861,chromosome,NA,protein-term
XRN2,DNA binding,NA,protein-term
PGBM,lipid metabolic process,NA,protein-term
PGBM,anatomical structure formation invo...,NA,protein-term
DMBT1,lipid binding,NA,protein-term
TITIN.8.19.m.35861,embryo development,NA,protein-term
TITIN.8.19.m.35861,anatomical structure development,NA,protein-term
TITIN.8.19.m.35861,anatomical structure formation invo...,NA,protein-term
FAT4.1.1.m.65727,anatomical structure development,NA,protein-term
FAT4.1.1.m.34344,anatomical structure development,NA,protein-term
CENPF,anatomical structure development,NA,protein-term
HSPB1,homeostatic process,NA,protein-term
TITIN.8.19.m.35861,enzyme binding,NA,protein-term
TITIN.m.27774,enzyme binding,NA,protein-term
HYDIN.2.6.m.7640,anatomical structure development,NA,protein-term
HYDIN.4.6.m.27594,anatomical structure development,NA,protein-term
TITIN.m.27774,transport,NA,protein-term
TITIN.m.27774,vesicle-mediated transport,NA,protein-term
IFT74,anatomical structure development,NA,protein-term
CO6A3,cell morphogenesis,NA,protein-term
MATN1,cell morphogenesis,NA,protein-term
DMBT1,DNA binding,NA,protein-term
FAS,DNA binding,NA,protein-term
HSPB1,rRNA binding,NA,protein-term
HSPB1,RNA binding,NA,protein-term
HSPB1,translation factor activity, RNA bi...,NA,protein-term
EF2,translation factor activity, RNA bi...,NA,protein-term
EF2,RNA binding,NA,protein-term
EF1A.2.4.m.50858,translation factor activity, RNA bi...,NA,protein-term
EF1A.2.4.m.50858,RNA binding,NA,protein-term
EF1A.1.3.m.30022,translation factor activity, RNA bi...,NA,protein-term
EF1A.1.3.m.30022,RNA binding,NA,protein-term
SPTN5,cytoskeletal protein binding,NA,protein-term
SPTCB,cytoskeletal protein binding,NA,protein-term
EF2,GTPase activity,NA,protein-term
