Var1	Var2	semsimValue	type
cell cycle	mitotic cell cycle	0.913012125008436	term-term
catabolic process	nucleobase-containing compound cata...	0.913012125008436	term-term
nucleobase-containing compound cata...	DNA metabolic process	0.746321880765932	term-term
nucleobase-containing compound cata...	cellular nitrogen compound metaboli...	0.771776609916053	term-term
DNA metabolic process	cellular nitrogen compound metaboli...	0.771776609916053	term-term
embryo development	anatomical structure development	0.913012125008436	term-term
signal transduction	homeostatic process	0.839946926745179	term-term
vesicle-mediated transport	transport	0.771776609916053	term-term
embryo development	cell morphogenesis	0.746321880765932	term-term
translation factor activity, RNA bi...	rRNA binding	0.746321880765932	term-term
DNA binding	RNA binding	0.778658116786761	term-term
translation factor activity, RNA bi...	RNA binding	0.854735760899471	term-term
rRNA binding	RNA binding	0.854735760899471	term-term
transferase activity, transferring ...	kinase activity	0.839946926745179	term-term
lipid metabolic process	small molecule metabolic process	0.739036375025309	term-term
nucleobase-containing compound cata...	mRNA processing	0.746321880765932	term-term
DNA metabolic process	mRNA processing	0.839946926745179	term-term
cellular nitrogen compound metaboli...	mRNA processing	0.771776609916053	term-term
cellular protein modification proce...	translation	0.839946926745179	term-term
cellular nitrogen compound metaboli...	translation	0.771776609916053	term-term
biosynthetic process	translation	0.913012125008436	term-term
cellular nitrogen compound metaboli...	cellular amino acid metabolic proce...	0.720069062261769	term-term
small molecule metabolic process	cellular amino acid metabolic proce...	0.913012125008436	term-term
translation	cellular amino acid metabolic proce...	0.839946926745179	term-term
plasma membrane organization	membrane organization	0.913012125008436	term-term
transport	vacuolar transport	0.771776609916053	term-term
cytoskeleton organization	chromosome organization	0.839946926745179	term-term
GTPase activity	ATPase activity	0.839946926745179	term-term
transport	transmembrane transport	0.771776609916053	term-term
cellular protein modification proce...	protein maturation	0.746321880765932	term-term
translation	protein maturation	0.746321880765932	term-term
small molecule metabolic process	secondary metabolic process	0.739036375025309	term-term
embryo development	cell differentiation	0.746321880765932	term-term
cell morphogenesis	cell differentiation	0.839946926745179	term-term
cellular component assembly	protein-containing complex assembly	0.913012125008436	term-term
cell motility	locomotion	0.913012125008436	term-term
transport	cytoskeleton-dependent intracellula...	0.771776609916053	term-term
SPTN5	signal transduction	NA	protein-term
SPTN5	cellular protein modification proce...	NA	protein-term
MANA	carbohydrate metabolic process	NA	protein-term
MANA	catabolic process	NA	protein-term
CENPF	cell cycle	NA	protein-term
CENPF	mitotic cell cycle	NA	protein-term
OBG	ion binding	NA	protein-term
XRN2	nucleobase-containing compound cata...	NA	protein-term
XRN2	catabolic process	NA	protein-term
XRN2	DNA metabolic process	NA	protein-term
XRN2	cellular nitrogen compound metaboli...	NA	protein-term
XRN2	DNA binding	NA	protein-term
PGBM	lipid metabolic process	NA	protein-term
PGBM	anatomical structure formation invo...	NA	protein-term
DMBT1	lipid binding	NA	protein-term
TITIN.8.19.m.35861	embryo development	NA	protein-term
TITIN.8.19.m.35861	anatomical structure development	NA	protein-term
TITIN.8.19.m.35861	anatomical structure formation invo...	NA	protein-term
