"","X2_3","X2_5","X2_7","X2_9","X2_11","X2_13","X2_15"
"CHOYP_EF1A.2.4|m.50858",291.5,254,300.5,261.5,143.5,156.5,250.5
"CHOYP_MYS.4.7|m.18188",311,297.5,284.5,252,137.5,160,115.5
"CHOYP_PHUM_PHUM226120.7.7|m.54053",222,222.5,237,186,60,128,188
"CHOYP_MATN1.2.5|m.45361",161,194.5,181,177,120,121,195.5
"CHOYP_FLNC.2.5|m.37450",229.5,179.5,228,221.5,177.5,185,236.5
"CHOYP_LOC100636493.1.1|m.65727",168.5,187,237.5,174,59,95.5,166.5
"CHOYP_TBB4B.7.7|m.63980",132.5,149.5,145.5,138,71.5,35,202.5
"CHOYP_TBB4B.1.7|m.12262",220.5,238,235.5,139,28,75,52
"CHOYP_MYS.7.7|m.44342",172.5,157,158.5,133,100,87.5,56.5
"CHOYP_MATN1.3.5|m.46206",103,138.5,140.5,138,74.5,107,177
"CHOYP_MBCDH18.1.1|m.34344",210,200.5,197.5,149,32,48.5,99
"CHOYP_LOC100649130.1.1|m.58207",134.5,144,140.5,130,66,90.5,86.5
"CHOYP_EF2.4.5|m.30186",117,128,146,134.5,59.5,62,124.5
"CHOYP_KARG.2.11|m.2196",111,119,126.5,103.5,77,105.5,138
"CHOYP_CO6A5.1.6|m.5838",120,143,153.5,114,54,61,93.5
"CHOYP_BRAFLDRAFT_115608.1.1|m.25984",129,117,137,106,48.5,51.5,110
"CHOYP_MYS.7.7|m.44341",156.5,141.5,135.5,105.5,51,54.5,38.5
"CHOYP_GBLP.3.7|m.20931",124,139.5,146.5,106.5,36,32.5,106.5
"CHOYP_CLH1.2.2|m.22327",118.5,129.5,125.5,113,52,74.5,130
"CHOYP_MYSP.4.9|m.2302",108,167.5,181.5,160.5,61,30.5,59
"CHOYP_MYSP.8.9|m.44813",140,138.5,103,65.5,83,120,88.5
"CHOYP_NEMVEDRAFT_V1G242065.1.1|m.21817",112.5,101.5,128,100,51.5,55.5,97
"CHOYP_contig_043818|m.50622",99.5,99,106.5,93.5,30.5,46.5,71
"CHOYP_SPTCA.1.2|m.1905",123,66.5,0,112,42,0,67.5
"CHOYP_TLN1.4.4|m.33719",112.5,109.5,114.5,87.5,28,36.5,100
"CHOYP_HSP90AA1.1.1|m.14867",88,99.5,98,73,54.5,69,107.5
"CHOYP_LOC100533447.2.3|m.44496",80.5,89,95,93.5,66,68,102.5
"CHOYP_TRIADDRAFT_63204.1.2|m.30701",96.5,98,109.5,79,42,50,88
"CHOYP_CHER.1.1|m.63350",105,96,113,76.5,34.5,44,87
"CHOYP_ATPB.1.1|m.21960",107,119,125.5,88,42,44,73
