protein_ID,Chi,PC1loadings,ASCA,rank,magloading,clust,method
CHOYP_2AAA.1.1.m.13306,NA,NA,NA,NA,NA,clustering,clustering
CHOYP_ACT.23.27.m.58454,NA,-0.102423289757299,ASCA,14,0.102423289757299,clustering,ASCAclustering
CHOYP_ACT.5.27.m.15585,PropTest,-0.177473476346099,ASCA,7,0.177473476346099,clustering,PropTestASCAclustering
CHOYP_ACT3.1.3.m.23292,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_ACTN.1.2.m.15252,NA,NA,NA,NA,NA,clustering,clustering
CHOYP_ADD.3.5.m.17639,NA,0.0311459498459986,ASCA,101,0.0311459498459986,NA,ASCA
CHOYP_AGAP_AGAP011617.1.2.m.29071,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_AKD1.2.3.m.49697,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_AKD1.3.3.m.63103,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_ARP3.1.1.m.6867,NA,0.0309790792978166,ASCA,102,0.0309790792978166,NA,ASCA
CHOYP_ARPC2.1.1.m.50573,NA,NA,NA,NA,NA,clustering,clustering
CHOYP_ATPB.1.1.m.21960,NA,-0.0540173607770899,ASCA,42,0.0540173607770899,clustering,ASCAclustering
CHOYP_BRAFLDRAFT_100695.1.1.m.47761,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_BRAFLDRAFT_103544.1.1.m.38439,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_BRAFLDRAFT_117858.3.3.m.61651,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_BRAFLDRAFT_125327.1.1.m.29699,NA,NA,NA,NA,NA,clustering,clustering
CHOYP_BRAFLDRAFT_208436.4.32.m.22689,NA,NA,NA,NA,NA,clustering,clustering
CHOYP_BRAFLDRAFT_74063.1.5.m.2740,NA,NA,NA,NA,NA,clustering,clustering
CHOYP_BRAFLDRAFT_86846.1.3.m.13594,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_C1QL4L.3.7.m.5968,NA,0.0301441121355151,ASCA,105,0.0301441121355151,NA,ASCA
CHOYP_CARNS1.4.6.m.40244,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_CATA.1.3.m.11120,NA,0.0294979141299655,ASCA,112,0.0294979141299655,NA,ASCA
CHOYP_CATA.3.3.m.21642,NA,-0.0287084614138212,ASCA,119,0.0287084614138212,NA,ASCA
CHOYP_CNDP2.3.4.m.30467,NA,0.0386695870484815,ASCA,72,0.0386695870484815,NA,ASCA
CHOYP_CNE_1C34780.3.3.m.30615,NA,-0.0289716070677378,ASCA,117,0.0289716070677378,NA,ASCA
CHOYP_contig_008261.m.9575,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_contig_024424.m.27774,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_contig_026567.m.30260,NA,0.027325745458167,ASCA,128,0.027325745458167,NA,ASCA
CHOYP_contig_033285.m.37973,NA,-0.02890581671566,ASCA,118,0.02890581671566,NA,ASCA
CHOYP_contig_052416.m.62821,PropTest,0.0335757973967684,ASCA,91,0.0335757973967684,NA,PropTestASCA
CHOYP_DLDH.1.1.m.31018,NA,NA,NA,NA,NA,clustering,clustering
CHOYP_DNAH12.2.3.m.32353,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_DNAH5.1.2.m.56799,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_DNAH5.2.2.m.61452,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_DNAH6.2.3.m.21512,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_DNAH7.2.2.m.46648,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_DVIR_GJ23521.1.1.m.2757,NA,-0.0426669180954152,ASCA,56,0.0426669180954152,NA,ASCA
CHOYP_DYH1.1.1.m.46156,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_DYH2.1.1.m.28905,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_DYHC.1.3.m.10664,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_EF1A.2.4.m.50858,PropTest,0.0833271831892736,ASCA,20,0.0833271831892736,clustering,PropTestASCAclustering
CHOYP_EF1A2.1.3.m.30022,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_EF2.4.5.m.30186,PropTest,NA,NA,NA,NA,clustering,PropTestclustering
CHOYP_EF2.5.5.m.39855,NA,-0.0274022330442153,ASCA,127,0.0274022330442153,NA,ASCA
