protein_ID,daytemp,Entry
CHOYP_AGRIN.4.5.m.27580,day0_16C,A2ASQ1
CHOYP_BBS5.1.1.m.56560,day0_16C,Q7ZWB7
CHOYP_BRAFLDRAFT_106560.13.14.m.62780,day0_16C,A0A0R4IBK5
CHOYP_BRAFLDRAFT_109077.1.1.m.7494,day0_16C,Q6CEJ6
CHOYP_BRAFLDRAFT_117283.2.2.m.37544,day0_16C,P79729
CHOYP_BRAFLDRAFT_117940.1.1.m.59223,day0_16C,Q00808
CHOYP_BRAFLDRAFT_122381.3.4.m.23140,day0_16C,P94463
CHOYP_BRAFLDRAFT_124260.1.1.m.8355,day0_16C,Q0VF96
CHOYP_BRAFLDRAFT_124526.1.1.m.25228,day0_16C,Q9BRS2
CHOYP_BRAFLDRAFT_126379.1.3.m.5102,day0_16C,A2VDD2
CHOYP_BRAFLDRAFT_130685.1.1.m.63499,day0_16C,Q9ULJ6
CHOYP_BRAFLDRAFT_246510.1.1.m.27433,day0_16C,Q24025
CHOYP_BRAFLDRAFT_270517.1.1.m.27028,day0_16C,B0CM26
CHOYP_BRAFLDRAFT_68488.1.1.m.58466,day0_16C,Q32L27
CHOYP_BRAFLDRAFT_70742.1.1.m.8525,day0_16C,O65649
CHOYP_C124A.1.1.m.61913,day0_16C,Q68EY7
CHOYP_CALCR.1.6.m.856,day0_16C,O08893
CHOYP_CCDC146.1.1.m.11347,day0_16C,Q8IYE0
CHOYP_CLASR.1.2.m.27688,day0_16C,Q5HZB6
CHOYP_CLPT1.1.1.m.50172,day0_16C,Q2NL17
CHOYP_contig_005830.m.6680,day0_16C,O34894
CHOYP_contig_008016.m.9273,day0_16C,P20792
CHOYP_contig_018098.m.21196,day0_16C,D5ECW5
CHOYP_contig_023172.m.26349,day0_16C,D7UQ44
CHOYP_contig_024665.m.28048,day0_16C,Q5VV63
CHOYP_contig_024730.m.28114,day0_16C,Q9SVE6
CHOYP_contig_025861.m.29521,day0_16C,A9ILA7
CHOYP_contig_025865.m.29527,day0_16C,P52706
CHOYP_contig_026140.m.29796,day0_16C,Q98G42
CHOYP_contig_026679.m.30379,day0_16C,Q95NJ8
CHOYP_contig_027342.m.31071,day0_16C,Q2TZH2
CHOYP_contig_030528.m.34754,day0_16C,Q95LP0
CHOYP_contig_031244.m.35665,day0_16C,Q5F3P8
CHOYP_contig_037956.m.42826,day0_16C,Q70D51
CHOYP_contig_042449.m.48875,day0_16C,C3LN58
CHOYP_contig_043488.m.50266,day0_16C,Q66KX2
CHOYP_contig_043874.m.50696,day0_16C,Q2LWH5
CHOYP_contig_046883.m.55107,day0_16C,W7N2C1
CHOYP_contig_048973.m.58107,day0_16C,P23337
CHOYP_contig_050645.m.60289,day0_16C,Q08420
CHOYP_contig_051254.m.61184,day0_16C,Q96T58
CHOYP_CTRA.1.2.m.26705,day0_16C,P80646
CHOYP_DGRI_GH22876.2.3.m.54068,day0_16C,Q761V0
CHOYP_DNLI1.1.2.m.19123,day0_16C,P51892
CHOYP_EF1A.4.4.m.65743,day0_16C,Q92630
CHOYP_EIN_155680.4.6.m.52358,day0_16C,P85120
CHOYP_INVS.2.6.m.8331,day0_16C,Q8CJT1
CHOYP_KAT6B.1.2.m.10955,day0_16C,Q8WML3
CHOYP_KC1A.1.2.m.14719,day0_16C,Q8BK63
CHOYP_LOC100168620.4.4.m.40081,day0_16C,Q0Q028
CHOYP_LOC100175021.7.11.m.58378,day0_16C,P44998
CHOYP_LOC100206557.1.1.m.11857,day0_16C,P61315
