"","Protein ID","Uniprot Accession","P-Value","Protein names","Gene names","Length","Gene ontology (biological process)","X34","Pathway","Cross-reference (Pfam)","Gene ontology (GO)","GO Term","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
"1","CHOYP_BRAFLDRAFT_84838.6.6|m.66693","Q8EYT0","3.00E-27","Macro domain-containing protein LA_4133","LA_4133","175",NA,NA,"PATHWAY: Carbohydrate metabolism; tricarboxylic acid cycle; isocitrate from oxaloacetate: step 2/2.","PF00330;PF00694;","mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; myelin sheath [GO:0043209]; 3 iron, 4 sulfur cluster binding [GO:0051538]; 4 iron, 4 sulfur cluster binding [GO:0051539]; aconitate hydratase activity [GO:0003994]; iron ion binding [GO:0005506]; citrate metabolic process [GO:0006101]; generation of precursor metabolites and energy [GO:0006091]; isocitrate metabolic process [GO:0006102]; liver development [GO:0001889]; response to isolation stress [GO:0035900]; tricarboxylic acid cycle [GO:0006099]","GO:0003994","GO:0005506","GO:0005739","GO:0005759","GO:0006091","GO:0006099","GO:0006101","GO:0006102","GO:0035900","GO:0043209","GO:0051538","GO:0051539",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","CHOYP_RS3A.10.15|m.40676","Q46AN4","6.00E-21","30S ribosomal protein S3Ae (Ribosomal protein S1e)","rps3ae Mbar_A2127","207","translation [GO:0006412]",NA,"PATHWAY: Glycerolipid metabolism; ether lipid biosynthesis.","PF02913;PF01565;","mitochondrion [GO:0005739]; nucleolus [GO:0005730]; peroxisomal membrane [GO:0005778]; alkylglycerone-phosphate synthase activity [GO:0008609]; FAD binding [GO:0071949]; oxidoreductase activity, acting on CH-OH group of donors [GO:0016614]; ether lipid biosynthetic process [GO:0008611]","GO:0005739","GO:0005778","GO:0008609","GO:0008611","GO:0016614","GO:0071949",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","CHOYP_MDR1.1.2|m.22971","Q54BT3","0","ABC transporter B family member 2 (ABC transporter ABCB.2)","abcB2 DDB_G0293438","1397",NA,NA,NA,"PF00023;PF12796;PF00531;PF00791;","A band [GO:0031672]; apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; costamere [GO:0043034]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; intercalated disc [GO:0014704]; intracellular [GO:0005622]; M band [GO:0031430]; membrane raft [GO:0045121]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; sarcolemma [GO:0042383]; T-tubule [GO:0030315]; Z disc [GO:0030018]; ATPase binding [GO:0051117]; enzyme binding [GO:0019899]; ion channel binding [GO:0044325]; protein binding, bridging [GO:0030674]; protein kinase binding [GO:0019901]; spectrin binding [GO:0030507]; structural constituent of cytoskeleton [GO:0005200]; atrial cardiac muscle cell action potential [GO:0086014]; atrial cardiac muscle cell to AV node cell communication [GO:0086066]; atrial septum development [GO:0003283]; cellular calcium ion homeostasis [GO:0006874]; cellular protein localization [GO:0034613]; ER to Golgi vesicle-mediated transport [GO:0006888]; membrane depolarization during SA node cell action potential [GO:0086046]; paranodal junction assembly [GO:0030913]; positive regulation of calcium ion transmembrane transporter activity [GO:1901021]; positive regulation of calcium ion transport [GO:0051928]; positive regulation of cation channel activity [GO:2001259]; positive regulation of gene expression [GO:0010628]; positive regulation of potassium ion transmembrane transporter activity [GO:1901018]; positive regulation of potassium ion transport [GO:0043268]; protein localization to cell surface [GO:0034394]; protein localization to endoplasmic reticulum [GO:0070972]; protein localization to M-band [GO:0036309]; protein localization to organelle [GO:0033365]; protein localization to plasma membrane [GO:0072659]; protein localization to T-tubule [GO:0036371]; protein stabilization [GO:0050821]; protein targeting to plasma membrane [GO:0072661]; regulation of atrial cardiac muscle cell action potential [GO:0098910]; regulation of calcium ion transmembrane transporter activity [GO:1901019]; regulation of calcium ion transport [GO:0051924]; regulation of cardiac muscle cell contraction [GO:0086004]; regulation of cardiac muscle contraction [GO:0055117]; regulation of cardiac muscle contraction by calcium ion signaling [GO:0010882]; regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion [GO:0010881]; regulation of heart rate [GO:0002027]; regulation of heart rate by cardiac conduction [GO:0086091]; regulation of protein stability [GO:0031647]; regulation of release of sequestered calcium ion into cytosol [GO:0051279]; regulation of SA node cell action potential [GO:0098907]; regulation of ventricular cardiac muscle cell membrane repolarization [GO:0060307]; response to methylmercury [GO:0051597]; SA node cell action potential [GO:0086015]; SA node cell to atrial cardiac muscle cell communication [GO:0086070]; sarcoplasmic reticulum calcium ion transport [GO:0070296]; T-tubule organization [GO:0033292]; ventricular cardiac muscle cell action potential [GO:0086005]","GO:0003283","GO:0005200","GO:0005622","GO:0005829","GO:0005856","GO:0005886","GO:0006874","GO:0006888","GO:0010628","GO:0010881","GO:0010882","GO:0014704","GO:0016323","GO:0016324","GO:0019899","GO:0019901","GO:0030018","GO:0030315","GO:0030507","GO:0030674","GO:0030913","GO:0031430","GO:0031647","GO:0031672","GO:0033292","GO:0033365","GO:0034394","GO:0034613","GO:0036309","GO:0036371","GO:0042383","GO:0043005","GO:0043034","GO:0043268","GO:0044325","GO:0045121","GO:0045211","GO:0050821","GO:0051117","GO:0051279","GO:0051597","GO:0051924","GO:0051928","GO:0055117","GO:0060307","GO:0070296","GO:0070972","GO:0072659","GO:0072661","GO:0086004","GO:0086005","GO:0086014","GO:0086015","GO:0086046","GO:0086066","GO:0086070","GO:0086091","GO:0098907","GO:0098910","GO:1901018","GO:1901019","GO:1901021","GO:2001259"
"4","CHOYP_EEF2.2.2|m.54908","Q90705","8.00E-160","Elongation factor 2 (EF-2)","EEF2","858",NA,NA,NA,"PF12796;PF13606;PF00069;PF06479;","mitochondrion [GO:0005739]; nuclear matrix [GO:0016363]; ATP binding [GO:0005524]; endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]; protein kinase activity [GO:0004672]; ribonuclease activity [GO:0004540]; ribonucleoprotein complex binding [GO:0043021]; RNA binding [GO:0003723]; rRNA binding [GO:0019843]; defense response to virus [GO:0051607]; fat cell differentiation [GO:0045444]; mRNA processing [GO:0006397]; negative regulation of viral genome replication [GO:0045071]; positive regulation of glucose import in response to insulin stimulus [GO:2001275]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; regulation of mRNA stability [GO:0043488]; rRNA processing [GO:0006364]","GO:0004519","GO:0004540","GO:0004672","GO:0005524","GO:0005739","GO:0006364","GO:0006397","GO:0016363","GO:0019843","GO:0043021","GO:0043488","GO:0045071","GO:0045444","GO:0045944","GO:0046872","GO:0051607","GO:2001275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","CHOYP_ISCW_ISCW000210.2.4|m.14990","O70400","1.00E-10","PDZ and LIM domain protein 1 (C-terminal LIM domain protein 1) (Elfin) (LIM domain protein CLP-36)","Pdlim1 Clim1","327","regulation of transcription, DNA-templated [GO:0006355]; response to hypoxia [GO:0001666]",NA,NA,"PF00230;","apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; cytoplasmic vesicle membrane [GO:0030659]; extracellular exosome [GO:0070062]; Golgi apparatus [GO:0005794]; integral component of plasma membrane [GO:0005887]; recycling endosome [GO:0055037]; glycerol transmembrane transporter activity [GO:0015168]; water channel activity [GO:0015250]; cellular response to copper ion [GO:0071280]; cellular response to mercury ion [GO:0071288]; cellular response to water deprivation [GO:0042631]; ion transmembrane transport [GO:0034220]; metanephric collecting duct development [GO:0072205]; renal water transport [GO:0003097]","GO:0005794","GO:0005887","GO:0015168","GO:0015250","GO:0016323","GO:0016324","GO:0030659","GO:0034220","GO:0042631","GO:0055037","GO:0070062","GO:0071280","GO:0071288","GO:0072205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","CHOYP_RS3A.12.15|m.49134","None","None","None","None","None","None",NA,NA,"PF00149;","endosome [GO:0005768]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; lamellar body [GO:0042599]; lysosome [GO:0005764]; plasma membrane [GO:0005886]; acid sphingomyelin phosphodiesterase activity [GO:0061750]; hydrolase activity, acting on glycosyl bonds [GO:0016798]; zinc ion binding [GO:0008270]; ceramide biosynthetic process [GO:0046513]; negative regulation of MAP kinase activity [GO:0043407]; positive regulation of apoptotic process [GO:0043065]; positive regulation of protein dephosphorylation [GO:0035307]; response to cocaine [GO:0042220]; response to drug [GO:0042493]; sphingomyelin catabolic process [GO:0006685]; termination of signal transduction [GO:0023021]","GO:0005764","GO:0005768","GO:0005886","GO:0006685","GO:0008270","GO:0016798","GO:0023021","GO:0035307","GO:0042220","GO:0042493","GO:0042599","GO:0043065","GO:0043407","GO:0046513","GO:0061750","GO:0070062",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","CHOYP_RS3A.11.15|m.43498","None","None","None","None","None","None",NA,NA,"PF13329;PF09333;PF12624;","extrinsic component of membrane [GO:0019898]; lipid particle [GO:0005811]; pre-autophagosomal structure [GO:0000407]; pre-autophagosomal structure membrane [GO:0034045]; autophagosome assembly [GO:0000045]; mitophagy [GO:0000422]; nucleophagy [GO:0044804]","GO:0000407","GO:0000422","GO:0005811","GO:0019898","GO:0034045","GO:0044804",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","CHOYP_LOC100374741.65.83|m.53330","None","None","None","None","None","None",NA,NA,NA,"axon cytoplasm [GO:1904115]; BLOC-1 complex [GO:0031083]; cytoplasm [GO:0005737]; anterograde axonal transport [GO:0008089]; anterograde synaptic vesicle transport [GO:0048490]; melanosome organization [GO:0032438]; neuromuscular process controlling balance [GO:0050885]; neuron projection development [GO:0031175]; platelet aggregation [GO:0070527]","GO:0008089","GO:0031083","GO:0031175","GO:0032438","GO:0048490","GO:0050885","GO:0070527","GO:1904115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","CHOYP_RS3A.15.15|m.63175","None","None","None","None","None","None",NA,NA,"PF00130;PF07714;PF02196;","cell body [GO:0044297]; cytosol [GO:0005829]; intracellular [GO:0005622]; intracellular membrane-bounded organelle [GO:0043231]; mitochondrion [GO:0005739]; neuron projection [GO:0043005]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; identical protein binding [GO:0042802]; MAP kinase kinase kinase activity [GO:0004709]; mitogen-activated protein kinase kinase binding [GO:0031434]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; animal organ morphogenesis [GO:0009887]; CD4-positive or CD8-positive, alpha-beta T cell lineage commitment [GO:0043369]; CD4-positive, alpha-beta T cell differentiation [GO:0043367]; cell differentiation [GO:0030154]; cellular response to calcium ion [GO:0071277]; cellular response to drug [GO:0035690]; cellular response to nerve growth factor stimulus [GO:1990090]; establishment of protein localization to membrane [GO:0090150]; face development [GO:0060324]; glucose transport [GO:0015758]; head morphogenesis [GO:0060323]; long-term synaptic potentiation [GO:0060291]; MAPK cascade [GO:0000165]; myeloid progenitor cell differentiation [GO:0002318]; negative regulation of apoptotic process [GO:0043066]; negative regulation of endothelial cell apoptotic process [GO:2000352]; negative regulation of fibroblast migration [GO:0010764]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of signal transduction [GO:0009968]; negative regulation of synaptic vesicle exocytosis [GO:2000301]; positive regulation of axon regeneration [GO:0048680]; positive regulation of axonogenesis [GO:0050772]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of gene expression [GO:0010628]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of stress fiber assembly [GO:0051496]; positive regulation of substrate adhesion-dependent cell spreading [GO:1900026]; protein heterooligomerization [GO:0051291]; protein phosphorylation [GO:0006468]; regulation of cell proliferation [GO:0042127]; regulation of T cell differentiation [GO:0045580]; response to cAMP [GO:0051591]; response to peptide hormone [GO:0043434]; somatic stem cell population maintenance [GO:0035019]; T cell receptor signaling pathway [GO:0050852]; thymus development [GO:0048538]; thyroid gland development [GO:0030878]; visual learning [GO:0008542]","GO:0002318","GO:0004672","GO:0004674","GO:0004709","GO:0005509","GO:0005524","GO:0005622","GO:0005634","GO:0005739","GO:0005829","GO:0005886","GO:0006468","GO:0008542","GO:0009887","GO:0009968","GO:0010628","GO:0010764","GO:0015758","GO:0030154","GO:0030878","GO:0031434","GO:0033138","GO:0035019","GO:0035690","GO:0042127","GO:0042802","GO:0043005","GO:0043066","GO:0043231","GO:0043367","GO:0043369","GO:0043434","GO:0043524","GO:0044297","GO:0045580","GO:0048538","GO:0048680","GO:0050772","GO:0050852","GO:0051291","GO:0051496","GO:0051591","GO:0060291","GO:0060323","GO:0060324","GO:0070374","GO:0071277","GO:0090150","GO:1900026","GO:1990090","GO:2000301","GO:2000352",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","CHOYP_TRIM3.37.58|m.39048","None","None","None","None","None","None",NA,NA,"PF00168;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
