protein_ID,GO
CHOYP_ACT.23.27.m.58454,GO:0005524
CHOYP_ADD.3.5.m.17639,GO:0000212
CHOYP_BRAFLDRAFT_118867.1.1.m.27944,GO:0008810
CHOYP_BRAFLDRAFT_284774.2.3.m.15260,GO:0004719
CHOYP_CLK2.1.1.m.3081,GO:0004674
CHOYP_CNOT1.1.1.m.12106,GO:0000400
CHOYP_contig_009176.m.10652,GO:0001503
CHOYP_contig_044078.m.50900,GO:0002027
CHOYP_DMOJ_GI18492.1.1.m.8903,GO:0000139
CHOYP_DSIM_GD24875.1.1.m.66201,GO:0001932
CHOYP_F10A1.4.4.m.44752,GO:0005737
CHOYP_GPX1.1.4.m.11300,GO:0004602
CHOYP_ISCW_ISCW008316.1.3.m.11997,GO:0000993
CHOYP_KPYK.2.4.m.19753,GO:0000287
CHOYP_LOC100120260.1.1.m.41888,GO:0000122
CHOYP_LOC100367535.1.2.m.4730,GO:0003941
CHOYP_LOC100369290.1.1.m.66929,GO:0005654
CHOYP_LOC100373522.2.5.m.19698,GO:0007339
CHOYP_LOC100375029.6.10.m.36981,GO:0003785
CHOYP_LOC100375029.8.10.m.60484,GO:0003785
CHOYP_LOC100377392.2.4.m.21904,GO:0001501
CHOYP_LOC100696604.1.1.m.40638,GO:0000932
CHOYP_LOC100710578.1.1.m.62426,GO:0000287
CHOYP_LOC100730443.1.1.m.57698,GO:0003677
CHOYP_LOC100876515.1.2.m.37063,GO:0000932
CHOYP_LOC100892181.1.1.m.49777,GO:0005615
CHOYP_LOC101063838.1.1.m.50540,GO:0005787
CHOYP_LOC101065149.1.1.m.49591,GO:0005764
CHOYP_LOC576797.1.1.m.8986,GO:0001750
CHOYP_LOC584270.1.1.m.49225,GO:0005654
CHOYP_LOC592142.4.9.m.49474,GO:0004560
CHOYP_LOC660510.1.1.m.56258,GO:0003676
CHOYP_LOC752782.1.1.m.53937,GO:0005524
CHOYP_MOB1.1.1.m.19452,GO:0005634
CHOYP_NEMVEDRAFT_V1G154974.1.1.m.44261,GO:0005739
CHOYP_NF70.1.4.m.31159,GO:0005198
CHOYP_QPCT.1.1.m.38977,GO:0005576
CHOYP_RPS24.1.8.m.571,GO:0003735
CHOYP_SMP_012720.1.2.m.31152,GO:0001725
CHOYP_SSU72.1.1.m.2079,GO:0005737
CHOYP_ACT.23.27.m.58454,GO:0005737
CHOYP_ADD.3.5.m.17639,GO:0005198
CHOYP_BRAFLDRAFT_118867.1.1.m.27944,GO:0030245
CHOYP_BRAFLDRAFT_284774.2.3.m.15260,GO:0005737
CHOYP_CLK2.1.1.m.3081,GO:0004712
CHOYP_CNOT1.1.1.m.12106,GO:0000790
CHOYP_contig_009176.m.10652,GO:0001725
CHOYP_contig_044078.m.50900,GO:0003283
CHOYP_DMOJ_GI18492.1.1.m.8903,GO:0004653
CHOYP_DSIM_GD24875.1.1.m.66201,GO:0005634
CHOYP_F10A1.4.4.m.44752,GO:0046983
CHOYP_GPX1.1.4.m.11300,GO:0005737
CHOYP_ISCW_ISCW008316.1.3.m.11997,GO:0006368
CHOYP_KPYK.2.4.m.19753,GO:0004743
CHOYP_LOC100120260.1.1.m.41888,GO:0000976
CHOYP_LOC100367535.1.2.m.4730,GO:0004794
CHOYP_LOC100369290.1.1.m.66929,GO:0005737
CHOYP_LOC100373522.2.5.m.19698,GO:0016020
CHOYP_LOC100375029.6.10.m.36981,GO:0005829
CHOYP_LOC100375029.8.10.m.60484,GO:0005829
CHOYP_LOC100377392.2.4.m.21904,GO:0002062
CHOYP_LOC100696604.1.1.m.40638,GO:0003723
CHOYP_LOC100710578.1.1.m.62426,GO:0004419
CHOYP_LOC100730443.1.1.m.57698,GO:0005634
CHOYP_LOC100876515.1.2.m.37063,GO:0003723
CHOYP_LOC100892181.1.1.m.49777,GO:0030414
CHOYP_LOC101063838.1.1.m.50540,GO:0006465
CHOYP_LOC101065149.1.1.m.49591,GO:0006629
CHOYP_LOC576797.1.1.m.8986,GO:0005737
CHOYP_LOC584270.1.1.m.49225,GO:0005829
CHOYP_LOC592142.4.9.m.49474,GO:0005576
CHOYP_LOC660510.1.1.m.56258,GO:0005615
CHOYP_LOC752782.1.1.m.53937,GO:0005737
CHOYP_MOB1.1.1.m.19452,GO:0005813
CHOYP_NEMVEDRAFT_V1G154974.1.1.m.44261,GO:0005744
CHOYP_NF70.1.4.m.31159,GO:0005882
CHOYP_QPCT.1.1.m.38977,GO:0006464
CHOYP_RPS24.1.8.m.571,GO:0005840
CHOYP_SMP_012720.1.2.m.31152,GO:0005737
CHOYP_SSU72.1.1.m.2079,GO:0005847
CHOYP_ACT.23.27.m.58454,GO:0005856
CHOYP_ADD.3.5.m.17639,GO:0005737
CHOYP_BRAFLDRAFT_118867.1.1.m.27944,GO:0030248
CHOYP_CLK2.1.1.m.3081,GO:0004713
CHOYP_CNOT1.1.1.m.12106,GO:0003677
CHOYP_contig_009176.m.10652,GO:0001726
CHOYP_contig_044078.m.50900,GO:0005200
CHOYP_DMOJ_GI18492.1.1.m.8903,GO:0005794
CHOYP_DSIM_GD24875.1.1.m.66201,GO:0005737
CHOYP_F10A1.4.4.m.44752,GO:0051085
CHOYP_GPX1.1.4.m.11300,GO:0006979
CHOYP_ISCW_ISCW008316.1.3.m.11997,GO:0008023
CHOYP_KPYK.2.4.m.19753,GO:0005524
CHOYP_LOC100120260.1.1.m.41888,GO:0000977
CHOYP_LOC100367535.1.2.m.4730,GO:0005739
CHOYP_LOC100369290.1.1.m.66929,GO:0043027
CHOYP_LOC100375029.6.10.m.36981,GO:0005856
CHOYP_LOC100375029.8.10.m.60484,GO:0005856
CHOYP_LOC100377392.2.4.m.21904,GO:0003417
CHOYP_LOC100696604.1.1.m.40638,GO:0005829
CHOYP_LOC100710578.1.1.m.62426,GO:0005102
CHOYP_LOC100730443.1.1.m.57698,GO:0046872
CHOYP_LOC100876515.1.2.m.37063,GO:0003779
CHOYP_LOC100892181.1.1.m.49777,GO:0061052
CHOYP_LOC101063838.1.1.m.50540,GO:0008233
CHOYP_LOC101065149.1.1.m.49591,GO:0010033
CHOYP_LOC576797.1.1.m.8986,GO:0005739
CHOYP_LOC592142.4.9.m.49474,GO:0005764
CHOYP_LOC660510.1.1.m.56258,GO:0005886
CHOYP_LOC752782.1.1.m.53937,GO:0005856
CHOYP_MOB1.1.1.m.19452,GO:0005829
CHOYP_NEMVEDRAFT_V1G154974.1.1.m.44261,GO:0005758
CHOYP_QPCT.1.1.m.38977,GO:0008270
CHOYP_RPS24.1.8.m.571,GO:0006412
CHOYP_SMP_012720.1.2.m.31152,GO:0005829
CHOYP_SSU72.1.1.m.2079,GO:0006369
CHOYP_ADD.3.5.m.17639,GO:0005856
CHOYP_CLK2.1.1.m.3081,GO:0005524
CHOYP_CNOT1.1.1.m.12106,GO:0003723
CHOYP_contig_009176.m.10652,GO:0005634
CHOYP_contig_044078.m.50900,GO:0005739
CHOYP_DMOJ_GI18492.1.1.m.8903,GO:0016021
CHOYP_DSIM_GD24875.1.1.m.66201,GO:0005819
CHOYP_ISCW_ISCW008316.1.3.m.11997,GO:0046872
CHOYP_KPYK.2.4.m.19753,GO:0005737
CHOYP_LOC100120260.1.1.m.41888,GO:0000981
CHOYP_LOC100367535.1.2.m.4730,GO:0006565
CHOYP_LOC100369290.1.1.m.66929,GO:0043065
CHOYP_LOC100375029.6.10.m.36981,GO:0005938
CHOYP_LOC100375029.8.10.m.60484,GO:0005938
CHOYP_LOC100377392.2.4.m.21904,GO:0005201
CHOYP_LOC100696604.1.1.m.40638,GO:0010494
CHOYP_LOC100710578.1.1.m.62426,GO:0005739
CHOYP_LOC100876515.1.2.m.37063,GO:0005521
CHOYP_LOC101063838.1.1.m.50540,GO:0016021
CHOYP_LOC101065149.1.1.m.49591,GO:0016810
CHOYP_LOC576797.1.1.m.8986,GO:0005886
CHOYP_LOC592142.4.9.m.49474,GO:0006004
CHOYP_LOC660510.1.1.m.56258,GO:0007624
CHOYP_MOB1.1.1.m.19452,GO:0005886
CHOYP_NEMVEDRAFT_V1G154974.1.1.m.44261,GO:0006626
CHOYP_QPCT.1.1.m.38977,GO:0016603
