Uniprot-Accession,S9-Protein,0,3,5,7,9,11,13,15,E-value,Protein,Gene,Length,GO-BP,GO-IDs,Pathway,UniPathway,CDD,Pfam,GO-name
P79099,CHOYP_AQP4.3.3|m.44128,0,0,0,0,0,0,0,0,2.00E-70,Aquaporin-2 (AQP-2) (ADH water channel) (Aquaporin-CD) (AQP-CD) (Collecting duct water channel protein) (WCH-CD) (Water channel protein for renal collecting duct),AQP2,271,cellular response to copper ion [GO:0071280]; cellular response to mercury ion [GO:0071288]; cellular response to water deprivation [GO:0042631]; ion transmembrane transport [GO:0034220]; metanephric collecting duct development [GO:0072205]; renal water transport [GO:0003097],GO:0003097; GO:0005794; GO:0005887; GO:0015168; GO:0015250; GO:0016323; GO:0016324; GO:0030659; GO:0034220; GO:0042631; GO:0055037; GO:0070062; GO:0071280; GO:0071288; GO:0072205,,,cd00333;,PF00230;,apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; cytoplasmic vesicle membrane [GO:0030659]; extracellular exosome [GO:0070062]; Golgi apparatus [GO:0005794]; integral component of plasma membrane [GO:0005887]; recycling endosome [GO:0055037]; glycerol transmembrane transporter activity [GO:0015168]; water channel activity [GO:0015250]; cellular response to copper ion [GO:0071280]; cellular response to mercury ion [GO:0071288]; cellular response to water deprivation [GO:0042631]; ion transmembrane transport [GO:0034220]; metanephric collecting duct development [GO:0072205]; renal water transport [GO:0003097]
Q920Q2,CHOYP_BRAFLDRAFT_213587.1.1|m.51383,0,0,0,0,0,0,0,0,4.00E-157,DNA repair protein REV1 (EC 2.7.7.-) (Rev1-like terminal deoxycytidyl transferase),Rev1 Rev1l,1249,error-prone translesion synthesis [GO:0042276]; response to UV [GO:0009411],GO:0003684; GO:0005634; GO:0009411; GO:0017125; GO:0042276; GO:0046872,,,cd00027;,PF16589;PF14377;PF00817;PF11799;PF16727;,nucleus [GO:0005634]; damaged DNA binding [GO:0003684]; deoxycytidyl transferase activity [GO:0017125]; metal ion binding [GO:0046872]; error-prone translesion synthesis [GO:0042276]; response to UV [GO:0009411]
O70352,CHOYP_CD82.2.3|m.17728,0,0,0,0,0,0,0,0,3.00E-36,CD82 antigen (Metastasis suppressor Kangai-1 homolog) (CD antigen CD82),Cd82 Kai1,266,cell surface receptor signaling pathway [GO:0007166],GO:0005887; GO:0007166,,,,PF00335;,integral component of plasma membrane [GO:0005887]; cell surface receptor signaling pathway [GO:0007166]
O16011,CHOYP_DYAK_GE11656.1.2|m.34706,0,0,0,0,0,0,0,0,3.00E-52,Protein muscleblind (Protein mindmelt),mbl mm CG33197,297,"apoptotic process [GO:0006915]; compound eye photoreceptor cell differentiation [GO:0001751]; embryo development [GO:0009790]; eye development [GO:0001654]; imaginal disc-derived wing morphogenesis [GO:0007476]; muscle cell cellular homeostasis [GO:0046716]; muscle organ development [GO:0007517]; peripheral nervous system development [GO:0007422]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of female receptivity [GO:0045924]; regulation of gene expression [GO:0010468]; response to stimulus [GO:0050896]; rhabdomere development [GO:0042052]; somatic muscle development [GO:0007525]; visual perception [GO:0007601]",GO:0000381; GO:0001654; GO:0001751; GO:0003676; GO:0003677; GO:0005634; GO:0005737; GO:0006915; GO:0007422; GO:0007476; GO:0007517; GO:0007525; GO:0007601; GO:0009790; GO:0010468; GO:0030018; GO:0031673; GO:0042052; GO:0045924; GO:0046716; GO:0046872; GO:0048471; GO:0050896,,,,,"cytoplasm [GO:0005737]; H zone [GO:0031673]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; Z disc [GO:0030018]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]; apoptotic process [GO:0006915]; compound eye photoreceptor cell differentiation [GO:0001751]; embryo development [GO:0009790]; eye development [GO:0001654]; imaginal disc-derived wing morphogenesis [GO:0007476]; muscle cell cellular homeostasis [GO:0046716]; muscle organ development [GO:0007517]; peripheral nervous system development [GO:0007422]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of female receptivity [GO:0045924]; regulation of gene expression [GO:0010468]; response to stimulus [GO:0050896]; rhabdomere development [GO:0042052]; somatic muscle development [GO:0007525]; visual perception [GO:0007601]"
P48058,CHOYP_GLRK.1.3|m.29909,0,0,0,0,0,0,0,0,1.00E-69,"Glutamate receptor 4 (GluR-4) (GluR4) (AMPA-selective glutamate receptor 4) (GluR-D) (Glutamate receptor ionotropic, AMPA 4) (GluA4)",GRIA4 GLUR4,902,glutamate receptor signaling pathway [GO:0007215]; transport [GO:0006810],GO:0004970; GO:0004971; GO:0005231; GO:0005234; GO:0005886; GO:0006810; GO:0007215; GO:0030054; GO:0030425; GO:0030666; GO:0032281; GO:0045211; GO:1903561,,,,PF01094;PF00060;PF10613;,AMPA glutamate receptor complex [GO:0032281]; cell junction [GO:0030054]; dendrite [GO:0030425]; endocytic vesicle membrane [GO:0030666]; extracellular vesicle [GO:1903561]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; AMPA glutamate receptor activity [GO:0004971]; excitatory extracellular ligand-gated ion channel activity [GO:0005231]; extracellular-glutamate-gated ion channel activity [GO:0005234]; ionotropic glutamate receptor activity [GO:0004970]; glutamate receptor signaling pathway [GO:0007215]; transport [GO:0006810]
P33450,CHOYP_HGFAC.1.1|m.5902,0,0,0,0,0,0,0,0,0.000008,Cadherin-related tumor suppressor (Protein fat) [Cleaved into: Ft-mito],ft CG3352,5147,"calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0016339]; cell-cell adhesion mediated by cadherin [GO:0044331]; cell morphogenesis involved in differentiation [GO:0000904]; cell proliferation [GO:0008283]; equator specification [GO:0045317]; establishment of body hair planar orientation [GO:0048105]; establishment of epithelial cell apical/basal polarity [GO:0045198]; establishment of imaginal disc-derived wing hair orientation [GO:0001737]; establishment of ommatidial planar polarity [GO:0042067]; establishment of planar polarity [GO:0001736]; establishment of tissue polarity [GO:0007164]; establishment or maintenance of polarity of larval imaginal disc epithelium [GO:0016336]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; hippo signaling [GO:0035329]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; imaginal disc-derived wing morphogenesis [GO:0007476]; imaginal disc growth [GO:0007446]; imaginal disc pattern formation [GO:0007447]; microtubule cytoskeleton organization involved in establishment of planar polarity [GO:0090176]; negative regulation of cell proliferation [GO:0008285]; negative regulation of gene expression [GO:0010629]; negative regulation of growth [GO:0045926]; negative regulation of imaginal disc growth [GO:0045571]; negative regulation of Wnt signaling pathway [GO:0030178]; ommatidial rotation [GO:0016318]; peptide cross-linking [GO:0018149]; pupal development [GO:0035209]; regulation of growth [GO:0040008]; regulation of imaginal disc growth [GO:0045570]; regulation of organ growth [GO:0046620]; regulation of protein localization [GO:0032880]; regulation of tube length, open tracheal system [GO:0035159]; single organismal cell-cell adhesion [GO:0016337]; tissue development [GO:0009888]; wing disc development [GO:0035220]",GO:0000904; GO:0001736; GO:0001737; GO:0004872; GO:0005509; GO:0005739; GO:0005887; GO:0007156; GO:0007157; GO:0007164; GO:0007446; GO:0007447; GO:0007476; GO:0008283; GO:0008285; GO:0009888; GO:0010629; GO:0016021; GO:0016318; GO:0016324; GO:0016336; GO:0016337; GO:0016339; GO:0018149; GO:0030178; GO:0032880; GO:0035159; GO:0035209; GO:0035220; GO:0035329; GO:0040008; GO:0042067; GO:0044331; GO:0045198; GO:0045296; GO:0045317; GO:0045570; GO:0045571; GO:0045926; GO:0046620; GO:0048105; GO:0050839; GO:0090176,,,,PF00028;PF00008;PF00054;PF02210;,"apical plasma membrane [GO:0016324]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; mitochondrion [GO:0005739]; cadherin binding [GO:0045296]; calcium ion binding [GO:0005509]; cell adhesion molecule binding [GO:0050839]; receptor activity [GO:0004872]; calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0016339]; cell morphogenesis involved in differentiation [GO:0000904]; cell proliferation [GO:0008283]; cell-cell adhesion mediated by cadherin [GO:0044331]; equator specification [GO:0045317]; establishment of body hair planar orientation [GO:0048105]; establishment of epithelial cell apical/basal polarity [GO:0045198]; establishment of imaginal disc-derived wing hair orientation [GO:0001737]; establishment of ommatidial planar polarity [GO:0042067]; establishment of planar polarity [GO:0001736]; establishment of tissue polarity [GO:0007164]; establishment or maintenance of polarity of larval imaginal disc epithelium [GO:0016336]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; hippo signaling [GO:0035329]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; imaginal disc growth [GO:0007446]; imaginal disc pattern formation [GO:0007447]; imaginal disc-derived wing morphogenesis [GO:0007476]; microtubule cytoskeleton organization involved in establishment of planar polarity [GO:0090176]; negative regulation of cell proliferation [GO:0008285]; negative regulation of gene expression [GO:0010629]; negative regulation of growth [GO:0045926]; negative regulation of imaginal disc growth [GO:0045571]; negative regulation of Wnt signaling pathway [GO:0030178]; ommatidial rotation [GO:0016318]; peptide cross-linking [GO:0018149]; pupal development [GO:0035209]; regulation of growth [GO:0040008]; regulation of imaginal disc growth [GO:0045570]; regulation of organ growth [GO:0046620]; regulation of protein localization [GO:0032880]; regulation of tube length, open tracheal system [GO:0035159]; single organismal cell-cell adhesion [GO:0016337]; tissue development [GO:0009888]; wing disc development [GO:0035220]"
Q9W6R5,CHOYP_HMCN2.11.12|m.51619,0,0,0,0,0,0,0,0,2.00E-21,Retinoschisin (X-linked juvenile retinoschisis protein homolog),xlrs1,280,cell adhesion [GO:0007155],GO:0005576; GO:0007155; GO:0070492,,,,PF00754;,extracellular region [GO:0005576]; oligosaccharide binding [GO:0070492]; cell adhesion [GO:0007155]
O74465,CHOYP_LOC100373100.4.4|m.65650,0,0,0,0,0,0,0,0,2.00E-61,Helicase required for RNAi-mediated heterochromatin assembly 1 (EC 3.6.4.13),hrr1 SPCC1739.03,999,cell cycle [GO:0007049]; chromatin remodeling [GO:0006338]; chromatin silencing at centromere [GO:0030702]; chromatin silencing by small RNA [GO:0031048]; chromosome segregation [GO:0007059],GO:0000775; GO:0003723; GO:0004386; GO:0005524; GO:0005634; GO:0005829; GO:0006338; GO:0007049; GO:0007059; GO:0030702; GO:0031048; GO:0031379; GO:0031380,,,,,"chromosome, centromeric region [GO:0000775]; cytosol [GO:0005829]; nuclear RNA-directed RNA polymerase complex [GO:0031380]; nucleus [GO:0005634]; RNA-directed RNA polymerase complex [GO:0031379]; ATP binding [GO:0005524]; helicase activity [GO:0004386]; RNA binding [GO:0003723]; cell cycle [GO:0007049]; chromatin remodeling [GO:0006338]; chromatin silencing at centromere [GO:0030702]; chromatin silencing by small RNA [GO:0031048]; chromosome segregation [GO:0007059]"
A0JPP8,CHOYP_LOC100373421.1.1|m.38932,1,0,0,0,0,0,0,0,2.00E-109,Coiled-coil domain-containing protein 61,Ccdc61,512,,GO:0005813,,,,,centrosome [GO:0005813]
B4KD90,CHOYP_LOC100533321.1.1|m.38814,0,0,0,0,0,0,0,0,0,Glutamate [NMDA] receptor subunit 1,Nmdar1 GI24494,980,behavioral response to ethanol [GO:0048149]; calcium ion homeostasis [GO:0055074]; chemical synaptic transmission [GO:0007268]; imaginal disc-derived wing morphogenesis [GO:0007476]; ionotropic glutamate receptor signaling pathway [GO:0035235]; long-term memory [GO:0007616]; medium-term memory [GO:0072375]; olfactory learning [GO:0008355]; phototaxis [GO:0042331]; regulation of membrane potential [GO:0042391]; sensory perception of touch [GO:0050975],GO:0004970; GO:0004972; GO:0005234; GO:0007268; GO:0007476; GO:0007616; GO:0008355; GO:0014069; GO:0017146; GO:0030054; GO:0035235; GO:0042331; GO:0042391; GO:0045211; GO:0048149; GO:0050975; GO:0055074; GO:0072375,,,,PF01094;PF10562;PF00060;PF10613;,cell junction [GO:0030054]; NMDA selective glutamate receptor complex [GO:0017146]; postsynaptic density [GO:0014069]; postsynaptic membrane [GO:0045211]; extracellular-glutamate-gated ion channel activity [GO:0005234]; ionotropic glutamate receptor activity [GO:0004970]; NMDA glutamate receptor activity [GO:0004972]; behavioral response to ethanol [GO:0048149]; calcium ion homeostasis [GO:0055074]; chemical synaptic transmission [GO:0007268]; imaginal disc-derived wing morphogenesis [GO:0007476]; ionotropic glutamate receptor signaling pathway [GO:0035235]; long-term memory [GO:0007616]; medium-term memory [GO:0072375]; olfactory learning [GO:0008355]; phototaxis [GO:0042331]; regulation of membrane potential [GO:0042391]; sensory perception of touch [GO:0050975]
