protein_ID	D_3_adj.ChiSq.pval	D_3_ChiSq.pval	D_3_logFC	D_5_adj.ChiSq.pval	D_5_ChiSq.pval	D_5_logFC	D_7_adj.ChiSq.pval	D_7_ChiSq.pval	D_7_logFC	D_9_adj.ChiSq.pval	D_9_ChiSq.pval	D_9_logFC	D_11_adj.ChiSq.pval	D_11_ChiSq.pval	D_11_logFC	D_13_adj.ChiSq.pval	D_13_ChiSq.pval	D_13_logFC	Entry	Entry_name	perc_ident_match	align_len	num_mismatch	num_gaps	querStart	querEnd	subjStart	subjEnd	evalue	bitscore	Entry.1	Entry_name.1	Protein_names	Gene_names	Organism	Protein_length	Pathway	GO_bp	GO	GO_IDs	Protein_fams	Chi	PC1loadings	ASCA	rank	magloading	clust	method	gene_root	gene_vers	gene	D_3_logFC_NSAF	D_5_logFC_NSAF	D_7_logFC_NSAF	D_9_logFC_NSAF	D_11_logFC_NSAF	D_13_logFC_NSAF	Day_3_23_C	Day_5_23_C	Day_7_23_C	Day_9_23_C	Day_11_23_C	Day_13_23_C	Day_3_29_C	Day_5_29_C	Day_7_29_C	Day_9_29_C	Day_11_29_C	Day_13_29_C	clusterID	ClusterColor
CHOYP_14332.1.2.m.5643	0.983094549128116	0.977779188180988	0.00569544147316758	0.967036679485888	0.853212884081201	0.0371098133920595	0.949671592008509	0.337404396507067	0.210182092744044	0.979180442953242	0.970519949406397	0.0074451252499852	0.998682844793179	0.740867688313365	0.0653630126555198	0.958428402785477	0.718445317543284	0.0743603119975944	Q2F637	1433Z_BOMMO	66.031	262	74	2	19	280	1	247	2.78e-119	344	Q2F637	1433Z_BOMMO	14-3-3 protein zeta	14-3-3zeta	Bombyx mori (Silk moth)	247			cytoplasm [GO:0005737]; protein domain specific binding [GO:0019904]	GO:0005737; GO:0019904	14-3-3 family	NA	0.0741799610912617	ASCA	26	0.0741799610912617	clustering	ASCAclustering	1433Z	1433Z.1.2.m.5643	1433Z.1.2.m.5643	0.598086400737181	1.53118757501145	1.49742945806925	0.488048035486522	-0.918935813035565	0.109743307878502	87.46525	51.67795	48.27415	109.9708	111.02715	162.26925	132.3968	149.3615	136.29685	154.2391	58.72215	175.0944	13	blue
CHOYP_14332.2.2.m.61737	0.979445546193914	0.7453636366662	-0.0662801373101827	0.967036679485888	0.521701063346062	-0.128313795815312	0.949671592008509	0.844314987783704	0.0431488807182854	0.979180442953242	0.859031527536024	-0.0360565133866011	0.998682844793179	0.423164360936544	0.156607929780843	0.958428402785477	0.725476397714148	-0.0754346176524381	Q2F637	1433Z_BOMMO	67.331	251	78	1	1	251	1	247	4.22e-119	342	Q2F637	1433Z_BOMMO	14-3-3 protein zeta	14-3-3zeta	Bombyx mori (Silk moth)	247			cytoplasm [GO:0005737]; protein domain specific binding [GO:0019904]	GO:0005737; GO:0019904	14-3-3 family	NA	-0.0889087761626785	ASCA	19	0.0889087761626785	clustering	ASCAclustering	1433Z	1433Z.2.2.m.61737	1433Z.2.2.m.61737	-0.445968189611784	-1.44447904898395	-1.18146416085495	-1.00831102471942	0.799049547349278	-1.87945538211789	146.11925	170.54605	139.14475	102.87765	118.33735	128.35305	107.2649	62.66285	61.34945	51.14335	205.9016	34.8846	16	lightslateblue
CHOYP_2AAA.1.1.m.13306	0.979445546193914	0.402280902181262	0.151882744084317	0.967036679485888	0.589547192399033	0.0993875369062014	0.949671592008509	0.136993543226978	0.27416654866903	0.979180442953242	0.337230059369863	0.171351917227534	0.998682844793179	0.584884840088514	0.0979233118153706	0.962529665494807	0.870240461694246	0.0299482091923835	P54612	2AAA_PIG	81.928	581	105	0	424	1004	6	586	0	989	P54612	2AAA_PIG	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform (PP2A subunit A isoform PR65-alpha) (PP2A subunit A isoform R1-alpha)	PPP2R1A	Sus scrofa (Pig)	589		chromosome segregation [GO:0007059]; protein-containing complex assembly [GO:0065003]; protein dephosphorylation [GO:0006470]	chromosome, centromeric region [GO:0000775]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; lateral plasma membrane [GO:0016328]; protein phosphatase type 2A complex [GO:0000159]; protein phosphatase regulator activity [GO:0019888]; chromosome segregation [GO:0007059]; protein dephosphorylation [GO:0006470]; protein-containing complex assembly [GO:0065003]	GO:0000159; GO:0000775; GO:0005737; GO:0006470; GO:0007059; GO:0016328; GO:0019888; GO:0030425; GO:0065003	Phosphatase 2A regulatory subunit A family	NA	NA	NA	NA	NA	clustering	clustering	2AAA	2AAA.1.1.m.13306	2AAA	0.336964905274337	0.192148986436267	0.208426895947841	0.183632887616361	0.147219775020931	0.0299749700881566	56.65525	59.7722	62.86495	66.0077	68.3992	70.76645	71.56105	68.2876	72.6359	74.9676	75.74755	72.25215	2	darkred
CHOYP_AAEL_AAEL007173.1.1.m.41471	0.979445546193914	0.875793537105116	0.0491970801097539	0.967036679485888	0.840006110457087	0.0643312821270836	0.949671592008509	0.615284902926602	0.158148083806659	0.979180442953242	0.821455779546438	-0.0796096563056832	0.998682844793179	0.246482377986085	-0.431224892784189	0.978007666549162	0.967157659331258	-0.0138154993887722	O43399	TPD54_HUMAN	35.714	182	84	3	50	231	55	203	4.17e-28	108	O43399	TPD54_HUMAN	Tumor protein D54 (hD54) (Tumor protein D52-like 2)	TPD52L2	Homo sapiens (Human)	206		regulation of cell proliferation [GO:0042127]	cytoplasm [GO:0005737]; perinuclear region of cytoplasm [GO:0048471]; catalytic activity [GO:0003824]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; RNA binding [GO:0003723]; regulation of cell proliferation [GO:0042127]	GO:0003723; GO:0003824; GO:0005737; GO:0042127; GO:0042803; GO:0046982; GO:0048471	TPD52 family	NA	NA	NA	NA	NA	clustering	clustering	TPD54	TPD54.1.1.m.41471	TPD54	-8.80691367329045	1.04894696656998	0	0.769498167797153	-1.33618362809367	-0.0375389163908206	44.7863	45.8163	0.1	38.9739	78.5785	92.68275	0.1	94.7948	0.1	66.4379	31.12235	90.30225	15	dodgerblue2
CHOYP_ABCF2.1.2.m.28362	0.979445546193914	0.0631367041186092	0.377522946195267	0.967036679485888	0.190175101218237	0.237406273993046	0.949671592008509	0.236496988760117	0.226860833890674	0.521907921398874	0.00384004745442293	-0.55604770024867	0.998682844793179	0.627708585078138	-0.110634484632338	0.958428402785477	0.666425029227101	0.0818678486665352	P79781	RS27A_CHICK	95.513	156	7	0	1	156	1	156	4.9e-96	276	P79781	RS27A_CHICK	Ubiquitin-40S ribosomal protein S27a (Ubiquitin carboxyl extension protein 80) [Cleaved into: Ubiquitin; 40S ribosomal protein S27a]	RPS27A UBA80	Gallus gallus (Chicken)	156		DNA repair [GO:0006281]; modification-dependent protein catabolic process [GO:0019941]; protein ubiquitination [GO:0016567]; translation [GO:0006412]	cytoplasm [GO:0005737]; cytosolic small ribosomal subunit [GO:0022627]; myelin sheath [GO:0043209]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; metal ion binding [GO:0046872]; protein tag [GO:0031386]; structural constituent of ribosome [GO:0003735]; ubiquitin protein ligase binding [GO:0031625]; DNA repair [GO:0006281]; modification-dependent protein catabolic process [GO:0019941]; protein ubiquitination [GO:0016567]; translation [GO:0006412]	GO:0003735; GO:0005634; GO:0005654; GO:0005737; GO:0006281; GO:0006412; GO:0016567; GO:0019941; GO:0022627; GO:0031386; GO:0031625; GO:0043209; GO:0046872	Ubiquitin family; Eukaryotic ribosomal protein eS31 family	NA	NA	NA	NA	NA	clustering	clustering	RS27A	RS27A.1.2.m.28362	RS27A.1.2.m.28362	0.450530328063275	0.0676950863241199	0.221764117672674	-0.376808835788836	-0.215211936872826	0.0253985726387054	288.97795	407.59395	396.1436	435.95605	311.6036	459.05795	394.90065	427.17515	461.9663	335.74685	268.42145	467.2112	9	turquoise4
CHOYP_ACT.23.27.m.58454	0.99422697396113	0.992101755985858	-0.00142899296021426	0.967036679485888	0.711074112544256	-0.0591026591211952	0.949671592008509	0.11252591966271	0.25349596039414	0.979180442953242	0.0399910795937763	0.334554468771326	0.998682844793179	0.680898719409003	0.0632067476472624	0.958428402785477	0.0673842251309437	0.267892747245805	O17320	ACT_CRAGI	87.234	376	44	1	1	372	1	376	0	685	O17320	ACT_CRAGI	Actin		Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	376			cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; ATP binding [GO:0005524]	GO:0005524; GO:0005737; GO:0005856	Actin family	NA	-0.102423289757299	ASCA	14	0.102423289757299	clustering	ASCAclustering	ACT	ACT.23.27.m.58454	ACT.23.27.m.58454	-10.3975805178225	-0.113342257348274	0.345371303011913	0.222354889662691	0.0700831091293797	-11.367509489843	134.8912	110.9911	196.87485	99.3946	249.49095	264.21735	0.1	102.60505	250.12515	115.95735	261.9099	0.1	12	lightgreen
CHOYP_ACT.5.27.m.15585	0.979445546193914	0.49246622763317	0.0511322850154663	0.967036679485888	0.00977840567710385	-0.215138417616673	1.75836482358296e-07	6.6328359999357e-11	-0.584610196639161	0.779297472465954	0.00715311398088956	0.220425832732836	0.998682844793179	0.0466275939694367	0.155939223221216	0.958428402785477	0.203786393291684	0.09502210868866	Q26065	ACT_PLAMG	99.6	250	1	0	111	360	116	365	0	516	Q26065	ACT_PLAMG	Actin, adductor muscle		Placopecten magellanicus (Sea scallop)	376			cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; ATP binding [GO:0005524]	GO:0005524; GO:0005737; GO:0005856	Actin family	PropTest	-0.177473476346099	ASCA	7	0.177473476346099	clustering	PropTestASCAclustering	ACT	ACT.5.27.m.15585	ACT.5.27.m.15585	-12.4598176006334	0	0	0	0	0	563.3507	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	black
CHOYP_ACT.6.27.m.15622	0.979445546193914	0.530327364727272	0.0581672336143058	0.967036679485888	0.0166544758915594	-0.23866919190187	3.23764564902092e-08	8.14194806744855e-12	-0.742293199156566	0.979180442953242	0.114266520323828	0.149640268699727	0.998682844793179	0.185411110406642	0.122373437027631	0.958428402785477	0.137768639789774	-0.133693010099286	Q92193	ACT_CRAVI	89.888	267	10	1	3	269	1	250	7.87e-178	493	Q92193	ACT_CRAVI	Actin (Fragment)		Crassostrea virginica (Eastern oyster)	266			cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; ATP binding [GO:0005524]	GO:0005524; GO:0005737; GO:0005856	Actin family	PropTest	-0.239461237449289	ASCA	4	0.239461237449289	clustering	PropTestASCAclustering	ACT	ACT.6.27.m.15622	ACT.6.27.m.15622	0	0	-11.7068449940853	0	0	-12.0563040956463	0.1	0.1	334.28085	0.1	0.1	425.9015	0.1	0.1	0.1	0.1	0.1	0.1	11	springgreen
CHOYP_ACT3.1.3.m.23292	0.979445546193914	0.883943140979452	-0.0170366182903328	0.967036679485888	0.219610046658675	-0.154237140880786	0.949671592008509	0.0101996664073907	-0.330356676347578	0.979180442953242	0.101279747942633	0.200578930226997	0.998682844793179	0.019718466933476	0.27772632521242	0.0278822177493127	7.36233588250431e-05	0.464864003841803	P41340	ACT3_LIMPO	97.328	262	7	0	24	285	115	376	0	536	P41340	ACT3_LIMPO	Actin-3		Limulus polyphemus (Atlantic horseshoe crab)	376			cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; ATP binding [GO:0005524]	GO:0005524; GO:0005737; GO:0005856	Actin family	PropTest	NA	NA	NA	NA	NA	PropTest	ACT3	ACT3.1.3.m.23292	ACT3	0	0	0	0	5.99852273572125	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	6.39345	0.1	2	darkred
CHOYP_ACT3.3.3.m.66907	0.979445546193914	0.762287490952442	-0.0364329914159418	0.967036679485888	0.175706548301089	-0.179094839081561	0.949671592008509	0.0114749557980211	-0.34036858090546	0.979180442953242	0.121993326340942	0.198655102109095	0.998682844793179	0.036972000348998	0.258704540063957	0.793975311470128	0.00992587232854312	0.308638710513558	Q25010	ACT3A_HELAM	81.57	293	5	1	1	293	133	376	5.91e-169	476	Q25010	ACT3A_HELAM	Actin, cytoplasmic A3a	actA3a	Helicoverpa armigera (Cotton bollworm) (Heliothis armigera)	376			cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; ATP binding [GO:0005524]	GO:0005524; GO:0005737; GO:0005856	Actin family	NA	NA	NA	NA	NA	clustering	clustering	ACT3A	ACT3A.3.3.m.66907	ACT3A	0.524791762973186	-0.3444307866419	0.224829857903249	0.571784332671432	-0.359042391563977	-0.195268800797399	174.55785	303.09585	180.14175	225.2547	275.60495	375.32195	251.1409	238.72395	210.52075	334.80975	214.8842	327.81	13	blue
