protein,PC1loadings,uniprot
CHOYP_14332.1.2m.5643,0.0490298636332299,Q2F637
CHOYP_14332.2.2m.61737,-0.0449440416637799,Q2F637
CHOYP_AAEL_AAEL008069.2.2m.60920,0.0602658740491594,P46531
CHOYP_ACT.6.27m.15622,-0.106912341533537,Q92193
CHOYP_ADD.2.5m.15081,-0.0429011306790626,Q02645
CHOYP_ADD.3.5m.17639,0.0554990817514858,Q02645
CHOYP_ATPB.1.1m.21960,-0.0490298636332144,Q25117
CHOYP_BRAFLDRAFT_118602.2.5m.17419,0.110657678338852,Q2PC93
CHOYP_BRAFLDRAFT_127065.6.7m.30727,-0.087504687178723,Q62009
CHOYP_BRAFLDRAFT_80496.6.10m.29014,-0.0629897553621158,Q6DFV8
CHOYP_CO6A5.1.6m.5838,0.0626492701979962,A8TX70
CHOYP_contig_041958m.48141,0.0544776262591272,NA
CHOYP_contig_043818m.50622,0.0459654971561385,Q5TZA2
CHOYP_contig_044078m.50900,0.0463059823202581,Q01484
CHOYP_DNAH5.2.2m.61452,-0.0646921811827135,Q8TE73
CHOYP_DYHC.1.3m.10664,-0.0715018844651044,P23098
CHOYP_EF1A.2.4m.50858,0.109636222846493,Q92005
CHOYP_EF2.5.5m.39855,-0.0660541218391917,P29691
CHOYP_FASN.3.4m.60278,-0.0548181114232467,P12276
CHOYP_FLNA.2.6m.11845,0.309501014184666,Q9VEN1
CHOYP_FLNC.2.5m.37450,-0.167518700746816,P21333
CHOYP_FLNC.3.5m.38669,0.0429011306790626,P21333
CHOYP_GRP78.2.5m.33058,0.0483488933049753,Q16956
CHOYP_HMCN1.23.44m.42684,0.0810354690604516,D3YXG0
CHOYP_HSP7D.2.3m.34782,0.0749067361062998,Q9U639
CHOYP_HSP90AA1.1.1m.14867,0.0415391900225845,Q90474
CHOYP_LDLR.6.7m.57984,-0.0452845268278995,NA
CHOYP_LOC100197130.2.2m.39076,0.0721828547933435,NA
CHOYP_LOC100369657.2.2m.45309,-0.0490298636332144,P19891
CHOYP_LOC100374422.1.2m.26376,-0.0411987048584649,Q8IVF4
CHOYP_LOC100377364.2.2m.52803,0.0633302405262353,Q9NRC6
CHOYP_LOC100533447.2.3m.44496,0.0527752004385294,P22488
CHOYP_LOC100648516.1.1m.64902,0.0616278147056376,P21783
CHOYP_LOC100649130.1.1m.58207,0.0497108339614535,Q99323
CHOYP_LOC101169658.2.3m.20752,0.130405817857786,Q08420
CHOYP_LOC752782.1.1m.53937,0.158325601315588,O17320
CHOYP_LOC754102.1.1m.57578,0.108614767354135,P02553
CHOYP_LRP5.1.3m.18025,0.0677565476597894,O75197
CHOYP_MATN1.2.5m.45361,0.0684375179880285,A2AX52
CHOYP_MATN1.3.5m.46206,0.0806949838963321,P21941
CHOYP_MBCDH18.1.1m.34344,-0.248894654971387,Q2PZL6
CHOYP_MYS.4.7m.18188,0.236296703898964,P24733
CHOYP_MYS.7.7m.44342,0.114403015144167,P24733
CHOYP_MYSP.1.9m.1097,0.138577461796655,O96064
CHOYP_MYSP.8.9m.44813,-0.109636222846493,O96064
CHOYP_NEMVEDRAFT_V1G242065.1.1m.21817,0.080014013568093,O17320
CHOYP_PAN2.1.1m.44691,0.143684739258448,Q25381
CHOYP_PCKG.1.2m.43785,0.041879675186704,P29190
CHOYP_PHUM_PHUM226120.2.7m.2274,-0.143003768930209,Q23551
CHOYP_PHUM_PHUM226120.7.7m.54053,0.334015946001273,Q23551
CHOYP_PHUM_PHUM289860.1.1m.44779,0.0677565476597894,P37397
CHOYP_SPTCA.1.2m.1905,0.173647433700968,P13395
CHOYP_SPTCA.2.2m.25615,-0.0840998355375275,P13395
CHOYP_TAGL3.1.1m.31031,0.0565205372438444,P37805
CHOYP_TBA.1.6m.12217,-0.0786520729116148,P02553
CHOYP_TBB4B.1.7m.12262,0.130746303021905,P11833
CHOYP_TBB4B.7.7m.63980,-0.210079346261759,P11833
CHOYP_TITIN.6.19m.31591,0.0633302405262353,Q8WZ42
CHOYP_VOLCADRAFT_93060.2.2m.26741,-0.0667350921674308,O96790
