Uniprot-Accession,S2-Protein,0,3,5,7,9,11,13,15,E-value,Protein,Gene,Length,GO-BP,GO-IDs,Pathway,UniPathway,CDD,Pfam,GO-name
Q96BY7,CHOYP_ATG2A.1.1|m.57169,0,0,0,0,0,0,0,0,0,Autophagy-related protein 2 homolog B,ATG2B C14orf103,2078,autophagosome assembly [GO:0000045]; mitophagy [GO:0000422]; nucleophagy [GO:0044804],GO:0000045; GO:0000407; GO:0000422; GO:0005811; GO:0019898; GO:0034045; GO:0044804,,,,PF13329;PF09333;PF12624;,extrinsic component of membrane [GO:0019898]; lipid particle [GO:0005811]; pre-autophagosomal structure [GO:0000407]; pre-autophagosomal structure membrane [GO:0034045]; autophagosome assembly [GO:0000045]; mitophagy [GO:0000422]; nucleophagy [GO:0044804]
Q8VED2,CHOYP_BLOC1S4.1.1|m.22903,1,0,0,0,0,0,0,0,2.00E-25,Biogenesis of lysosome-related organelles complex 1 subunit 4 (BLOC-1 subunit 4) (Protein cappuccino homolog),Bloc1s4 Cno,215,anterograde axonal transport [GO:0008089]; anterograde synaptic vesicle transport [GO:0048490]; melanosome organization [GO:0032438]; neuromuscular process controlling balance [GO:0050885]; neuron projection development [GO:0031175]; platelet aggregation [GO:0070527],GO:0005737; GO:0008089; GO:0031083; GO:0031175; GO:0032438; GO:0048490; GO:0050885; GO:0070527; GO:1904115,,,,,axon cytoplasm [GO:1904115]; BLOC-1 complex [GO:0031083]; cytoplasm [GO:0005737]; anterograde axonal transport [GO:0008089]; anterograde synaptic vesicle transport [GO:0048490]; melanosome organization [GO:0032438]; neuromuscular process controlling balance [GO:0050885]; neuron projection development [GO:0031175]; platelet aggregation [GO:0070527]
Q6ZMT9,CHOYP_BRAFLDRAFT_123768.1.1|m.7223,3,0,0,0,0,0,0,0,8.00E-39,Death domain-containing protein 1,DTHD1,781,signal transduction [GO:0007165],GO:0007165,,,,PF00531;,signal transduction [GO:0007165]
Q1RMU2,CHOYP_BRAFLDRAFT_230143.1.1|m.15015,0.5,0,0,0,0,0,0,0,3.00E-174,Ubiquitin carboxyl-terminal hydrolase CYLD (EC 3.4.19.12) (Deubiquitinating enzyme CYLD) (Ubiquitin thioesterase CYLD) (Ubiquitin-specific-processing protease CYLD),CYLD CYLD1,953,"CD4-positive or CD8-positive, alpha-beta T cell lineage commitment [GO:0043369]; homeostasis of number of cells [GO:0048872]; innate immune response [GO:0045087]; necroptotic process [GO:0070266]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of NF-kappaB import into nucleus [GO:0042347]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of T cell differentiation [GO:0045581]; positive regulation of cellular protein localization [GO:1903829]; positive regulation of extrinsic apoptotic signaling pathway [GO:2001238]; positive regulation of T cell differentiation [GO:0045582]; positive regulation of T cell receptor signaling pathway [GO:0050862]; protein K63-linked deubiquitination [GO:0070536]; protein linear deubiquitination [GO:1990108]; regulation of B cell differentiation [GO:0045577]; regulation of cilium assembly [GO:1902017]; regulation of intrinsic apoptotic signaling pathway [GO:2001242]; regulation of microtubule cytoskeleton organization [GO:0070507]; regulation of mitotic cell cycle [GO:0007346]; regulation of protein binding [GO:0043393]; regulation of tumor necrosis factor-mediated signaling pathway [GO:0010803]; ripoptosome assembly involved in necroptotic process [GO:1901026]; ubiquitin-dependent protein catabolic process [GO:0006511]; Wnt signaling pathway [GO:0016055]",GO:0004843; GO:0005813; GO:0005819; GO:0005829; GO:0005881; GO:0006511; GO:0007346; GO:0008270; GO:0010803; GO:0016055; GO:0030496; GO:0031234; GO:0032088; GO:0036064; GO:0042347; GO:0043369; GO:0043393; GO:0045087; GO:0045577; GO:0045581; GO:0045582; GO:0048471; GO:0048872; GO:0050862; GO:0061578; GO:0070266; GO:0070507; GO:0070536; GO:0090090; GO:0097542; GO:1901026; GO:1902017; GO:1903829; GO:1990108; GO:1990380; GO:2001238; GO:2001242,,,,PF01302;PF00443;,"centrosome [GO:0005813]; ciliary basal body [GO:0036064]; ciliary tip [GO:0097542]; cytoplasmic microtubule [GO:0005881]; cytosol [GO:0005829]; extrinsic component of cytoplasmic side of plasma membrane [GO:0031234]; midbody [GO:0030496]; perinuclear region of cytoplasm [GO:0048471]; spindle [GO:0005819]; Lys48-specific deubiquitinase activity [GO:1990380]; Lys63-specific deubiquitinase activity [GO:0061578]; thiol-dependent ubiquitin-specific protease activity [GO:0004843]; zinc ion binding [GO:0008270]; CD4-positive or CD8-positive, alpha-beta T cell lineage commitment [GO:0043369]; homeostasis of number of cells [GO:0048872]; innate immune response [GO:0045087]; necroptotic process [GO:0070266]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of NF-kappaB import into nucleus [GO:0042347]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of T cell differentiation [GO:0045581]; positive regulation of cellular protein localization [GO:1903829]; positive regulation of extrinsic apoptotic signaling pathway [GO:2001238]; positive regulation of T cell differentiation [GO:0045582]; positive regulation of T cell receptor signaling pathway [GO:0050862]; protein K63-linked deubiquitination [GO:0070536]; protein linear deubiquitination [GO:1990108]; regulation of B cell differentiation [GO:0045577]; regulation of cilium assembly [GO:1902017]; regulation of intrinsic apoptotic signaling pathway [GO:2001242]; regulation of microtubule cytoskeleton organization [GO:0070507]; regulation of mitotic cell cycle [GO:0007346]; regulation of protein binding [GO:0043393]; regulation of tumor necrosis factor-mediated signaling pathway [GO:0010803]; ripoptosome assembly involved in necroptotic process [GO:1901026]; ubiquitin-dependent protein catabolic process [GO:0006511]; Wnt signaling pathway [GO:0016055]"
P24044,CHOYP_CENTRIN.1.1|m.59526,0,0,0,0,0,0,0,0,8.00E-10,Calmodulin (CaM),,149,,GO:0005509,,,cd00051;,PF13499;,calcium ion binding [GO:0005509]
O16011,CHOYP_DYAK_GE11656.1.2|m.34706,0,0,0,0,0,0,0,0,3.00E-52,Protein muscleblind (Protein mindmelt),mbl mm CG33197,297,"apoptotic process [GO:0006915]; compound eye photoreceptor cell differentiation [GO:0001751]; embryo development [GO:0009790]; eye development [GO:0001654]; imaginal disc-derived wing morphogenesis [GO:0007476]; muscle cell cellular homeostasis [GO:0046716]; muscle organ development [GO:0007517]; peripheral nervous system development [GO:0007422]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of female receptivity [GO:0045924]; regulation of gene expression [GO:0010468]; response to stimulus [GO:0050896]; rhabdomere development [GO:0042052]; somatic muscle development [GO:0007525]; visual perception [GO:0007601]",GO:0000381; GO:0001654; GO:0001751; GO:0003676; GO:0003677; GO:0005634; GO:0005737; GO:0006915; GO:0007422; GO:0007476; GO:0007517; GO:0007525; GO:0007601; GO:0009790; GO:0010468; GO:0030018; GO:0031673; GO:0042052; GO:0045924; GO:0046716; GO:0046872; GO:0048471; GO:0050896,,,,,"cytoplasm [GO:0005737]; H zone [GO:0031673]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; Z disc [GO:0030018]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]; apoptotic process [GO:0006915]; compound eye photoreceptor cell differentiation [GO:0001751]; embryo development [GO:0009790]; eye development [GO:0001654]; imaginal disc-derived wing morphogenesis [GO:0007476]; muscle cell cellular homeostasis [GO:0046716]; muscle organ development [GO:0007517]; peripheral nervous system development [GO:0007422]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of female receptivity [GO:0045924]; regulation of gene expression [GO:0010468]; response to stimulus [GO:0050896]; rhabdomere development [GO:0042052]; somatic muscle development [GO:0007525]; visual perception [GO:0007601]"
Q92630,CHOYP_EF1A.4.4|m.65743,2.5,0,0,0,0,0,0,0,0,Dual specificity tyrosine-phosphorylation-regulated kinase 2 (EC 2.7.12.1),DYRK2,601,cellular response to DNA damage stimulus [GO:0006974]; intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:0042771]; negative regulation of NFAT protein import into nucleus [GO:0051534]; positive regulation of glycogen biosynthetic process [GO:0045725]; protein phosphorylation [GO:0006468]; regulation of signal transduction by p53 class mediator [GO:1901796]; smoothened signaling pathway [GO:0007224],GO:0000151; GO:0000287; GO:0004674; GO:0004712; GO:0004713; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0006468; GO:0006974; GO:0007224; GO:0030145; GO:0030529; GO:0042771; GO:0043130; GO:0045725; GO:0051534; GO:1901796,,,,PF00069;,cytoplasm [GO:0005737]; cytosol [GO:0005829]; intracellular ribonucleoprotein complex [GO:0030529]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ubiquitin ligase complex [GO:0000151]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein tyrosine kinase activity [GO:0004713]; ubiquitin binding [GO:0043130]; cellular response to DNA damage stimulus [GO:0006974]; intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:0042771]; negative regulation of NFAT protein import into nucleus [GO:0051534]; positive regulation of glycogen biosynthetic process [GO:0045725]; protein phosphorylation [GO:0006468]; regulation of signal transduction by p53 class mediator [GO:1901796]; smoothened signaling pathway [GO:0007224]
A2ASS6,CHOYP_HMCN1.5.44|m.7236,12,0,0,0,0,0,0,0,2.00E-135,Titin (EC 2.7.11.1) (Connectin),Ttn,35213,actin filament organization [GO:0007015]; adult heart development [GO:0007512]; cardiac muscle contraction [GO:0060048]; cardiac muscle fiber development [GO:0048739]; cardiac muscle hypertrophy [GO:0003300]; cardiac muscle tissue morphogenesis [GO:0055008]; cardiac myofibril assembly [GO:0055003]; detection of muscle stretch [GO:0035995]; forward locomotion [GO:0043056]; heart development [GO:0007507]; heart growth [GO:0060419]; heart morphogenesis [GO:0003007]; in utero embryonic development [GO:0001701]; muscle contraction [GO:0006936]; regulation of catalytic activity [GO:0050790]; regulation of protein kinase activity [GO:0045859]; regulation of relaxation of cardiac muscle [GO:1901897]; response to calcium ion [GO:0051592]; sarcomere organization [GO:0045214]; sarcomerogenesis [GO:0048769]; skeletal muscle myosin thick filament assembly [GO:0030241]; skeletal muscle thin filament assembly [GO:0030240]; somitogenesis [GO:0001756]; striated muscle cell development [GO:0055002]; striated muscle contraction [GO:0006941]; striated muscle myosin thick filament assembly [GO:0071688]; ventricular system development [GO:0021591],GO:0000794; GO:0001701; GO:0001756; GO:0002020; GO:0003007; GO:0003300; GO:0004674; GO:0004713; GO:0005200; GO:0005509; GO:0005516; GO:0005524; GO:0005859; GO:0005865; GO:0006936; GO:0006941; GO:0007015; GO:0007507; GO:0007512; GO:0008307; GO:0019899; GO:0019901; GO:0021591; GO:0030017; GO:0030018; GO:0030240; GO:0030241; GO:0030506; GO:0031430; GO:0031433; GO:0031672; GO:0031674; GO:0035995; GO:0042802; GO:0042805; GO:0043056; GO:0043621; GO:0045214; GO:0045859; GO:0048739; GO:0048769; GO:0050790; GO:0051015; GO:0051371; GO:0051592; GO:0055002; GO:0055003; GO:0055008; GO:0060048; GO:0060419; GO:0070062; GO:0071688; GO:0097493; GO:1901897,,,cd00063;,PF00041;PF07679;PF00069;PF02818;PF09042;,A band [GO:0031672]; condensed nuclear chromosome [GO:0000794]; extracellular exosome [GO:0070062]; I band [GO:0031674]; M band [GO:0031430]; muscle myosin complex [GO:0005859]; sarcomere [GO:0030017]; striated muscle thin filament [GO:0005865]; Z disc [GO:0030018]; actin filament binding [GO:0051015]; actinin binding [GO:0042805]; ankyrin binding [GO:0030506]; ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; calmodulin binding [GO:0005516]; enzyme binding [GO:0019899]; identical protein binding [GO:0042802]; muscle alpha-actinin binding [GO:0051371]; protease binding [GO:0002020]; protein kinase binding [GO:0019901]; protein self-association [GO:0043621]; protein serine/threonine kinase activity [GO:0004674]; protein tyrosine kinase activity [GO:0004713]; structural constituent of cytoskeleton [GO:0005200]; structural constituent of muscle [GO:0008307]; structural molecule activity conferring elasticity [GO:0097493]; telethonin binding [GO:0031433]; actin filament organization [GO:0007015]; adult heart development [GO:0007512]; cardiac muscle contraction [GO:0060048]; cardiac muscle fiber development [GO:0048739]; cardiac muscle hypertrophy [GO:0003300]; cardiac muscle tissue morphogenesis [GO:0055008]; cardiac myofibril assembly [GO:0055003]; detection of muscle stretch [GO:0035995]; forward locomotion [GO:0043056]; heart development [GO:0007507]; heart growth [GO:0060419]; heart morphogenesis [GO:0003007]; in utero embryonic development [GO:0001701]; muscle contraction [GO:0006936]; regulation of catalytic activity [GO:0050790]; regulation of protein kinase activity [GO:0045859]; regulation of relaxation of cardiac muscle [GO:1901897]; response to calcium ion [GO:0051592]; sarcomere organization [GO:0045214]; sarcomerogenesis [GO:0048769]; skeletal muscle myosin thick filament assembly [GO:0030241]; skeletal muscle thin filament assembly [GO:0030240]; somitogenesis [GO:0001756]; striated muscle cell development [GO:0055002]; striated muscle contraction [GO:0006941]; striated muscle myosin thick filament assembly [GO:0071688]; ventricular system development [GO:0021591]
Q9W6R5,CHOYP_HMCN2.11.12|m.51619,0,0,0,0,0,0,0,0,2.00E-21,Retinoschisin (X-linked juvenile retinoschisis protein homolog),xlrs1,280,cell adhesion [GO:0007155],GO:0005576; GO:0007155; GO:0070492,,,,PF00754;,extracellular region [GO:0005576]; oligosaccharide binding [GO:0070492]; cell adhesion [GO:0007155]
Q60675,CHOYP_LAMA2.1.1|m.10439,0,0,0,0,0,0,0,0,0,Laminin subunit alpha-2 (Laminin M chain) (Laminin-12 subunit alpha) (Laminin-2 subunit alpha) (Laminin-4 subunit alpha) (Merosin heavy chain),Lama2,3118,"axon guidance [GO:0007411]; cell adhesion [GO:0007155]; extracellular matrix organization [GO:0030198]; positive regulation of synaptic transmission, cholinergic [GO:0032224]; regulation of cell adhesion [GO:0030155]; regulation of cell migration [GO:0030334]; regulation of embryonic development [GO:0045995]; Schwann cell differentiation [GO:0014037]",GO:0005576; GO:0005604; GO:0005605; GO:0005615; GO:0007155; GO:0007411; GO:0014037; GO:0030155; GO:0030198; GO:0030334; GO:0032224; GO:0042383; GO:0043197; GO:0045995; GO:0070062,,,,PF00052;PF00053;PF00054;PF02210;PF06008;PF06009;PF00055;,"basal lamina [GO:0005605]; basement membrane [GO:0005604]; dendritic spine [GO:0043197]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; sarcolemma [GO:0042383]; axon guidance [GO:0007411]; cell adhesion [GO:0007155]; extracellular matrix organization [GO:0030198]; positive regulation of synaptic transmission, cholinergic [GO:0032224]; regulation of cell adhesion [GO:0030155]; regulation of cell migration [GO:0030334]; regulation of embryonic development [GO:0045995]; Schwann cell differentiation [GO:0014037]"
