Uniprot-Accession,S3-Protein,0,3,5,7,9,11,13,15,E-value,Protein,Gene,Length,GO-BP,GO-IDs,Pathway,UniPathway,CDD,Pfam,GO-names
P79099,CHOYP_AQP4.3.3|m.44128,0,0,0,0,0,0,0,0,2.00E-70,Aquaporin-2 (AQP-2) (ADH water channel) (Aquaporin-CD) (AQP-CD) (Collecting duct water channel protein) (WCH-CD) (Water channel protein for renal collecting duct),AQP2,271,cellular response to copper ion [GO:0071280]; cellular response to mercury ion [GO:0071288]; cellular response to water deprivation [GO:0042631]; ion transmembrane transport [GO:0034220]; metanephric collecting duct development [GO:0072205]; renal water transport [GO:0003097],GO:0003097; GO:0005794; GO:0005887; GO:0015168; GO:0015250; GO:0016323; GO:0016324; GO:0030659; GO:0034220; GO:0042631; GO:0055037; GO:0070062; GO:0071280; GO:0071288; GO:0072205,,,cd00333;,PF00230;,apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; cytoplasmic vesicle membrane [GO:0030659]; extracellular exosome [GO:0070062]; Golgi apparatus [GO:0005794]; integral component of plasma membrane [GO:0005887]; recycling endosome [GO:0055037]; glycerol transmembrane transporter activity [GO:0015168]; water channel activity [GO:0015250]; cellular response to copper ion [GO:0071280]; cellular response to mercury ion [GO:0071288]; cellular response to water deprivation [GO:0042631]; ion transmembrane transport [GO:0034220]; metanephric collecting duct development [GO:0072205]; renal water transport [GO:0003097]
Q96BY7,CHOYP_ATG2A.1.1|m.57169,0,0,0,0,0,0,0,0,0,Autophagy-related protein 2 homolog B,ATG2B C14orf103,2078,autophagosome assembly [GO:0000045]; mitophagy [GO:0000422]; nucleophagy [GO:0044804],GO:0000045; GO:0000407; GO:0000422; GO:0005811; GO:0019898; GO:0034045; GO:0044804,,,,PF13329;PF09333;PF12624;,extrinsic component of membrane [GO:0019898]; lipid particle [GO:0005811]; pre-autophagosomal structure [GO:0000407]; pre-autophagosomal structure membrane [GO:0034045]; autophagosome assembly [GO:0000045]; mitophagy [GO:0000422]; nucleophagy [GO:0044804]
Q920Q2,CHOYP_BRAFLDRAFT_213587.1.1|m.51383,0,0,0,0,0,0,0,0,4.00E-157,DNA repair protein REV1 (EC 2.7.7.-) (Rev1-like terminal deoxycytidyl transferase),Rev1 Rev1l,1249,error-prone translesion synthesis [GO:0042276]; response to UV [GO:0009411],GO:0003684; GO:0005634; GO:0009411; GO:0017125; GO:0042276; GO:0046872,,,cd00027;,PF16589;PF14377;PF00817;PF11799;PF16727;,nucleus [GO:0005634]; damaged DNA binding [GO:0003684]; deoxycytidyl transferase activity [GO:0017125]; metal ion binding [GO:0046872]; error-prone translesion synthesis [GO:0042276]; response to UV [GO:0009411]
Q9H3N1,CHOYP_BRAFLDRAFT_275793.1.1|m.9519,0,0,0,0,0,0,0,0,1.00E-61,Thioredoxin-related transmembrane protein 1 (Thioredoxin domain-containing protein 1) (Transmembrane Trx-related protein),TMX1 TMX TXNDC TXNDC1 PSEC0085 UNQ235/PRO268,280,cell redox homeostasis [GO:0045454]; protein folding [GO:0006457]; response to endoplasmic reticulum stress [GO:0034976],GO:0003756; GO:0005789; GO:0006457; GO:0015036; GO:0016021; GO:0034976; GO:0045454,,,,PF00085;,endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; disulfide oxidoreductase activity [GO:0015036]; protein disulfide isomerase activity [GO:0003756]; cell redox homeostasis [GO:0045454]; protein folding [GO:0006457]; response to endoplasmic reticulum stress [GO:0034976]
O70352,CHOYP_CD82.2.3|m.17728,0,0,0,0,0,0,0,0,3.00E-36,CD82 antigen (Metastasis suppressor Kangai-1 homolog) (CD antigen CD82),Cd82 Kai1,266,cell surface receptor signaling pathway [GO:0007166],GO:0005887; GO:0007166,,,,PF00335;,integral component of plasma membrane [GO:0005887]; cell surface receptor signaling pathway [GO:0007166]
P48058,CHOYP_GLRK.1.3|m.29909,0,0,0,0,0,0,0,0,1.00E-69,"Glutamate receptor 4 (GluR-4) (GluR4) (AMPA-selective glutamate receptor 4) (GluR-D) (Glutamate receptor ionotropic, AMPA 4) (GluA4)",GRIA4 GLUR4,902,glutamate receptor signaling pathway [GO:0007215]; transport [GO:0006810],GO:0004970; GO:0004971; GO:0005231; GO:0005234; GO:0005886; GO:0006810; GO:0007215; GO:0030054; GO:0030425; GO:0030666; GO:0032281; GO:0045211; GO:1903561,,,,PF01094;PF00060;PF10613;,AMPA glutamate receptor complex [GO:0032281]; cell junction [GO:0030054]; dendrite [GO:0030425]; endocytic vesicle membrane [GO:0030666]; extracellular vesicle [GO:1903561]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; AMPA glutamate receptor activity [GO:0004971]; excitatory extracellular ligand-gated ion channel activity [GO:0005231]; extracellular-glutamate-gated ion channel activity [GO:0005234]; ionotropic glutamate receptor activity [GO:0004970]; glutamate receptor signaling pathway [GO:0007215]; transport [GO:0006810]
Q96LI9,CHOYP_LOC100377974.1.1|m.6543,0.5,0,0,0,0,0,0,0,7.00E-75,Putative uncharacterized protein CXorf58,CXorf58,332,,,,,,,
B4KD90,CHOYP_LOC100533321.1.1|m.38814,0,0,0,0,0,0,0,0,0,Glutamate [NMDA] receptor subunit 1,Nmdar1 GI24494,980,behavioral response to ethanol [GO:0048149]; calcium ion homeostasis [GO:0055074]; chemical synaptic transmission [GO:0007268]; imaginal disc-derived wing morphogenesis [GO:0007476]; ionotropic glutamate receptor signaling pathway [GO:0035235]; long-term memory [GO:0007616]; medium-term memory [GO:0072375]; olfactory learning [GO:0008355]; phototaxis [GO:0042331]; regulation of membrane potential [GO:0042391]; sensory perception of touch [GO:0050975],GO:0004970; GO:0004972; GO:0005234; GO:0007268; GO:0007476; GO:0007616; GO:0008355; GO:0014069; GO:0017146; GO:0030054; GO:0035235; GO:0042331; GO:0042391; GO:0045211; GO:0048149; GO:0050975; GO:0055074; GO:0072375,,,,PF01094;PF10562;PF00060;PF10613;,cell junction [GO:0030054]; NMDA selective glutamate receptor complex [GO:0017146]; postsynaptic density [GO:0014069]; postsynaptic membrane [GO:0045211]; extracellular-glutamate-gated ion channel activity [GO:0005234]; ionotropic glutamate receptor activity [GO:0004970]; NMDA glutamate receptor activity [GO:0004972]; behavioral response to ethanol [GO:0048149]; calcium ion homeostasis [GO:0055074]; chemical synaptic transmission [GO:0007268]; imaginal disc-derived wing morphogenesis [GO:0007476]; ionotropic glutamate receptor signaling pathway [GO:0035235]; long-term memory [GO:0007616]; medium-term memory [GO:0072375]; olfactory learning [GO:0008355]; phototaxis [GO:0042331]; regulation of membrane potential [GO:0042391]; sensory perception of touch [GO:0050975]
Q54GB3,CHOYP_LOC100635245.3.4|m.44747,0,0,0,0,0,0,0,0,3.00E-11,Synaptobrevin-B,sybB DDB_G0290363,101,exocytosis [GO:0006887]; vesicle fusion [GO:0006906],GO:0000149; GO:0005484; GO:0006887; GO:0006906; GO:0016021; GO:0030658; GO:0031201,,,,PF00957;,integral component of membrane [GO:0016021]; SNARE complex [GO:0031201]; transport vesicle membrane [GO:0030658]; SNAP receptor activity [GO:0005484]; SNARE binding [GO:0000149]; exocytosis [GO:0006887]; vesicle fusion [GO:0006906]
Q14642,CHOYP_LOC100743250.1.1|m.12309,0.5,0,0,0,0,0,0,0,2.00E-133,"Type I inositol 1,4,5-trisphosphate 5-phosphatase (5PTase) (EC 3.1.3.56)",INPP5A,412,inositol phosphate dephosphorylation [GO:0046855]; inositol phosphate-mediated signaling [GO:0048016]; inositol phosphate metabolic process [GO:0043647]; phosphatidylinositol dephosphorylation [GO:0046856],GO:0004445; GO:0005622; GO:0005886; GO:0016020; GO:0042731; GO:0043647; GO:0046855; GO:0046856; GO:0048016; GO:0052658; GO:0052659; GO:0070062,,,,,"extracellular exosome [GO:0070062]; intracellular [GO:0005622]; membrane [GO:0016020]; plasma membrane [GO:0005886]; inositol-1,3,4,5-tetrakisphosphate 5-phosphatase activity [GO:0052659]; inositol-1,4,5-trisphosphate 5-phosphatase activity [GO:0052658]; inositol-polyphosphate 5-phosphatase activity [GO:0004445]; PH domain binding [GO:0042731]; inositol phosphate dephosphorylation [GO:0046855]; inositol phosphate metabolic process [GO:0043647]; inositol phosphate-mediated signaling [GO:0048016]; phosphatidylinositol dephosphorylation [GO:0046856]"
