protein_ID,GO
CHOYP_ACT.23.27.m.58454,GO:0005524
CHOYP_ADA17.1.3.m.798,GO:0004865
CHOYP_AGAP_AGAP004885.1.1.m.29831,GO:0005739
CHOYP_AN13B.1.1.m.15287,GO:0005770
CHOYP_BRAFLDRAFT_101346.1.1.m.1028,GO:0005739
CHOYP_BRAFLDRAFT_117263.1.1.m.28027,GO:0005739
CHOYP_BRAFLDRAFT_118645.1.1.m.30629,GO:0010181
CHOYP_BRAFLDRAFT_204736.1.2.m.27864,GO:0005737
CHOYP_BRAFLDRAFT_277091.1.3.m.1103,GO:0000049
CHOYP_BRAFLDRAFT_277775.1.1.m.12737,GO:0004843
CHOYP_BRAFLDRAFT_278918.4.5.m.39356,GO:0004499
CHOYP_BRAFLDRAFT_73486.1.1.m.16417,GO:0004411
CHOYP_C2D1.1.1.m.8807,GO:0000122
CHOYP_CCBL1.1.1.m.30637,GO:0005737
CHOYP_CIAO1.1.1.m.48324,GO:0016226
CHOYP_CIR1A.1.1.m.11568,GO:0000462
CHOYP_CNOT1.1.1.m.12106,GO:0000400
CHOYP_CUL3B.1.1.m.61644,GO:0000028
CHOYP_DCDC2.7.7.m.46807,GO:0001764
CHOYP_DCNL4.1.2.m.36826,GO:0000151
CHOYP_DDX47.1.1.m.11144,GO:0003723
CHOYP_EPRS.1.1.m.35443,GO:0004818
CHOYP_F10A1.4.4.m.44752,GO:0005737
CHOYP_FABP7.1.2.m.22674,GO:0005737
CHOYP_FAIM1.1.1.m.36651,GO:0005737
CHOYP_HEM2.1.1.m.6789,GO:0004655
CHOYP_ISCW_ISCW006091.2.2.m.61313,GO:0003677
CHOYP_ISCW_ISCW012957.1.2.m.51659,GO:0001541
CHOYP_LOC100119750.1.1.m.7019,GO:0003676
CHOYP_LOC100184874.1.1.m.41851,GO:0005102
CHOYP_LOC100222774.1.1.m.56990,GO:0004485
CHOYP_LOC100367014.1.1.m.18505,GO:0000166
CHOYP_LOC100367166.1.1.m.1262,GO:0003723
CHOYP_LOC100367201.2.2.m.61573,GO:0003677
CHOYP_LOC100369721.1.1.m.17704,GO:0006742
CHOYP_LOC100373289.1.2.m.7904,GO:0005634
CHOYP_LOC100374522.1.1.m.66943,GO:0005730
CHOYP_LOC100374741.72.83.m.60196,GO:0000209
CHOYP_LOC100375204.2.2.m.21490,GO:0000815
CHOYP_LOC100375405.1.1.m.48387,GO:0002091
CHOYP_LOC100376200.1.1.m.19157,GO:0005634
CHOYP_LOC100376908.1.4.m.112,GO:0000381
CHOYP_LOC100378619.1.2.m.21468,GO:0005198
CHOYP_LOC100533384.3.5.m.37350,GO:0003723
CHOYP_LOC100561086.1.1.m.13015,GO:0005634
CHOYP_LOC100693418.2.2.m.56971,GO:0001882
CHOYP_LOC100710965.1.1.m.15140,GO:0002181
CHOYP_LOC100865976.1.1.m.15403,GO:0001731
CHOYP_LOC100872239.1.1.m.53052,GO:0000813
CHOYP_LOC100876012.1.1.m.8280,GO:0004850
CHOYP_LOC100890099.1.1.m.11505,GO:0005524
CHOYP_LOC100905387.1.1.m.30579,GO:0003735
CHOYP_LOC100905729.1.3.m.13789,GO:0004867
CHOYP_LOC101064328.2.3.m.57090,GO:0005737
CHOYP_LOC101159300.1.1.m.26609,GO:0003735
CHOYP_LOC591797.1.3.m.11526,GO:0000012
CHOYP_LOC592411.1.1.m.19664,GO:0000398
CHOYP_LOC592528.1.2.m.17290,GO:0000338
CHOYP_LOC662320.2.2.m.19454,GO:0000243
CHOYP_LOC754102.1.1.m.57578,GO:0005200
CHOYP_MBLK1.1.1.m.51933,GO:0005737
CHOYP_PAN2.1.1.m.44691,GO:0005524
CHOYP_PAN2.1.1.m.44693,GO:0005524
CHOYP_PHUM_PHUM128460.4.7.m.38295,GO:0005070
CHOYP_PHUM_PHUM241330.1.3.m.29132,GO:0000381
CHOYP_PK1IP.1.1.m.49466,GO:0000049
CHOYP_PLRG1.1.1.m.65600,GO:0000398
CHOYP_POLR3K.1.1.m.8423,GO:0003676
CHOYP_PRP6.2.2.m.34365,GO:0004364
CHOYP_RAC1.1.3.m.20871,GO:0000139
CHOYP_RL8.10.10.m.65636,GO:0002181
CHOYP_ROAA.3.6.m.39522,GO:0000122
CHOYP_SAMH1.10.12.m.55275,GO:0000724
CHOYP_SEPT5.1.2.m.11458,GO:0003924
CHOYP_TBA.5.6.m.37448,GO:0005200
CHOYP_TBA1.2.9.m.9962,GO:0000226
CHOYP_TBA1A.2.4.m.19573,GO:0000226
CHOYP_TEKT5.1.1.m.60033,GO:0002080
CHOYP_THUM3.1.1.m.17928,GO:0003723
CHOYP_TOL2_C08810.1.1.m.6377,GO:0009102
CHOYP_UB2G2.1.1.m.7534,GO:0004842
CHOYP_VATG.1.2.m.4407,GO:0016324
CHOYP_WASP.1.1.m.35786,GO:0000147
CHOYP_ACT.23.27.m.58454,GO:0005737
CHOYP_ADA17.1.3.m.798,GO:0005634
CHOYP_AGAP_AGAP004885.1.1.m.29831,GO:0046872
CHOYP_AN13B.1.1.m.15287,GO:0005886
CHOYP_BRAFLDRAFT_101346.1.1.m.1028,GO:0046872
CHOYP_BRAFLDRAFT_117263.1.1.m.28027,GO:0005783
CHOYP_BRAFLDRAFT_118645.1.1.m.30629,GO:0016491
CHOYP_BRAFLDRAFT_204736.1.2.m.27864,GO:0005741
CHOYP_BRAFLDRAFT_277091.1.3.m.1103,GO:0003735
CHOYP_BRAFLDRAFT_277775.1.1.m.12737,GO:0005737
CHOYP_BRAFLDRAFT_278918.4.5.m.39356,GO:0005576
CHOYP_BRAFLDRAFT_73486.1.1.m.16417,GO:0005829
CHOYP_C2D1.1.1.m.8807,GO:0000281
CHOYP_CCBL1.1.1.m.30637,GO:0005739
CHOYP_CIAO1.1.1.m.48324,GO:0097361
CHOYP_CIR1A.1.1.m.11568,GO:0001650
CHOYP_CNOT1.1.1.m.12106,GO:0000790
CHOYP_CUL3B.1.1.m.61644,GO:0003735
CHOYP_DCDC2.7.7.m.46807,GO:0005654
CHOYP_DCNL4.1.2.m.36826,GO:0005634
CHOYP_DDX47.1.1.m.11144,GO:0004386
CHOYP_EPRS.1.1.m.35443,GO:0004827
CHOYP_F10A1.4.4.m.44752,GO:0046983
CHOYP_FABP7.1.2.m.22674,GO:0005911
CHOYP_FAIM1.1.1.m.36651,GO:0006915
CHOYP_HEM2.1.1.m.6789,GO:0005829
CHOYP_ISCW_ISCW006091.2.2.m.61313,GO:0003755
CHOYP_ISCW_ISCW012957.1.2.m.51659,GO:0004105
CHOYP_LOC100119750.1.1.m.7019,GO:0006513
CHOYP_LOC100184874.1.1.m.41851,GO:0005576
CHOYP_LOC100222774.1.1.m.56990,GO:0005524
CHOYP_LOC100367014.1.1.m.18505,GO:0005085
CHOYP_LOC100367166.1.1.m.1262,GO:0004842
CHOYP_LOC100367201.2.2.m.61573,GO:0005634
CHOYP_LOC100369721.1.1.m.17704,GO:0009435
CHOYP_LOC100373289.1.2.m.7904,GO:0005730
CHOYP_LOC100374522.1.1.m.66943,GO:0005737
CHOYP_LOC100374741.72.83.m.60196,GO:0004842
CHOYP_LOC100375204.2.2.m.21490,GO:0005771
CHOYP_LOC100375405.1.1.m.48387,GO:0005137
CHOYP_LOC100376200.1.1.m.19157,GO:0006281
CHOYP_LOC100376908.1.4.m.112,GO:0002244
CHOYP_LOC100378619.1.2.m.21468,GO:0005635
CHOYP_LOC100533384.3.5.m.37350,GO:0007399
CHOYP_LOC100561086.1.1.m.13015,GO:0005829
CHOYP_LOC100693418.2.2.m.56971,GO:0004126
CHOYP_LOC100710965.1.1.m.15140,GO:0005737
CHOYP_LOC100865976.1.1.m.15403,GO:0002188
CHOYP_LOC100872239.1.1.m.53052,GO:0005737
CHOYP_LOC100876012.1.1.m.8280,GO:0005634
CHOYP_LOC100890099.1.1.m.11505,GO:0005634
CHOYP_LOC100905387.1.1.m.30579,GO:0005654
CHOYP_LOC100905729.1.3.m.13789,GO:0005576
CHOYP_LOC101064328.2.3.m.57090,GO:0008119
CHOYP_LOC101159300.1.1.m.26609,GO:0005739
CHOYP_LOC591797.1.3.m.11526,GO:0000784
CHOYP_LOC592411.1.1.m.19664,GO:0003723
CHOYP_LOC592528.1.2.m.17290,GO:0005654
CHOYP_LOC662320.2.2.m.19454,GO:0000398
CHOYP_LOC754102.1.1.m.57578,GO:0005525
CHOYP_MBLK1.1.1.m.51933,GO:0032426
CHOYP_PAN2.1.1.m.44691,GO:0005737
CHOYP_PAN2.1.1.m.44693,GO:0005737
CHOYP_PHUM_PHUM128460.4.7.m.38295,GO:0005737
CHOYP_PHUM_PHUM241330.1.3.m.29132,GO:0000398
CHOYP_PK1IP.1.1.m.49466,GO:0001514
CHOYP_PLRG1.1.1.m.65600,GO:0000974
CHOYP_POLR3K.1.1.m.8423,GO:0003899
CHOYP_PRP6.2.2.m.34365,GO:0005737
CHOYP_RAC1.1.3.m.20871,GO:0001764
CHOYP_RL8.10.10.m.65636,GO:0003735
CHOYP_ROAA.3.6.m.39522,GO:0001837
CHOYP_SAMH1.10.12.m.55275,GO:0003676
CHOYP_SEPT5.1.2.m.11458,GO:0005198
CHOYP_TBA.5.6.m.37448,GO:0005525
CHOYP_TBA1.2.9.m.9962,GO:0000278
CHOYP_TBA1A.2.4.m.19573,GO:0000278
CHOYP_TEKT5.1.1.m.60033,GO:0002081
CHOYP_THUM3.1.1.m.17928,GO:0005730
CHOYP_TOL2_C08810.1.1.m.6377,GO:0010340
CHOYP_UB2G2.1.1.m.7534,GO:0005524
CHOYP_VATG.1.2.m.4407,GO:0016471
CHOYP_WASP.1.1.m.35786,GO:0002625
CHOYP_ACT.23.27.m.58454,GO:0005856
CHOYP_ADA17.1.3.m.798,GO:0006511
CHOYP_AGAP_AGAP004885.1.1.m.29831,GO:0051537
CHOYP_BRAFLDRAFT_101346.1.1.m.1028,GO:0047800
CHOYP_BRAFLDRAFT_117263.1.1.m.28027,GO:0010507
CHOYP_BRAFLDRAFT_204736.1.2.m.27864,GO:0006974
CHOYP_BRAFLDRAFT_277091.1.3.m.1103,GO:0005840
CHOYP_BRAFLDRAFT_277775.1.1.m.12737,GO:0005829
CHOYP_BRAFLDRAFT_278918.4.5.m.39356,GO:0009820
CHOYP_BRAFLDRAFT_73486.1.1.m.16417,GO:0006520
CHOYP_C2D1.1.1.m.8807,GO:0005543
CHOYP_CCBL1.1.1.m.30637,GO:0006520
CHOYP_CIR1A.1.1.m.11568,GO:0003723
CHOYP_CNOT1.1.1.m.12106,GO:0003677
CHOYP_CUL3B.1.1.m.61644,GO:0006412
CHOYP_DCDC2.7.7.m.46807,GO:0005737
CHOYP_DCNL4.1.2.m.36826,GO:0031624
CHOYP_DDX47.1.1.m.11144,GO:0005524
CHOYP_EPRS.1.1.m.35443,GO:0005524
CHOYP_F10A1.4.4.m.44752,GO:0051085
CHOYP_FABP7.1.2.m.22674,GO:0008289
CHOYP_FAIM1.1.1.m.36651,GO:0043066
CHOYP_HEM2.1.1.m.6789,GO:0006782
CHOYP_ISCW_ISCW006091.2.2.m.61313,GO:0005730
CHOYP_ISCW_ISCW012957.1.2.m.51659,GO:0005737
CHOYP_LOC100119750.1.1.m.7019,GO:0016567
CHOYP_LOC100222774.1.1.m.56990,GO:0005739
