protein_ID,Chi,PC1loadings,ASCA,rank,magloading,clust,method
CHOYP_ACT.23.27.m.58454,NA,-0.10242329,ASCA,14,0.10242329,clustering,ASCAclustering
CHOYP_ACT.5.27.m.15585,PropTest,-0.177473476,ASCA,7,0.177473476,clustering,PropTestASCAclustering
CHOYP_ACT3.1.3.m.23292,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_ADD.3.5.m.17639,NA,0.03114595,ASCA,101,0.03114595,NA,ASCA
CHOYP_AGAP_AGAP011617.1.2.m.29071,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_AKD1.2.3.m.49697,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_AKD1.3.3.m.63103,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_ARP3.1.1.m.6867,NA,0.030979079,ASCA,102,0.030979079,NA,ASCA
CHOYP_ATPB.1.1.m.21960,NA,-0.054017361,ASCA,42,0.054017361,NA,ASCA
CHOYP_BRAFLDRAFT_100695.1.1.m.47761,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_BRAFLDRAFT_103544.1.1.m.38439,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_BRAFLDRAFT_117858.3.3.m.61651,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_BRAFLDRAFT_86846.1.3.m.13594,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_C1QL4L.3.7.m.5968,NA,0.030144112,ASCA,105,0.030144112,NA,ASCA
CHOYP_CARNS1.4.6.m.40244,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_CATA.1.3.m.11120,NA,0.029497914,ASCA,112,0.029497914,NA,ASCA
CHOYP_CATA.3.3.m.21642,NA,-0.028708461,ASCA,119,0.028708461,NA,ASCA
CHOYP_CNDP2.3.4.m.30467,NA,0.038669587,ASCA,72,0.038669587,NA,ASCA
CHOYP_CNE_1C34780.3.3.m.30615,NA,-0.028971607,ASCA,117,0.028971607,NA,ASCA
CHOYP_contig_008261.m.9575,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_contig_024424.m.27774,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_contig_026567.m.30260,NA,0.027325745,ASCA,128,0.027325745,NA,ASCA
CHOYP_contig_033285.m.37973,NA,-0.028905817,ASCA,118,0.028905817,NA,ASCA
CHOYP_contig_052416.m.62821,PropTest,0.033575797,ASCA,91,0.033575797,NA,PropTestASCA
CHOYP_DNAH12.2.3.m.32353,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_DNAH5.1.2.m.56799,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_DNAH5.2.2.m.61452,PropTest,NA,NA,NA,NA,NA,PropTest
